round_number,group_id,timestamp,price,asset,maker,taker,making_order_status,taking_order_status
1,1,57.133762,50.0,B,ojv4w5fa,3e62jo5n,TRADED_MAKER,TRADED_TAKER
1,1,69.819397,20.0,A,3e62jo5n,a9s6ud85,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,70.869581,20.0,C,3e62jo5n,wzhg4oa2,TRADED_MAKER,TRADED_TAKER
1,1,96.582661,120.0,D,bot-ETFMakerBot-1,b396nsho,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,96.67618,50.0,A,ojv4w5fa,bot-ETFMakerBot-1,MARKET_MAKER,MARKET_TAKER
1,1,96.765951,20.0,C,wzhg4oa2,bot-ETFMakerBot-1,MARKET_MAKER,MARKET_TAKER
1,1,96.852876,50.0,C,ojv4w5fa,bot-ETFMakerBot-1,MARKET_MAKER,MARKET_TAKER
1,1,97.040662,20.0,B,qxsjuzq3,a9s6ud85,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,102.169461,25.0,B,wzhg4oa2,3e62jo5n,TRADED_MAKER,TRADED_TAKER
1,1,105.250069,35.0,B,ye0pr3ke,3e62jo5n,TRADED_MAKER,TRADED_TAKER
1,1,106.825318,50.0,B,3e62jo5n,3e62jo5n,TRADED_MAKER,TRADED_TAKER
1,1,110.261654,25.0,C,5n7cusa7,wnv7vy8g,TRADED_MAKER,TRADED_TAKER
1,1,118.080379,45.0,A,wzhg4oa2,ludkqeih,TRADED_MAKER,TRADED_TAKER
1,1,131.864782,50.0,C,wnv7vy8g,wzhg4oa2,TRADED_MAKER,TRADED_TAKER
1,1,133.157942,20.0,B,qxsjuzq3,wnv7vy8g,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,155.942323,20.0,B,ludkqeih,5n7cusa7,TRADED_MAKER,TRADED_TAKER
1,1,160.350697,20.0,B,qxsjuzq3,ojv4w5fa,TRADED_MAKER,TRADED_TAKER
1,1,160.537017,20.0,C,a9s6ud85,wnv7vy8g,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,162.541683,25.0,B,wzhg4oa2,ojv4w5fa,TRADED_MAKER,TRADED_TAKER
2,1,13.045924,50.0,B,ojv4w5fa,5n7cusa7,TRADED_MAKER,TRADED_TAKER
2,1,23.339209,50.0,C,ojv4w5fa,wzhg4oa2,TRADED_MAKER,TRADED_TAKER
2,1,25.224587,50.0,C,3e62jo5n,wzhg4oa2,TRADED_MAKER,TRADED_TAKER
2,1,27.299537,40.0,C,wnv7vy8g,wzhg4oa2,TRADED_MAKER,TRADED_TAKER
2,1,33.29926,100.0,A,3e62jo5n,b396nsho,TRADED_MAKER,TRADED_TAKER
2,1,50.746329,50.0,A,wzhg4oa2,ojv4w5fa,TRADED_MAKER,TRADED_TAKER
2,1,63.530487,10.0,B,3e62jo5n,ojv4w5fa,TRADED_MAKER,TRADED_TAKER
2,1,70.536539,175.0,D,bot-ETFMakerBot-2,b396nsho,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,70.631644,75.0,A,a9s6ud85,bot-ETFMakerBot-2,MARKET_MAKER,MARKET_TAKER
2,1,70.712489,50.0,C,5n7cusa7,bot-ETFMakerBot-2,MARKET_MAKER,MARKET_TAKER
2,1,70.788833,50.0,C,ojv4w5fa,bot-ETFMakerBot-2,MARKET_MAKER,MARKET_TAKER
2,1,76.126947,50.0,B,3e62jo5n,ludkqeih,TRADED_MAKER,TRADED_TAKER
2,1,118.187751,50.0,C,ludkqeih,b396nsho,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,123.810686,50.0,B,qxsjuzq3,wnv7vy8g,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,129.420716,50.0,A,ludkqeih,wnv7vy8g,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,143.549481,90.0,C,qxsjuzq3,a9s6ud85,TRADED_MAKER,TRADED_TAKER
2,1,163.779888,50.0,B,qxsjuzq3,ojv4w5fa,TRADED_MAKER,TRADED_TAKER
2,1,168.924954,100.0,C,b396nsho,ojv4w5fa,TRADED_MAKER,TRADED_TAKER
3,1,12.753211,50.0,A,ojv4w5fa,a9s6ud85,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,18.666142,50.0,B,ojv4w5fa,b396nsho,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,20.391378,100.0,C,ye0pr3ke,ojv4w5fa,TRADED_MAKER,TRADED_TAKER
3,1,29.26207,150.0,A,3e62jo5n,ojv4w5fa,TRADED_MAKER,TRADED_TAKER
3,1,29.491345,50.0,C,3e62jo5n,5n7cusa7,TRADED_MAKER,TRADED_TAKER
3,1,36.702065,50.0,A,wzhg4oa2,ludkqeih,TRADED_MAKER,TRADED_TAKER
3,1,50.103775,50.0,C,wzhg4oa2,ojv4w5fa,TRADED_MAKER,TRADED_TAKER
3,1,55.540024,70.0,A,ye0pr3ke,b396nsho,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,57.334386,85.0,C,a9s6ud85,b396nsho,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,68.006768,90.0,C,qxsjuzq3,ojv4w5fa,TRADED_MAKER,TRADED_TAKER
3,1,82.428842,75.0,B,wnv7vy8g,ye0pr3ke,TRADED_MAKER,TRADED_TAKER
3,1,89.215988,60.0,A,wnv7vy8g,a9s6ud85,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,98.421027,90.0,C,wzhg4oa2,wnv7vy8g,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,104.683307,80.0,B,qxsjuzq3,a9s6ud85,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,126.151004,80.0,A,ojv4w5fa,ye0pr3ke,TRADED_MAKER,TRADED_TAKER
3,1,137.037784,50.0,B,3e62jo5n,wnv7vy8g,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,137.852097,295.0,D,bot-ETFMakerBot-3,ye0pr3ke,TRADED_MAKER,TRADED_TAKER
3,1,137.937729,120.0,A,qxsjuzq3,bot-ETFMakerBot-3,MARKET_MAKER,MARKET_TAKER
