round_number,group_id,timestamp,price,asset,maker,taker,making_order_status,taking_order_status
1,1,48.369636,20.0,A,epklu3hw,epklu3hw,TRADED_MAKER,TRADED_TAKER
1,1,76.020632,30.0,C,qspd9xx0,2q9lj2z7,TRADED_MAKER,TRADED_TAKER
1,1,81.314571,20.0,B,5qator08,de6jd5gp,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,88.089269,30.0,A,eyhq4uyw,4oufp9s9,TRADED_MAKER,TRADED_TAKER
1,1,91.51644,30.0,A,eyhq4uyw,4oufp9s9,TRADED_MAKER,TRADED_TAKER
1,1,93.016137,60.0,C,epklu3hw,epklu3hw,TRADED_MAKER,TRADED_TAKER
1,1,98.072624,30.0,A,eyhq4uyw,4oufp9s9,TRADED_MAKER,TRADED_TAKER
1,1,114.227385,60.0,A,eyhq4uyw,5qator08,TRADED_MAKER,TRADED_TAKER
1,1,116.348683,50.0,C,4oufp9s9,2q9lj2z7,TRADED_MAKER,TRADED_TAKER
1,1,128.997006,45.0,C,5qator08,2q9lj2z7,TRADED_MAKER,TRADED_TAKER
1,1,141.61256,30.0,A,eyhq4uyw,qspd9xx0,TRADED_MAKER,TRADED_TAKER
1,1,145.015427,22.0,A,v315kqj5,qspd9xx0,TRADED_MAKER,TRADED_TAKER
1,1,152.189692,60.0,C,2q9lj2z7,5qator08,TRADED_MAKER,TRADED_TAKER
1,1,174.852295,50.0,B,1xu7yemp,de6jd5gp,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,15.631648,50.0,A,epklu3hw,epklu3hw,TRADED_MAKER,TRADED_TAKER
2,1,17.63173,40.0,A,de6jd5gp,qspd9xx0,TRADED_MAKER,TRADED_TAKER
2,1,28.62466,45.0,C,4oufp9s9,5qator08,TRADED_MAKER,TRADED_TAKER
2,1,58.06484,30.0,A,v315kqj5,4oufp9s9,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,78.067904,65.0,B,epklu3hw,4oufp9s9,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,87.229355,70.0,B,epklu3hw,4oufp9s9,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,117.472475,90.0,A,de6jd5gp,5qator08,TRADED_MAKER,TRADED_TAKER
2,1,175.381657,65.0,B,epklu3hw,2q9lj2z7,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,177.196454,50.0,A,epklu3hw,2q9lj2z7,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,31.000442,70.0,A,epklu3hw,1xu7yemp,TRADED_MAKER,TRADED_TAKER
3,1,34.398078,79.0,A,5qator08,1xu7yemp,TRADED_MAKER,TRADED_TAKER
3,1,59.689201,75.0,A,de6jd5gp,2q9lj2z7,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,76.152629,50.0,C,5qator08,1xu7yemp,TRADED_MAKER,TRADED_TAKER
3,1,95.093417,60.0,C,4oufp9s9,v315kqj5,TRADED_MAKER,TRADED_TAKER
3,1,114.747869,254.0,D,bot-ETFMakerBot-83,2q9lj2z7,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,114.832146,84.0,A,5qator08,bot-ETFMakerBot-83,MARKET_MAKER,MARKET_TAKER
3,1,114.909534,80.0,C,2q9lj2z7,bot-ETFMakerBot-83,MARKET_MAKER,MARKET_TAKER
3,1,114.991669,90.0,C,v315kqj5,bot-ETFMakerBot-83,MARKET_MAKER,MARKET_TAKER
3,1,119.167502,60.0,B,4oufp9s9,v315kqj5,TRADED_MAKER,TRADED_TAKER
3,1,134.318717,40.0,B,eyhq4uyw,1xu7yemp,TRADED_MAKER,TRADED_TAKER
3,1,137.527857,60.0,B,95w2vfd2,eyhq4uyw,TRADED_MAKER,TRADED_TAKER
3,1,149.811116,84.0,A,5qator08,v315kqj5,TRADED_MAKER,TRADED_TAKER
3,1,156.394717,55.0,C,de6jd5gp,1xu7yemp,TRADED_MAKER,TRADED_TAKER
3,1,171.644314,60.0,B,5qator08,1xu7yemp,TRADED_MAKER,TRADED_TAKER
4,1,8.465632,30.0,A,95w2vfd2,1xu7yemp,TRADED_MAKER,TRADED_TAKER
4,1,13.445426,80.0,A,95w2vfd2,de6jd5gp,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,17.227359,80.0,C,2q9lj2z7,5qator08,TRADED_MAKER,TRADED_TAKER
4,1,39.215282,70.0,B,v315kqj5,v315kqj5,TRADED_MAKER,TRADED_TAKER
4,1,41.088908,45.0,B,4oufp9s9,1xu7yemp,TRADED_MAKER,TRADED_TAKER
4,1,48.358221,100.0,A,4oufp9s9,1xu7yemp,TRADED_MAKER,TRADED_TAKER
4,1,55.217247,80.0,C,qspd9xx0,1xu7yemp,TRADED_MAKER,TRADED_TAKER
4,1,64.246918,50.0,C,de6jd5gp,1xu7yemp,TRADED_MAKER,TRADED_TAKER
4,1,85.381914,50.0,C,95w2vfd2,eyhq4uyw,TRADED_MAKER,TRADED_TAKER
4,1,88.718985,60.0,B,5qator08,v315kqj5,TRADED_MAKER,TRADED_TAKER
4,1,108.565832,45.0,C,4oufp9s9,1xu7yemp,TRADED_MAKER,TRADED_TAKER
4,1,112.846619,100.0,A,95w2vfd2,v315kqj5,TRADED_MAKER,TRADED_TAKER
4,1,144.924132,70.0,A,5qator08,5qator08,TRADED_MAKER,TRADED_TAKER
4,1,147.391225,50.0,B,de6jd5gp,1xu7yemp,TRADED_MAKER,TRADED_TAKER
4,1,187.627569,60.0,B,5qator08,2q9lj2z7,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,194.6526,258.0,D,bot-ETFMakerBot-84,2q9lj2z7,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,194.754922,109.0,A,de6jd5gp,bot-ETFMakerBot-84,MARKET_MAKER,MARKET_TAKER
4,1,194.84099,70.0,C,eyhq4uyw,bot-ETFMakerBot-84,MARKET_MAKER,MARKET_TAKER
4,1,194.922317,79.0,C,95w2vfd2,bot-ETFMakerBot-84,MARKET_MAKER,MARKET_TAKER
4,1,201.062652,89.0,A,5qator08,1xu7yemp,TRADED_MAKER,TRADED_TAKER
4,1,259.543395,55.0,B,5qator08,de6jd5gp,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,270.162621,65.0,B,95w2vfd2,2q9lj2z7,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,272.996573,50.0,C,de6jd5gp,1xu7yemp,TRADED_MAKER,TRADED_TAKER
5,1,12.271671,79.0,A,95w2vfd2,de6jd5gp,ACCEPTED_MAKER,ACCEPTED_TAKER
5,1,53.56743,10.0,C,eyhq4uyw,95w2vfd2,ACCEPTED_MAKER,ACCEPTED_TAKER
5,1,55.352137,80.0,A,de6jd5gp,5qator08,TRADED_MAKER,TRADED_TAKER
5,1,67.565673,79.0,A,v315kqj5,1xu7yemp,TRADED_MAKER,TRADED_TAKER
5,1,85.050132,50.0,C,epklu3hw,1xu7yemp,TRADED_MAKER,TRADED_TAKER
5,1,88.975556,50.0,B,v315kqj5,de6jd5gp,ACCEPTED_MAKER,ACCEPTED_TAKER
5,1,89.155151,5.0,B,eyhq4uyw,95w2vfd2,ACCEPTED_MAKER,ACCEPTED_TAKER
5,1,91.551088,50.0,C,v315kqj5,2q9lj2z7,ACCEPTED_MAKER,ACCEPTED_TAKER
5,1,91.869692,49.0,B,v315kqj5,1xu7yemp,TRADED_MAKER,TRADED_TAKER
5,1,102.540005,40.0,B,95w2vfd2,v315kqj5,TRADED_MAKER,TRADED_TAKER
5,1,128.697737,255.0,D,bot-ETFMakerBot-85,1xu7yemp,TRADED_MAKER,TRADED_TAKER
5,1,128.794786,95.0,A,de6jd5gp,bot-ETFMakerBot-85,MARKET_MAKER,MARKET_TAKER
5,1,128.908503,80.0,C,v315kqj5,bot-ETFMakerBot-85,MARKET_MAKER,MARKET_TAKER
5,1,129.009743,80.0,C,epklu3hw,bot-ETFMakerBot-85,MARKET_MAKER,MARKET_TAKER
5,1,149.297884,50.0,C,eyhq4uyw,1xu7yemp,TRADED_MAKER,TRADED_TAKER
5,1,166.780888,41.0,B,5qator08,1xu7yemp,TRADED_MAKER,TRADED_TAKER
5,1,173.45021,40.0,B,de6jd5gp,epklu3hw,TRADED_MAKER,TRADED_TAKER
5,1,196.146694,50.0,B,v315kqj5,epklu3hw,TRADED_MAKER,TRADED_TAKER
5,1,224.091319,70.0,C,2q9lj2z7,5qator08,TRADED_MAKER,TRADED_TAKER
5,1,249.363168,90.0,A,de6jd5gp,1xu7yemp,TRADED_MAKER,TRADED_TAKER
5,1,287.250049,45.0,B,2q9lj2z7,de6jd5gp,ACCEPTED_MAKER,ACCEPTED_TAKER
5,1,289.055716,45.0,B,epklu3hw,v315kqj5,TRADED_MAKER,TRADED_TAKER
5,1,289.37959,51.0,C,5qator08,de6jd5gp,ACCEPTED_MAKER,ACCEPTED_TAKER
5,1,300.297913,50.0,C,eyhq4uyw,2q9lj2z7,ACCEPTED_MAKER,ACCEPTED_TAKER
6,1,14.330821,10.0,A,v315kqj5,95w2vfd2,ACCEPTED_MAKER,ACCEPTED_TAKER
6,1,44.187532,40.0,C,4oufp9s9,1xu7yemp,TRADED_MAKER,TRADED_TAKER
6,1,53.376603,40.0,B,de6jd5gp,1xu7yemp,TRADED_MAKER,TRADED_TAKER
6,1,60.920646,40.0,C,4oufp9s9,2q9lj2z7,ACCEPTED_MAKER,ACCEPTED_TAKER
6,1,69.961511,245.0,D,bot-ETFMakerBot-86,2q9lj2z7,ACCEPTED_MAKER,ACCEPTED_TAKER
6,1,70.057122,90.0,A,5qator08,bot-ETFMakerBot-86,MARKET_MAKER,MARKET_TAKER
6,1,70.158278,75.0,C,de6jd5gp,bot-ETFMakerBot-86,MARKET_MAKER,MARKET_TAKER
6,1,70.247637,80.0,C,epklu3hw,bot-ETFMakerBot-86,MARKET_MAKER,MARKET_TAKER
6,1,83.356685,45.0,B,de6jd5gp,2q9lj2z7,ACCEPTED_MAKER,ACCEPTED_TAKER
6,1,115.738018,239.0,D,bot-ETFMakerBot-86,1xu7yemp,TRADED_MAKER,TRADED_TAKER
6,1,115.930425,80.0,A,v315kqj5,bot-ETFMakerBot-86,MARKET_MAKER,MARKET_TAKER
6,1,116.020428,79.0,C,95w2vfd2,bot-ETFMakerBot-86,MARKET_MAKER,MARKET_TAKER
6,1,116.113583,80.0,C,v315kqj5,bot-ETFMakerBot-86,MARKET_MAKER,MARKET_TAKER
6,1,184.292088,225.0,D,bot-ETFMakerBot-86,5qator08,TRADED_MAKER,TRADED_TAKER
6,1,184.383424,75.0,A,5qator08,bot-ETFMakerBot-86,MARKET_MAKER,MARKET_TAKER
6,1,184.469906,70.0,C,2q9lj2z7,bot-ETFMakerBot-86,MARKET_MAKER,MARKET_TAKER
6,1,184.562158,80.0,C,2q9lj2z7,bot-ETFMakerBot-86,MARKET_MAKER,MARKET_TAKER
6,1,266.648007,80.0,C,v315kqj5,95w2vfd2,ACCEPTED_MAKER,ACCEPTED_TAKER
6,1,288.968438,59.0,B,95w2vfd2,v315kqj5,ACCEPTED_MAKER,ACCEPTED_TAKER
7,1,22.074727,45.0,C,de6jd5gp,1xu7yemp,TRADED_MAKER,TRADED_TAKER
7,1,36.093834,239.0,D,bot-ETFMakerBot-87,1xu7yemp,TRADED_MAKER,TRADED_TAKER
7,1,36.178167,80.0,A,95w2vfd2,bot-ETFMakerBot-87,MARKET_MAKER,MARKET_TAKER
7,1,36.265336,60.0,C,2q9lj2z7,bot-ETFMakerBot-87,MARKET_MAKER,MARKET_TAKER
7,1,36.370082,99.0,C,v315kqj5,bot-ETFMakerBot-87,MARKET_MAKER,MARKET_TAKER
