round_number,group_id,timestamp,price,asset,maker,taker,making_order_status,taking_order_status
1,1,57.088205,15.0,A,1eeggcg0,9428xsxf,TRADED_MAKER,TRADED_TAKER
1,1,66.895516,25.0,C,r9a7kqaf,1eeggcg0,TRADED_MAKER,TRADED_TAKER
1,1,72.085381,40.0,A,9428xsxf,4nap20vd,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,90.961383,40.0,B,im7mmzwe,tt020odr,TRADED_MAKER,TRADED_TAKER
1,1,103.997375,50.0,A,4nap20vd,1eeggcg0,TRADED_MAKER,TRADED_TAKER
1,1,110.050223,50.0,B,b56s5xho,iaswwozd,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,122.314536,50.0,A,1eeggcg0,1eeggcg0,TRADED_MAKER,TRADED_TAKER
1,1,129.81846,20.0,C,im7mmzwe,iaswwozd,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,132.744336,40.0,B,tt020odr,iaswwozd,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,138.359216,40.0,C,tt020odr,1eeggcg0,TRADED_MAKER,TRADED_TAKER
1,1,152.873904,25.0,C,4nap20vd,iaswwozd,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,167.649227,20.0,C,p83viyce,iaswwozd,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,173.659176,60.0,A,r9a7kqaf,iaswwozd,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,14.431196,30.0,A,1eeggcg0,tt020odr,TRADED_MAKER,TRADED_TAKER
2,1,15.369731,50.0,C,fxnsgkj4,hs76c7lv,TRADED_MAKER,TRADED_TAKER
2,1,25.277293,50.0,C,r9a7kqaf,1eeggcg0,TRADED_MAKER,TRADED_TAKER
2,1,31.386084,30.0,C,tt020odr,hs76c7lv,TRADED_MAKER,TRADED_TAKER
2,1,48.119694,45.0,C,4nap20vd,1eeggcg0,TRADED_MAKER,TRADED_TAKER
2,1,53.781606,31.0,C,1eeggcg0,iaswwozd,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,71.081843,50.0,C,im7mmzwe,bplz3kk4,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,79.276681,80.0,B,hs76c7lv,9428xsxf,TRADED_MAKER,TRADED_TAKER
2,1,81.357342,80.0,C,hs76c7lv,iaswwozd,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,83.045424,95.0,A,9428xsxf,r9a7kqaf,TRADED_MAKER,TRADED_TAKER
2,1,88.608454,40.0,C,4nap20vd,iaswwozd,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,101.362113,80.0,B,4nap20vd,iaswwozd,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,109.254242,100.0,C,hs76c7lv,9428xsxf,TRADED_MAKER,TRADED_TAKER
2,1,109.530547,60.0,A,im7mmzwe,hs76c7lv,TRADED_MAKER,TRADED_TAKER
2,1,120.250786,40.0,C,4nap20vd,iaswwozd,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,124.219297,60.0,B,im7mmzwe,iaswwozd,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,127.997649,60.0,C,1eeggcg0,iaswwozd,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,129.664279,60.0,A,im7mmzwe,hs76c7lv,TRADED_MAKER,TRADED_TAKER
2,1,139.662785,45.0,A,1eeggcg0,hs76c7lv,TRADED_MAKER,TRADED_TAKER
2,1,140.364647,80.0,C,bplz3kk4,fxnsgkj4,TRADED_MAKER,TRADED_TAKER
2,1,155.596188,50.0,B,r9a7kqaf,4nap20vd,TRADED_MAKER,TRADED_TAKER
2,1,167.829096,50.0,C,p83viyce,r9a7kqaf,TRADED_MAKER,TRADED_TAKER
3,1,17.704056,80.0,C,r9a7kqaf,4nap20vd,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,18.019931,50.0,C,fxnsgkj4,iaswwozd,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,21.060652,150.0,A,fxnsgkj4,iaswwozd,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,27.085501,65.0,A,1eeggcg0,hs76c7lv,TRADED_MAKER,TRADED_TAKER
3,1,41.524831,70.0,A,b56s5xho,iaswwozd,ACCEPTED_MAKER,ACCEPTED_TAKER
