round_number,group_id,timestamp,price,asset,maker,taker,making_order_status,taking_order_status
1,1,28.465493,50.0,A,iwll3tn6,qnnsnnx3,TRADED_MAKER,TRADED_TAKER
1,1,40.530124,20.0,B,iwll3tn6,6dkp9vft,TRADED_MAKER,TRADED_TAKER
1,1,60.924184,30.0,C,iwll3tn6,6dkp9vft,TRADED_MAKER,TRADED_TAKER
1,1,65.072899,60.0,A,iwll3tn6,x2tq7b0u,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,68.709375,50.0,A,v1axqnpu,rqov47g0,TRADED_MAKER,TRADED_TAKER
1,1,80.261608,30.0,B,u0zzxjlz,v1axqnpu,TRADED_MAKER,TRADED_TAKER
1,1,80.900498,60.0,A,iwll3tn6,7n0uu9z0,TRADED_MAKER,TRADED_TAKER
1,1,81.252732,60.0,C,qnnsnnx3,x2tq7b0u,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,83.361863,50.0,A,k2plppsj,cxita81q,TRADED_MAKER,TRADED_TAKER
1,1,87.382457,30.0,B,u0zzxjlz,v1axqnpu,TRADED_MAKER,TRADED_TAKER
1,1,89.292693,100.0,C,k2plppsj,cxita81q,TRADED_MAKER,TRADED_TAKER
1,1,95.209197,220.0,D,iwll3tn6,bot-ETFMakerBot-23,TRADED_MAKER,TRADED_TAKER
1,1,95.320232,70.0,A,cxita81q,bot-ETFMakerBot-23,MARKET_MAKER,MARKET_TAKER
1,1,95.41925,30.0,C,u0zzxjlz,bot-ETFMakerBot-23,MARKET_MAKER,MARKET_TAKER
1,1,95.529205,30.0,C,u0zzxjlz,bot-ETFMakerBot-23,MARKET_MAKER,MARKET_TAKER
1,1,99.608746,70.0,A,9l9j1rcs,v1axqnpu,TRADED_MAKER,TRADED_TAKER
1,1,101.580548,75.0,A,4lmai1pv,7n0uu9z0,TRADED_MAKER,TRADED_TAKER
1,1,110.49199,25.0,B,x2tq7b0u,v1axqnpu,TRADED_MAKER,TRADED_TAKER
1,1,115.98977,60.0,C,u0zzxjlz,rimb6i11,TRADED_MAKER,TRADED_TAKER
1,1,116.625054,30.0,B,u0zzxjlz,k2plppsj,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,121.737735,210.0,D,iwll3tn6,bot-ETFMakerBot-23,TRADED_MAKER,TRADED_TAKER
1,1,121.850939,75.0,A,4lmai1pv,bot-ETFMakerBot-23,MARKET_MAKER,MARKET_TAKER
