round_number,group_id,timestamp,price,asset,maker,taker,making_order_status,taking_order_status
1,1,12.529119,100.0,A,g1mkgu8g,g1mkgu8g,TRADED_MAKER,TRADED_TAKER
1,1,20.368975,80.0,C,lffzz218,g1mkgu8g,TRADED_MAKER,TRADED_TAKER
1,1,29.886834,80.0,C,hg4bjy7v,ervnd7e4,TRADED_MAKER,TRADED_TAKER
1,1,36.986956,50.0,C,ervnd7e4,dnjg5gy7,TRADED_MAKER,TRADED_TAKER
1,1,38.723624,50.0,C,ervnd7e4,dnjg5gy7,TRADED_MAKER,TRADED_TAKER
1,1,43.955723,100.0,A,m744vlj3,rm566qb6,TRADED_MAKER,TRADED_TAKER
1,1,46.202369,20.0,A,ervnd7e4,wo9y6tgm,TRADED_MAKER,TRADED_TAKER
1,1,48.846856,50.0,C,a1a3g7bp,3mwuxfmi,TRADED_MAKER,TRADED_TAKER
1,1,52.674653,30.0,C,a1a3g7bp,3mwuxfmi,TRADED_MAKER,TRADED_TAKER
1,1,56.87698,45.0,B,lffzz218,wo9y6tgm,TRADED_MAKER,TRADED_TAKER
1,1,58.656549,50.0,B,ervnd7e4,m744vlj3,TRADED_MAKER,TRADED_TAKER
1,1,71.246883,25.0,C,g1mkgu8g,hg4bjy7v,TRADED_MAKER,TRADED_TAKER
1,1,76.183125,25.0,C,g1mkgu8g,a1a3g7bp,TRADED_MAKER,TRADED_TAKER
1,1,84.957061,50.0,A,g1mkgu8g,rm566qb6,TRADED_MAKER,TRADED_TAKER
1,1,87.980239,80.0,C,m744vlj3,g1mkgu8g,TRADED_MAKER,TRADED_TAKER
1,1,95.507669,50.0,B,m744vlj3,m744vlj3,TRADED_MAKER,TRADED_TAKER
1,1,116.448982,45.0,B,lffzz218,oeu0z02b,TRADED_MAKER,TRADED_TAKER
1,1,116.866911,50.0,B,a1a3g7bp,g1mkgu8g,TRADED_MAKER,TRADED_TAKER
1,1,117.134,50.0,C,oeu0z02b,wo9y6tgm,TRADED_MAKER,TRADED_TAKER
1,1,118.402917,80.0,A,hg4bjy7v,f822jl1o,TRADED_MAKER,TRADED_TAKER
1,1,132.781366,75.0,A,ervnd7e4,8ggw8s42,TRADED_MAKER,TRADED_TAKER
