round_number,group_id,timestamp,price,asset,maker,taker,making_order_status,taking_order_status
1,1,21.095881,40.0,A,n8bfs95k,2iv2l3wm,TRADED_MAKER,TRADED_TAKER
1,1,27.223911,50.0,A,ck84eqyg,wgx6hixw,TRADED_MAKER,TRADED_TAKER
1,1,28.377522,30.0,B,lbp68won,n8bfs95k,TRADED_MAKER,TRADED_TAKER
1,1,36.267712,50.0,A,wgx6hixw,2iv2l3wm,TRADED_MAKER,TRADED_TAKER
1,1,52.207423,60.0,B,9055ihi2,qrj6fsjk,TRADED_MAKER,TRADED_TAKER
1,1,54.657015,60.0,A,ijfaleod,lbp68won,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,54.856874,50.0,B,2iv2l3wm,qrj6fsjk,TRADED_MAKER,TRADED_TAKER
1,1,55.753376,40.0,C,qrj6fsjk,ck84eqyg,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,56.914769,40.0,C,ijfaleod,2iv2l3wm,TRADED_MAKER,TRADED_TAKER
1,1,74.138398,60.0,B,9055ihi2,2c8lyz7o,TRADED_MAKER,TRADED_TAKER
1,1,88.670227,50.0,C,lbp68won,2iv2l3wm,TRADED_MAKER,TRADED_TAKER
1,1,89.709974,40.0,C,ulxl4ijs,2iv2l3wm,TRADED_MAKER,TRADED_TAKER
1,1,96.132807,40.0,C,n8bfs95k,9055ihi2,TRADED_MAKER,TRADED_TAKER
1,1,99.290073,40.0,B,qrj6fsjk,jwhz45or,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,114.213469,90.0,A,ulxl4ijs,ck84eqyg,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,122.997144,6.0,A,n8bfs95k,2iv2l3wm,TRADED_MAKER,TRADED_TAKER
1,1,128.213626,50.0,B,cmx4gcxa,qrj6fsjk,TRADED_MAKER,TRADED_TAKER
1,1,148.618863,50.0,A,cmx4gcxa,2c8lyz7o,TRADED_MAKER,TRADED_TAKER
1,1,158.609105,40.0,C,wgx6hixw,cmx4gcxa,TRADED_MAKER,TRADED_TAKER
1,1,160.872139,50.0,C,9055ihi2,jwhz45or,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,168.470518,40.0,C,ulxl4ijs,cmx4gcxa,TRADED_MAKER,TRADED_TAKER
1,1,170.888594,30.0,B,wgx6hixw,2c8lyz7o,TRADED_MAKER,TRADED_TAKER
1,1,179.407663,200.0,D,bot-ETFMakerBot-21,qrj6fsjk,TRADED_MAKER,TRADED_TAKER
1,1,179.513413,100.0,A,ck84eqyg,bot-ETFMakerBot-21,MARKET_MAKER,MARKET_TAKER
1,1,179.595775,50.0,C,2c8lyz7o,bot-ETFMakerBot-21,MARKET_MAKER,MARKET_TAKER
1,1,179.688746,50.0,C,2c8lyz7o,bot-ETFMakerBot-21,MARKET_MAKER,MARKET_TAKER
2,1,11.318683,50.0,A,jwhz45or,qrj6fsjk,TRADED_MAKER,TRADED_TAKER
2,1,14.80194,60.0,A,ck84eqyg,9055ihi2,TRADED_MAKER,TRADED_TAKER
2,1,16.902862,80.0,A,ck84eqyg,lbp68won,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,18.537951,50.0,B,lbp68won,ck84eqyg,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,22.382956,50.0,B,lbp68won,9055ihi2,TRADED_MAKER,TRADED_TAKER
2,1,22.593568,50.0,C,ijfaleod,lbp68won,ACCEPTED_MAKER,ACCEPTED_TAKER
