round_number,group_id,timestamp,price,asset,maker,taker,making_order_status,taking_order_status
1,1,53.657382,60.0,C,9mn7gsez,ol4pf25p,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,54.326779,55.0,C,clip87sg,94fzo5mk,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,61.645152,2.0,A,d4faddo5,bw76fsik,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,62.336933,45.0,A,clip87sg,94fzo5mk,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,82.276917,45.0,B,n6lxy70t,n6lxy70t,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,96.288166,45.0,B,8s125wy4,z3epr083,TRADED_MAKER,TRADED_TAKER
1,1,107.793473,245.0,D,bot-ETFMakerBot-83,z3epr083,TRADED_MAKER,TRADED_TAKER
1,1,107.918869,85.0,A,at15rkxd,bot-ETFMakerBot-83,MARKET_MAKER,MARKET_TAKER
1,1,108.052006,80.0,C,94fzo5mk,bot-ETFMakerBot-83,MARKET_MAKER,MARKET_TAKER
1,1,108.156043,80.0,C,z3epr083,bot-ETFMakerBot-83,MARKET_MAKER,MARKET_TAKER
1,1,112.58846,60.0,C,n6lxy70t,5587jeld,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,120.395253,40.0,B,clip87sg,94fzo5mk,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,122.634941,89.0,C,t5lr4mdd,guzatxae,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,128.988847,45.0,B,clip87sg,94fzo5mk,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,132.984986,240.0,D,9mn7gsez,bot-ETFMakerBot-83,TRADED_MAKER,TRADED_TAKER
1,1,133.092593,65.0,A,ol4pf25p,bot-ETFMakerBot-83,MARKET_MAKER,MARKET_TAKER
1,1,133.193189,87.0,C,n6lxy70t,bot-ETFMakerBot-83,MARKET_MAKER,MARKET_TAKER
1,1,133.313663,88.0,C,bw76fsik,bot-ETFMakerBot-83,MARKET_MAKER,MARKET_TAKER
1,1,146.957839,60.0,C,at15rkxd,94fzo5mk,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,156.408602,50.0,C,ol4pf25p,5587jeld,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,170.897351,265.0,D,9mn7gsez,t5lr4mdd,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,11.956801,50.0,A,ol4pf25p,yazwhthb,TRADED_MAKER,TRADED_TAKER
2,1,16.616475,55.0,A,yazwhthb,z3epr083,TRADED_MAKER,TRADED_TAKER
2,1,21.652948,45.0,A,8s125wy4,n6lxy70t,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,25.80861,238.0,D,bot-ETFMakerBot-84,z3epr083,TRADED_MAKER,TRADED_TAKER
2,1,25.922468,60.0,A,n6lxy70t,bot-ETFMakerBot-84,MARKET_MAKER,MARKET_TAKER
2,1,26.034815,89.0,C,t5lr4mdd,bot-ETFMakerBot-84,MARKET_MAKER,MARKET_TAKER
2,1,26.153319,89.0,C,t5lr4mdd,bot-ETFMakerBot-84,MARKET_MAKER,MARKET_TAKER
2,1,32.543731,70.0,A,guzatxae,5587jeld,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,47.615695,60.0,B,94fzo5mk,yazwhthb,TRADED_MAKER,TRADED_TAKER
2,1,53.079606,65.0,C,94fzo5mk,guzatxae,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,59.797835,200.0,D,ol4pf25p,bot-ETFMakerBot-84,TRADED_MAKER,TRADED_TAKER
2,1,59.898482,80.0,A,94fzo5mk,bot-ETFMakerBot-84,MARKET_MAKER,MARKET_TAKER
2,1,60.087052,60.0,C,94fzo5mk,bot-ETFMakerBot-84,MARKET_MAKER,MARKET_TAKER
2,1,60.194266,60.0,C,n6lxy70t,bot-ETFMakerBot-84,MARKET_MAKER,MARKET_TAKER
2,1,62.3495,210.0,D,bot-ETFMakerBot-84,9mn7gsez,TRADED_MAKER,TRADED_TAKER
2,1,62.458004,80.0,A,n6lxy70t,bot-ETFMakerBot-84,MARKET_MAKER,MARKET_TAKER
2,1,62.5829,60.0,C,n6lxy70t,bot-ETFMakerBot-84,MARKET_MAKER,MARKET_TAKER
2,1,62.716956,70.0,C,94fzo5mk,bot-ETFMakerBot-84,MARKET_MAKER,MARKET_TAKER
2,1,67.739602,50.0,B,n6lxy70t,5587jeld,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,101.291315,55.0,A,9mn7gsez,bw76fsik,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,104.569479,50.0,B,8s125wy4,z3epr083,TRADED_MAKER,TRADED_TAKER
2,1,113.125856,75.0,C,yazwhthb,5587jeld,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,114.791395,55.0,A,ol4pf25p,guzatxae,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,115.575109,60.0,C,clip87sg,t5lr4mdd,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,121.305188,50.0,B,ol4pf25p,z3epr083,TRADED_MAKER,TRADED_TAKER
2,1,122.827222,45.0,C,8s125wy4,5587jeld,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,134.767153,60.0,A,n6lxy70t,5587jeld,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,138.630622,50.0,A,9mn7gsez,ol4pf25p,TRADED_MAKER,TRADED_TAKER
2,1,146.797361,45.0,A,8s125wy4,n6lxy70t,TRADED_MAKER,TRADED_TAKER
2,1,157.19791,30.0,C,clip87sg,z3epr083,TRADED_MAKER,TRADED_TAKER
2,1,178.456824,40.0,B,94fzo5mk,yazwhthb,TRADED_MAKER,TRADED_TAKER
2,1,180.422755,60.0,A,9mn7gsez,5587jeld,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,9.940594,80.0,A,94fzo5mk,guzatxae,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,27.619399,210.0,D,yazwhthb,bot-ETFMakerBot-85,TRADED_MAKER,TRADED_TAKER
3,1,27.731362,75.0,A,ol4pf25p,bot-ETFMakerBot-85,MARKET_MAKER,MARKET_TAKER
3,1,27.836745,65.0,C,n6lxy70t,bot-ETFMakerBot-85,MARKET_MAKER,MARKET_TAKER
3,1,27.951772,70.0,C,94fzo5mk,bot-ETFMakerBot-85,MARKET_MAKER,MARKET_TAKER
3,1,39.173069,2.0,B,8s125wy4,guzatxae,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,45.186403,40.0,C,n6lxy70t,z3epr083,TRADED_MAKER,TRADED_TAKER
3,1,46.048531,210.0,D,z3epr083,bot-ETFMakerBot-85,TRADED_MAKER,TRADED_TAKER
3,1,46.165947,70.0,A,at15rkxd,bot-ETFMakerBot-85,MARKET_MAKER,MARKET_TAKER
3,1,46.298056,69.0,C,9mn7gsez,bot-ETFMakerBot-85,MARKET_MAKER,MARKET_TAKER
3,1,46.54718,70.0,C,94fzo5mk,bot-ETFMakerBot-85,MARKET_MAKER,MARKET_TAKER
3,1,55.742389,80.0,A,9mn7gsez,t5lr4mdd,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,65.91055,45.0,A,clip87sg,guzatxae,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,85.123377,55.0,C,9mn7gsez,5587jeld,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,93.293523,190.0,D,bot-ETFMakerBot-85,5587jeld,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,93.40314,65.0,A,ol4pf25p,bot-ETFMakerBot-85,MARKET_MAKER,MARKET_TAKER
3,1,93.517145,60.0,C,at15rkxd,bot-ETFMakerBot-85,MARKET_MAKER,MARKET_TAKER
3,1,93.645192,65.0,C,5587jeld,bot-ETFMakerBot-85,MARKET_MAKER,MARKET_TAKER
3,1,102.418318,70.0,A,9mn7gsez,t5lr4mdd,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,115.72916,40.0,C,n6lxy70t,t5lr4mdd,ACCEPTED_MAKER,ACCEPTED_TAKER
