round_number,group_id,timestamp,price,asset,maker,taker,making_order_status,taking_order_status
1,1,29.086491,20.0,A,96ketrjo,vypphzkk,TRADED_MAKER,TRADED_TAKER
1,1,30.350401,15.0,A,ex29pt4p,ex29pt4p,TRADED_MAKER,TRADED_TAKER
1,1,39.446112,18.0,C,1h83ug1i,ms7a8uhu,TRADED_MAKER,TRADED_TAKER
1,1,46.34093,10.0,B,ex29pt4p,ex29pt4p,TRADED_MAKER,TRADED_TAKER
1,1,51.460518,20.0,C,ms7a8uhu,1h83ug1i,TRADED_MAKER,TRADED_TAKER
1,1,61.033052,35.0,A,vypphzkk,uiv4izbd,TRADED_MAKER,TRADED_TAKER
1,1,67.518785,5.0,B,ex29pt4p,vypphzkk,TRADED_MAKER,TRADED_TAKER
1,1,72.268188,8.0,B,1h83ug1i,ljl164r2,TRADED_MAKER,TRADED_TAKER
1,1,74.955142,10.0,C,ex29pt4p,96ketrjo,TRADED_MAKER,TRADED_TAKER
1,1,76.556134,20.0,A,6arv7rmr,ms7a8uhu,TRADED_MAKER,TRADED_TAKER
1,1,79.345227,40.0,A,uiv4izbd,ms7a8uhu,TRADED_MAKER,TRADED_TAKER
1,1,90.75579,10.0,C,ex29pt4p,1h83ug1i,TRADED_MAKER,TRADED_TAKER
1,1,92.697093,35.0,A,uiv4izbd,ms7a8uhu,TRADED_MAKER,TRADED_TAKER
1,1,112.893143,5.0,B,ex29pt4p,vypphzkk,TRADED_MAKER,TRADED_TAKER
1,1,117.848166,5.0,B,ex29pt4p,vypphzkk,TRADED_MAKER,TRADED_TAKER
1,1,123.661525,22.0,C,di7rgth4,uiv4izbd,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,124.149262,8.0,B,1h83ug1i,z6hszqlk,TRADED_MAKER,TRADED_TAKER
1,1,136.662157,10.0,B,ex29pt4p,z6hszqlk,TRADED_MAKER,TRADED_TAKER
1,1,140.185988,20.0,C,uiv4izbd,ex29pt4p,TRADED_MAKER,TRADED_TAKER
1,1,141.243027,15.0,B,96ketrjo,6arv7rmr,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,146.033082,10.0,C,ex29pt4p,vypphzkk,TRADED_MAKER,TRADED_TAKER
1,1,149.32267,15.0,B,di7rgth4,uiv4izbd,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,156.11237,15.0,B,uiv4izbd,vypphzkk,TRADED_MAKER,TRADED_TAKER
1,1,158.950613,50.0,A,ms7a8uhu,ex29pt4p,TRADED_MAKER,TRADED_TAKER
1,1,160.285919,10.0,B,1h83ug1i,vypphzkk,TRADED_MAKER,TRADED_TAKER
1,1,163.026125,15.0,A,ms7a8uhu,ex29pt4p,TRADED_MAKER,TRADED_TAKER
1,1,168.317028,20.0,B,di7rgth4,vypphzkk,TRADED_MAKER,TRADED_TAKER
1,1,178.395711,15.0,A,ex29pt4p,ex29pt4p,TRADED_MAKER,TRADED_TAKER
2,1,18.469762,12.0,B,ljl164r2,96ketrjo,TRADED_MAKER,TRADED_TAKER
2,1,23.597899,15.0,B,1h83ug1i,vypphzkk,TRADED_MAKER,TRADED_TAKER
2,1,29.47717,10.0,B,vypphzkk,ms7a8uhu,TRADED_MAKER,TRADED_TAKER
2,1,33.886216,20.0,C,uiv4izbd,vypphzkk,TRADED_MAKER,TRADED_TAKER
2,1,52.772281,10.0,B,ex29pt4p,ex29pt4p,TRADED_MAKER,TRADED_TAKER
2,1,58.541498,10.0,B,ex29pt4p,uiv4izbd,TRADED_MAKER,TRADED_TAKER
2,1,58.764262,50.0,A,ms7a8uhu,96ketrjo,TRADED_MAKER,TRADED_TAKER
2,1,71.522358,20.0,B,uiv4izbd,1h83ug1i,TRADED_MAKER,TRADED_TAKER
2,1,78.469427,15.0,B,1h83ug1i,vypphzkk,TRADED_MAKER,TRADED_TAKER
2,1,84.36257,15.0,B,1h83ug1i,ljl164r2,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,88.431517,10.0,B,ex29pt4p,ex29pt4p,TRADED_MAKER,TRADED_TAKER
2,1,90.984696,10.0,B,ex29pt4p,ex29pt4p,TRADED_MAKER,TRADED_TAKER
2,1,105.843937,10.0,A,ljl164r2,ex29pt4p,TRADED_MAKER,TRADED_TAKER
2,1,107.842279,30.0,B,uiv4izbd,6arv7rmr,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,114.225595,10.0,A,ex29pt4p,96ketrjo,TRADED_MAKER,TRADED_TAKER
2,1,116.19842,10.0,A,di7rgth4,ex29pt4p,TRADED_MAKER,TRADED_TAKER
2,1,117.864725,5.0,A,ex29pt4p,ljl164r2,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,125.320101,10.0,C,ex29pt4p,ljl164r2,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,126.231392,10.0,A,ex29pt4p,z6hszqlk,TRADED_MAKER,TRADED_TAKER
2,1,127.140791,10.0,A,ex29pt4p,z6hszqlk,TRADED_MAKER,TRADED_TAKER
2,1,129.111278,10.0,A,ex29pt4p,vypphzkk,TRADED_MAKER,TRADED_TAKER
2,1,129.861042,10.0,A,z6hszqlk,ex29pt4p,TRADED_MAKER,TRADED_TAKER
2,1,132.655528,10.0,A,ex29pt4p,di7rgth4,TRADED_MAKER,TRADED_TAKER
2,1,133.658244,50.0,C,ms7a8uhu,96ketrjo,TRADED_MAKER,TRADED_TAKER
2,1,139.461554,10.0,A,ex29pt4p,vypphzkk,TRADED_MAKER,TRADED_TAKER
2,1,139.68334,10.0,A,ex29pt4p,vypphzkk,TRADED_MAKER,TRADED_TAKER
2,1,143.838567,10.0,A,ex29pt4p,ljl164r2,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,145.430853,10.0,A,ex29pt4p,vypphzkk,TRADED_MAKER,TRADED_TAKER
2,1,145.610321,10.0,A,ex29pt4p,vypphzkk,TRADED_MAKER,TRADED_TAKER
2,1,145.779839,10.0,A,ex29pt4p,vypphzkk,TRADED_MAKER,TRADED_TAKER
2,1,147.497713,10.0,A,vypphzkk,ex29pt4p,TRADED_MAKER,TRADED_TAKER
2,1,147.836824,95.0,C,z6hszqlk,uiv4izbd,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,149.664312,10.0,A,vypphzkk,ex29pt4p,TRADED_MAKER,TRADED_TAKER
2,1,153.537532,10.0,A,ex29pt4p,vypphzkk,TRADED_MAKER,TRADED_TAKER
2,1,153.791872,10.0,A,ex29pt4p,vypphzkk,TRADED_MAKER,TRADED_TAKER
2,1,154.109642,10.0,A,ex29pt4p,vypphzkk,TRADED_MAKER,TRADED_TAKER
2,1,157.123057,10.0,A,ex29pt4p,6arv7rmr,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,158.785024,40.0,B,1h83ug1i,di7rgth4,TRADED_MAKER,TRADED_TAKER
2,1,163.811468,35.0,B,vypphzkk,uiv4izbd,TRADED_MAKER,TRADED_TAKER
2,1,171.662681,10.0,A,ex29pt4p,6arv7rmr,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,177.181727,20.0,B,uiv4izbd,96ketrjo,TRADED_MAKER,TRADED_TAKER
3,1,10.835955,20.0,A,96ketrjo,vypphzkk,TRADED_MAKER,TRADED_TAKER
3,1,17.742665,15.0,C,ljl164r2,96ketrjo,TRADED_MAKER,TRADED_TAKER
3,1,20.930859,20.0,C,vypphzkk,ms7a8uhu,TRADED_MAKER,TRADED_TAKER
3,1,23.782118,20.0,C,ms7a8uhu,vypphzkk,TRADED_MAKER,TRADED_TAKER
3,1,25.585668,45.0,B,1h83ug1i,6arv7rmr,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,27.519112,15.0,A,6arv7rmr,ljl164r2,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,30.178885,50.0,B,di7rgth4,96ketrjo,TRADED_MAKER,TRADED_TAKER
3,1,37.223809,20.0,A,uiv4izbd,vypphzkk,TRADED_MAKER,TRADED_TAKER
3,1,38.093502,30.0,C,1h83ug1i,uiv4izbd,TRADED_MAKER,TRADED_TAKER
3,1,44.594861,40.0,C,uiv4izbd,96ketrjo,TRADED_MAKER,TRADED_TAKER
3,1,52.174321,25.0,B,vypphzkk,ex29pt4p,TRADED_MAKER,TRADED_TAKER
3,1,54.661381,30.0,A,1h83ug1i,96ketrjo,TRADED_MAKER,TRADED_TAKER
3,1,83.367186,70.0,C,di7rgth4,ms7a8uhu,TRADED_MAKER,TRADED_TAKER
3,1,85.712987,80.0,C,z6hszqlk,ms7a8uhu,TRADED_MAKER,TRADED_TAKER
3,1,90.850215,25.0,B,ms7a8uhu,ex29pt4p,TRADED_MAKER,TRADED_TAKER
3,1,93.216692,10.0,B,ex29pt4p,ex29pt4p,TRADED_MAKER,TRADED_TAKER
3,1,93.464621,45.0,A,vypphzkk,96ketrjo,TRADED_MAKER,TRADED_TAKER
3,1,94.218688,8.0,B,ex29pt4p,ex29pt4p,TRADED_MAKER,TRADED_TAKER
3,1,99.132743,40.0,B,1h83ug1i,ljl164r2,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,100.818767,5.0,A,z6hszqlk,96ketrjo,TRADED_MAKER,TRADED_TAKER
3,1,101.683682,4.0,A,ex29pt4p,ex29pt4p,TRADED_MAKER,TRADED_TAKER
3,1,108.559971,45.0,B,96ketrjo,uiv4izbd,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,113.530617,40.0,C,1h83ug1i,ex29pt4p,TRADED_MAKER,TRADED_TAKER
3,1,122.942435,60.0,A,vypphzkk,ex29pt4p,TRADED_MAKER,TRADED_TAKER
3,1,124.892921,40.0,B,ljl164r2,6arv7rmr,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,130.032615,40.0,B,di7rgth4,1h83ug1i,TRADED_MAKER,TRADED_TAKER
3,1,130.22649,50.0,B,z6hszqlk,96ketrjo,TRADED_MAKER,TRADED_TAKER
3,1,131.559559,25.0,A,ljl164r2,6arv7rmr,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,144.981324,6.0,A,ex29pt4p,96ketrjo,TRADED_MAKER,TRADED_TAKER
3,1,160.081673,10.0,A,ex29pt4p,ms7a8uhu,TRADED_MAKER,TRADED_TAKER
3,1,165.076879,8.0,B,ex29pt4p,ex29pt4p,TRADED_MAKER,TRADED_TAKER
3,1,172.737157,60.0,C,1h83ug1i,ex29pt4p,TRADED_MAKER,TRADED_TAKER
3,1,177.524098,5.0,B,z6hszqlk,ms7a8uhu,TRADED_MAKER,TRADED_TAKER
3,1,178.070496,75.0,C,ljl164r2,96ketrjo,TRADED_MAKER,TRADED_TAKER
4,1,8.048131,20.0,A,ms7a8uhu,96ketrjo,TRADED_MAKER,TRADED_TAKER
4,1,8.249044,20.0,A,ms7a8uhu,uiv4izbd,TRADED_MAKER,TRADED_TAKER
4,1,15.123934,20.0,A,uiv4izbd,vypphzkk,TRADED_MAKER,TRADED_TAKER
4,1,19.374206,25.0,C,1h83ug1i,vypphzkk,TRADED_MAKER,TRADED_TAKER
4,1,20.820978,40.0,B,1h83ug1i,96ketrjo,TRADED_MAKER,TRADED_TAKER
4,1,29.747666,40.0,B,ms7a8uhu,1h83ug1i,TRADED_MAKER,TRADED_TAKER
4,1,34.23986,60.0,C,z6hszqlk,96ketrjo,TRADED_MAKER,TRADED_TAKER
4,1,40.822827,20.0,A,vypphzkk,96ketrjo,TRADED_MAKER,TRADED_TAKER
4,1,41.454372,15.0,B,ex29pt4p,ex29pt4p,TRADED_MAKER,TRADED_TAKER
4,1,47.683533,10.0,B,ex29pt4p,vypphzkk,TRADED_MAKER,TRADED_TAKER
4,1,47.893784,10.0,B,ex29pt4p,vypphzkk,TRADED_MAKER,TRADED_TAKER
4,1,49.040409,10.0,B,vypphzkk,96ketrjo,TRADED_MAKER,TRADED_TAKER
4,1,49.505744,80.0,C,z6hszqlk,ms7a8uhu,TRADED_MAKER,TRADED_TAKER
4,1,51.416888,15.0,A,vypphzkk,ex29pt4p,TRADED_MAKER,TRADED_TAKER
4,1,53.817591,50.0,B,di7rgth4,6arv7rmr,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,54.575126,5.0,B,z6hszqlk,96ketrjo,TRADED_MAKER,TRADED_TAKER
