round_number,group_id,timestamp,price,asset,maker,taker,making_order_status,taking_order_status
1,1,49.728924,35.0,A,a02i8gtj,4ja8qzfb,TRADED_MAKER,TRADED_TAKER
1,1,55.959093,50.0,C,gz8j0lgi,ktnra78b,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,63.614488,30.0,A,0e41u2ye,6s3j1snw,TRADED_MAKER,TRADED_TAKER
1,1,63.998347,40.0,A,n2ykqg11,k6obn070,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,65.308327,40.0,C,x3hfjsqp,a02i8gtj,TRADED_MAKER,TRADED_TAKER
1,1,68.157441,75.0,C,ktnra78b,a02i8gtj,TRADED_MAKER,TRADED_TAKER
1,1,75.396899,60.0,B,4ja8qzfb,g4a896c3,TRADED_MAKER,TRADED_TAKER
1,1,84.834011,175.0,D,bot-ETFMakerBot-21,ktnra78b,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,84.945238,40.0,A,a02i8gtj,bot-ETFMakerBot-21,MARKET_MAKER,MARKET_TAKER
1,1,85.068595,60.0,C,n2ykqg11,bot-ETFMakerBot-21,MARKET_MAKER,MARKET_TAKER
1,1,85.175102,75.0,C,0e41u2ye,bot-ETFMakerBot-21,MARKET_MAKER,MARKET_TAKER
1,1,97.406307,55.0,B,k6obn070,g4a896c3,TRADED_MAKER,TRADED_TAKER
1,1,105.689936,50.0,A,a02i8gtj,6s3j1snw,TRADED_MAKER,TRADED_TAKER
1,1,112.691034,50.0,A,g4a896c3,0e41u2ye,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,117.951042,40.0,A,a02i8gtj,xtuhyz0d,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,121.386365,40.0,A,n2ykqg11,0e41u2ye,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,128.538264,75.0,C,0e41u2ye,a02i8gtj,TRADED_MAKER,TRADED_TAKER
1,1,130.950476,75.0,C,6s3j1snw,xtuhyz0d,TRADED_MAKER,TRADED_TAKER
1,1,135.516646,75.0,C,4ja8qzfb,6s3j1snw,TRADED_MAKER,TRADED_TAKER
1,1,137.273434,80.0,C,g4a896c3,g4a896c3,TRADED_MAKER,TRADED_TAKER
1,1,146.458716,50.0,A,hsbawlc2,xtuhyz0d,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,148.936258,50.0,C,k6obn070,a02i8gtj,TRADED_MAKER,TRADED_TAKER
1,1,156.952397,180.0,D,bot-ETFMakerBot-21,gz8j0lgi,TRADED_MAKER,TRADED_TAKER
1,1,157.054599,40.0,A,n2ykqg11,bot-ETFMakerBot-21,MARKET_MAKER,MARKET_TAKER
1,1,157.172561,60.0,C,n2ykqg11,bot-ETFMakerBot-21,MARKET_MAKER,MARKET_TAKER
1,1,157.291733,80.0,C,6s3j1snw,bot-ETFMakerBot-21,MARKET_MAKER,MARKET_TAKER
1,1,173.809257,185.0,D,bot-ETFMakerBot-21,xtuhyz0d,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,173.930228,65.0,A,gz8j0lgi,bot-ETFMakerBot-21,MARKET_MAKER,MARKET_TAKER
1,1,174.031655,60.0,C,a02i8gtj,bot-ETFMakerBot-21,MARKET_MAKER,MARKET_TAKER
1,1,174.133963,60.0,C,xtuhyz0d,bot-ETFMakerBot-21,MARKET_MAKER,MARKET_TAKER
2,1,8.964469,30.0,A,6s3j1snw,a02i8gtj,TRADED_MAKER,TRADED_TAKER
2,1,14.436096,70.0,C,ktnra78b,6s3j1snw,TRADED_MAKER,TRADED_TAKER
2,1,28.071882,45.0,A,x3hfjsqp,0e41u2ye,ACCEPTED_MAKER,ACCEPTED_TAKER
