round_number,group_id,timestamp,price,asset,maker,taker,making_order_status,taking_order_status
1,1,40.253519,70.0,A,n8vldi8a,534u2i7l,TRADED_MAKER,TRADED_TAKER
1,1,51.639394,65.0,A,3jmhiir6,mte7tsen,TRADED_MAKER,TRADED_TAKER
1,1,52.980661,70.0,A,kvnnjmsq,n8vldi8a,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,77.608016,85.0,C,nuk7bi5k,n8vldi8a,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,79.743597,60.0,B,7y7ny8q2,kvnnjmsq,TRADED_MAKER,TRADED_TAKER
1,1,92.323368,70.0,A,tksh26lw,n8vldi8a,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,94.288022,70.0,A,19nuw3v9,n8vldi8a,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,108.415293,70.0,C,7y7ny8q2,kvnnjmsq,TRADED_MAKER,TRADED_TAKER
1,1,108.979589,70.0,C,mte7tsen,kvnnjmsq,TRADED_MAKER,TRADED_TAKER
1,1,133.716961,70.0,B,3jmhiir6,19nuw3v9,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,133.964478,50.0,C,c1na2cjj,534u2i7l,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,142.677024,70.0,B,nuk7bi5k,n8vldi8a,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,147.970198,40.0,A,7y7ny8q2,n8vldi8a,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,11.347446,100.0,A,c1na2cjj,n8vldi8a,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,11.920612,100.0,A,kvnnjmsq,nuk7bi5k,TRADED_MAKER,TRADED_TAKER
2,1,13.538772,80.0,A,mte7tsen,7y7ny8q2,TRADED_MAKER,TRADED_TAKER
2,1,15.285279,100.0,A,tksh26lw,7y7ny8q2,TRADED_MAKER,TRADED_TAKER
2,1,24.978818,100.0,A,mte7tsen,534u2i7l,TRADED_MAKER,TRADED_TAKER
2,1,34.032934,90.0,A,3jmhiir6,c1na2cjj,TRADED_MAKER,TRADED_TAKER
2,1,53.657856,65.0,B,534u2i7l,n8vldi8a,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,70.199038,95.0,C,tksh26lw,kvnnjmsq,TRADED_MAKER,TRADED_TAKER
2,1,84.467945,75.0,B,tksh26lw,19nuw3v9,TRADED_MAKER,TRADED_TAKER
2,1,98.212045,90.0,C,3jmhiir6,nuk7bi5k,TRADED_MAKER,TRADED_TAKER
2,1,109.585342,80.0,B,mte7tsen,n8vldi8a,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,137.972048,60.0,B,mte7tsen,kvnnjmsq,TRADED_MAKER,TRADED_TAKER
2,1,153.546167,75.0,A,19nuw3v9,n8vldi8a,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,164.579994,210.0,D,bot-ETFMakerBot-2,534u2i7l,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,164.681633,75.0,A,tksh26lw,bot-ETFMakerBot-2,MARKET_MAKER,MARKET_TAKER
2,1,164.76541,70.0,B,3jmhiir6,bot-ETFMakerBot-2,MARKET_MAKER,MARKET_TAKER
2,1,164.851025,65.0,C,n8vldi8a,bot-ETFMakerBot-2,MARKET_MAKER,MARKET_TAKER
3,1,10.757783,80.0,A,c1na2cjj,tksh26lw,TRADED_MAKER,TRADED_TAKER
3,1,15.093249,90.0,A,19nuw3v9,mte7tsen,TRADED_MAKER,TRADED_TAKER
3,1,17.543747,100.0,B,7y7ny8q2,n8vldi8a,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,19.288591,80.0,B,mte7tsen,n8vldi8a,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,22.380263,80.0,C,c1na2cjj,n8vldi8a,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,32.45877,90.0,A,534u2i7l,nuk7bi5k,TRADED_MAKER,TRADED_TAKER
3,1,41.41249,85.0,A,3jmhiir6,nuk7bi5k,TRADED_MAKER,TRADED_TAKER
3,1,42.880379,60.0,C,7y7ny8q2,7y7ny8q2,TRADED_MAKER,TRADED_TAKER
3,1,45.15292,255.0,D,bot-ETFMakerBot-3,534u2i7l,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,45.24802,90.0,A,tksh26lw,bot-ETFMakerBot-3,MARKET_MAKER,MARKET_TAKER
3,1,45.332152,90.0,B,tksh26lw,bot-ETFMakerBot-3,MARKET_MAKER,MARKET_TAKER
3,1,45.410956,75.0,C,n8vldi8a,bot-ETFMakerBot-3,MARKET_MAKER,MARKET_TAKER
3,1,74.796757,70.0,A,n8vldi8a,7y7ny8q2,TRADED_MAKER,TRADED_TAKER
3,1,97.591454,55.0,B,n8vldi8a,kvnnjmsq,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,107.009489,50.0,C,n8vldi8a,7y7ny8q2,TRADED_MAKER,TRADED_TAKER
3,1,108.4686,75.0,A,tksh26lw,n8vldi8a,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,113.305549,70.0,A,n8vldi8a,534u2i7l,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,122.920452,60.0,B,mte7tsen,19nuw3v9,TRADED_MAKER,TRADED_TAKER
3,1,134.078605,205.0,D,tksh26lw,bot-ETFMakerBot-3,TRADED_MAKER,TRADED_TAKER
3,1,134.174575,80.0,A,534u2i7l,bot-ETFMakerBot-3,MARKET_MAKER,MARKET_TAKER
3,1,134.264643,65.0,B,n8vldi8a,bot-ETFMakerBot-3,MARKET_MAKER,MARKET_TAKER
3,1,134.356633,60.0,C,n8vldi8a,bot-ETFMakerBot-3,MARKET_MAKER,MARKET_TAKER
3,1,137.951648,75.0,B,3jmhiir6,7y7ny8q2,TRADED_MAKER,TRADED_TAKER
3,1,145.740156,20.0,B,c1na2cjj,7y7ny8q2,TRADED_MAKER,TRADED_TAKER
3,1,148.072878,70.0,C,tksh26lw,mte7tsen,TRADED_MAKER,TRADED_TAKER
3,1,154.620898,45.0,C,7y7ny8q2,n8vldi8a,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,161.442641,75.0,B,3jmhiir6,kvnnjmsq,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,165.513726,45.0,C,7y7ny8q2,534u2i7l,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,166.839129,100.0,A,c1na2cjj,kvnnjmsq,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,6.304275,100.0,A,7y7ny8q2,3jmhiir6,TRADED_MAKER,TRADED_TAKER
4,1,10.140339,80.0,A,534u2i7l,kvnnjmsq,TRADED_MAKER,TRADED_TAKER
4,1,11.068982,85.0,A,n8vldi8a,nuk7bi5k,TRADED_MAKER,TRADED_TAKER
4,1,13.10608,100.0,A,tksh26lw,7y7ny8q2,TRADED_MAKER,TRADED_TAKER
4,1,15.408827,90.0,A,kvnnjmsq,kvnnjmsq,TRADED_MAKER,TRADED_TAKER
4,1,20.144596,90.0,A,19nuw3v9,nuk7bi5k,TRADED_MAKER,TRADED_TAKER
4,1,21.63717,60.0,B,mte7tsen,7y7ny8q2,TRADED_MAKER,TRADED_TAKER
4,1,41.745598,55.0,C,n8vldi8a,7y7ny8q2,TRADED_MAKER,TRADED_TAKER
4,1,46.157213,65.0,B,19nuw3v9,n8vldi8a,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,58.361879,70.0,A,n8vldi8a,7y7ny8q2,TRADED_MAKER,TRADED_TAKER
4,1,76.488597,70.0,C,kvnnjmsq,mte7tsen,TRADED_MAKER,TRADED_TAKER
4,1,141.489196,60.0,A,3jmhiir6,kvnnjmsq,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,154.783133,65.0,B,n8vldi8a,tksh26lw,TRADED_MAKER,TRADED_TAKER
4,1,197.83901,55.0,B,n8vldi8a,kvnnjmsq,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,223.269136,65.0,B,n8vldi8a,mte7tsen,TRADED_MAKER,TRADED_TAKER
4,1,259.902178,65.0,C,n8vldi8a,tksh26lw,TRADED_MAKER,TRADED_TAKER
4,1,266.645825,55.0,A,7y7ny8q2,3jmhiir6,TRADED_MAKER,TRADED_TAKER
4,1,266.922333,65.0,B,n8vldi8a,534u2i7l,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,274.246128,55.0,B,n8vldi8a,3jmhiir6,TRADED_MAKER,TRADED_TAKER
4,1,287.703946,60.0,C,3jmhiir6,3jmhiir6,TRADED_MAKER,TRADED_TAKER
5,1,10.760335,90.0,A,kvnnjmsq,7y7ny8q2,TRADED_MAKER,TRADED_TAKER
5,1,13.721959,90.0,A,n8vldi8a,mte7tsen,TRADED_MAKER,TRADED_TAKER
5,1,23.398922,65.0,C,n8vldi8a,19nuw3v9,TRADED_MAKER,TRADED_TAKER
5,1,23.9113,90.0,A,19nuw3v9,nuk7bi5k,TRADED_MAKER,TRADED_TAKER
5,1,25.912513,85.0,A,nuk7bi5k,3jmhiir6,TRADED_MAKER,TRADED_TAKER
5,1,32.156507,60.0,A,c1na2cjj,7y7ny8q2,TRADED_MAKER,TRADED_TAKER
5,1,58.394205,90.0,A,tksh26lw,7y7ny8q2,TRADED_MAKER,TRADED_TAKER
5,1,58.672154,71.0,A,n8vldi8a,534u2i7l,TRADED_MAKER,TRADED_TAKER
5,1,65.166414,60.0,B,kvnnjmsq,mte7tsen,TRADED_MAKER,TRADED_TAKER
5,1,124.574263,216.0,D,bot-ETFMakerBot-5,534u2i7l,ACCEPTED_MAKER,ACCEPTED_TAKER
5,1,124.663728,90.0,A,n8vldi8a,bot-ETFMakerBot-5,MARKET_MAKER,MARKET_TAKER
5,1,124.757064,63.0,B,3jmhiir6,bot-ETFMakerBot-5,MARKET_MAKER,MARKET_TAKER
5,1,124.839871,63.0,C,kvnnjmsq,bot-ETFMakerBot-5,MARKET_MAKER,MARKET_TAKER
5,1,166.402669,209.0,D,bot-ETFMakerBot-5,n8vldi8a,ACCEPTED_MAKER,ACCEPTED_TAKER
5,1,166.485767,80.0,A,534u2i7l,bot-ETFMakerBot-5,MARKET_MAKER,MARKET_TAKER
5,1,166.563381,64.0,B,n8vldi8a,bot-ETFMakerBot-5,MARKET_MAKER,MARKET_TAKER
5,1,166.6377,65.0,C,n8vldi8a,bot-ETFMakerBot-5,MARKET_MAKER,MARKET_TAKER
5,1,169.721319,60.0,B,tksh26lw,kvnnjmsq,ACCEPTED_MAKER,ACCEPTED_TAKER
5,1,274.151277,82.0,A,kvnnjmsq,tksh26lw,TRADED_MAKER,TRADED_TAKER
5,1,278.503594,55.0,B,n8vldi8a,534u2i7l,TRADED_MAKER,TRADED_TAKER
5,1,279.916702,59.0,B,3jmhiir6,n8vldi8a,ACCEPTED_MAKER,ACCEPTED_TAKER
6,1,6.386557,100.0,A,7y7ny8q2,n8vldi8a,ACCEPTED_MAKER,ACCEPTED_TAKER
6,1,10.641812,80.0,A,c1na2cjj,kvnnjmsq,ACCEPTED_MAKER,ACCEPTED_TAKER
6,1,10.89511,100.0,A,tksh26lw,c1na2cjj,TRADED_MAKER,TRADED_TAKER
6,1,22.599633,75.0,A,n8vldi8a,7y7ny8q2,TRADED_MAKER,TRADED_TAKER
6,1,30.316514,50.0,B,c1na2cjj,n8vldi8a,ACCEPTED_MAKER,ACCEPTED_TAKER
6,1,37.754039,96.0,A,534u2i7l,nuk7bi5k,TRADED_MAKER,TRADED_TAKER
6,1,38.048467,65.0,B,mte7tsen,n8vldi8a,ACCEPTED_MAKER,ACCEPTED_TAKER
6,1,47.939315,95.0,A,19nuw3v9,nuk7bi5k,TRADED_MAKER,TRADED_TAKER
6,1,70.80191,65.0,B,19nuw3v9,mte7tsen,TRADED_MAKER,TRADED_TAKER
6,1,86.975795,68.0,C,3jmhiir6,tksh26lw,TRADED_MAKER,TRADED_TAKER
6,1,97.69689,70.0,C,n8vldi8a,mte7tsen,TRADED_MAKER,TRADED_TAKER
6,1,103.282889,225.0,D,bot-ETFMakerBot-6,kvnnjmsq,ACCEPTED_MAKER,ACCEPTED_TAKER
6,1,103.36188,90.0,A,n8vldi8a,bot-ETFMakerBot-6,MARKET_MAKER,MARKET_TAKER
6,1,103.443866,65.0,B,n8vldi8a,bot-ETFMakerBot-6,MARKET_MAKER,MARKET_TAKER
6,1,103.524354,70.0,C,kvnnjmsq,bot-ETFMakerBot-6,MARKET_MAKER,MARKET_TAKER
6,1,107.849872,70.0,C,7y7ny8q2,mte7tsen,TRADED_MAKER,TRADED_TAKER
6,1,133.071545,65.0,C,n8vldi8a,tksh26lw,TRADED_MAKER,TRADED_TAKER
6,1,146.701356,65.0,B,n8vldi8a,tksh26lw,TRADED_MAKER,TRADED_TAKER
6,1,149.534049,65.0,B,n8vldi8a,mte7tsen,TRADED_MAKER,TRADED_TAKER
6,1,158.138271,68.0,B,3jmhiir6,kvnnjmsq,ACCEPTED_MAKER,ACCEPTED_TAKER
6,1,198.085479,65.0,C,n8vldi8a,tksh26lw,TRADED_MAKER,TRADED_TAKER
6,1,234.102607,65.0,C,3jmhiir6,19nuw3v9,TRADED_MAKER,TRADED_TAKER
6,1,238.336267,80.0,A,c1na2cjj,c1na2cjj,TRADED_MAKER,TRADED_TAKER
6,1,246.353219,89.0,A,tksh26lw,3jmhiir6,TRADED_MAKER,TRADED_TAKER
