round_number,group_id,timestamp,price,asset,maker,taker,making_order_status,taking_order_status
1,1,15.906755,1.0,A,drx8v90g,4zy7nuj1,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,24.309399,1.0,A,ybim77s4,4zy7nuj1,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,27.145115,1.0,C,drx8v90g,4zy7nuj1,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,27.672581,1.0,B,drx8v90g,z4w8pc5e,TRADED_MAKER,TRADED_TAKER
1,1,33.529654,1.0,A,0eujvpbo,l3ynec07,TRADED_MAKER,TRADED_TAKER
1,1,33.775082,1.0,B,ybim77s4,4zy7nuj1,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,36.335058,2.0,C,n5nfumep,4zy7nuj1,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,37.994175,3.0,A,1ca07ylf,4zy7nuj1,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,39.992573,1.0,C,ybim77s4,z4w8pc5e,TRADED_MAKER,TRADED_TAKER
1,1,43.509599,20.0,B,l3ynec07,4zy7nuj1,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,43.807003,1.0,C,0eujvpbo,9ax7r328,TRADED_MAKER,TRADED_TAKER
1,1,51.509545,1.0,B,0eujvpbo,z4w8pc5e,TRADED_MAKER,TRADED_TAKER
1,1,56.283787,15.0,B,ybim77s4,z4w8pc5e,TRADED_MAKER,TRADED_TAKER
1,1,62.345344,15.0,B,ybim77s4,n5nfumep,TRADED_MAKER,TRADED_TAKER
1,1,72.042602,20.0,C,4zy7nuj1,l3ynec07,TRADED_MAKER,TRADED_TAKER
1,1,76.586814,10.0,A,fufvra6j,n5nfumep,TRADED_MAKER,TRADED_TAKER
1,1,81.298088,70.0,B,4zy7nuj1,z4w8pc5e,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,99.632532,25.0,C,1ca07ylf,z4w8pc5e,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,102.24138,1.0,A,n5nfumep,9ax7r328,TRADED_MAKER,TRADED_TAKER
1,1,105.898129,1.0,B,fufvra6j,z4w8pc5e,TRADED_MAKER,TRADED_TAKER
1,1,108.585919,30.0,C,ybim77s4,l3ynec07,TRADED_MAKER,TRADED_TAKER
1,1,109.39896,1.0,A,9ax7r328,n5nfumep,TRADED_MAKER,TRADED_TAKER
1,1,110.423746,5.0,C,4pbqevj7,l3ynec07,TRADED_MAKER,TRADED_TAKER
1,1,116.640796,30.0,B,4zy7nuj1,z4w8pc5e,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,124.491919,25.0,B,4pbqevj7,drx8v90g,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,125.240109,10.0,A,yetwmp3i,4pbqevj7,TRADED_MAKER,TRADED_TAKER
1,1,141.994745,10.0,A,fufvra6j,z4w8pc5e,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,151.891806,15.0,A,ybim77s4,yetwmp3i,TRADED_MAKER,TRADED_TAKER
1,1,161.366536,25.0,B,l3ynec07,z4w8pc5e,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,166.537154,15.0,A,fufvra6j,n5nfumep,TRADED_MAKER,TRADED_TAKER
1,1,170.041706,50.0,C,4pbqevj7,z4w8pc5e,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,9.324504,20.0,A,n5nfumep,4zy7nuj1,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,11.087954,15.0,A,yetwmp3i,4zy7nuj1,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,13.640692,15.0,A,ybim77s4,4zy7nuj1,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,22.633475,20.0,B,yetwmp3i,ybim77s4,TRADED_MAKER,TRADED_TAKER
2,1,25.042867,20.0,C,yetwmp3i,z4w8pc5e,TRADED_MAKER,TRADED_TAKER
2,1,26.931693,20.0,A,n5nfumep,0eujvpbo,TRADED_MAKER,TRADED_TAKER
2,1,31.872617,20.0,B,1ca07ylf,4zy7nuj1,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,33.752908,25.0,B,4pbqevj7,4zy7nuj1,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,36.034129,30.0,B,n5nfumep,4zy7nuj1,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,42.721843,40.0,B,4pbqevj7,l3ynec07,TRADED_MAKER,TRADED_TAKER
2,1,45.580016,25.0,A,yetwmp3i,1ca07ylf,TRADED_MAKER,TRADED_TAKER
2,1,47.750423,20.0,C,n5nfumep,z4w8pc5e,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,50.205493,25.0,C,ybim77s4,4zy7nuj1,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,51.726818,35.0,A,1ca07ylf,4zy7nuj1,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,54.062272,50.0,B,drx8v90g,l3ynec07,TRADED_MAKER,TRADED_TAKER
2,1,56.628025,50.0,B,fufvra6j,l3ynec07,TRADED_MAKER,TRADED_TAKER
2,1,59.731877,20.0,C,ybim77s4,1ca07ylf,TRADED_MAKER,TRADED_TAKER
2,1,68.789527,20.0,B,ybim77s4,l3ynec07,TRADED_MAKER,TRADED_TAKER
2,1,70.421484,30.0,A,n5nfumep,z4w8pc5e,TRADED_MAKER,TRADED_TAKER
2,1,79.154816,45.0,B,4pbqevj7,l3ynec07,TRADED_MAKER,TRADED_TAKER
2,1,86.172783,110.0,D,bot-ETFMakerBot-52,yetwmp3i,TRADED_MAKER,TRADED_TAKER
2,1,86.259503,50.0,A,4pbqevj7,bot-ETFMakerBot-52,MARKET_MAKER,MARKET_TAKER
2,1,86.363334,10.0,B,z4w8pc5e,bot-ETFMakerBot-52,MARKET_MAKER,MARKET_TAKER
2,1,86.454705,50.0,C,0eujvpbo,bot-ETFMakerBot-52,MARKET_MAKER,MARKET_TAKER
2,1,101.830038,30.0,A,ybim77s4,n5nfumep,TRADED_MAKER,TRADED_TAKER
2,1,102.07032,40.0,B,4pbqevj7,0eujvpbo,TRADED_MAKER,TRADED_TAKER
2,1,103.448384,30.0,A,n5nfumep,n5nfumep,TRADED_MAKER,TRADED_TAKER
2,1,103.76081,20.0,A,l3ynec07,n5nfumep,TRADED_MAKER,TRADED_TAKER
2,1,107.348855,20.0,A,l3ynec07,yetwmp3i,TRADED_MAKER,TRADED_TAKER
2,1,114.16425,35.0,C,l3ynec07,l3ynec07,TRADED_MAKER,TRADED_TAKER
2,1,114.383181,50.0,B,4zy7nuj1,0eujvpbo,TRADED_MAKER,TRADED_TAKER
2,1,116.148369,35.0,C,ybim77s4,l3ynec07,TRADED_MAKER,TRADED_TAKER
2,1,116.679127,50.0,C,4zy7nuj1,z4w8pc5e,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,120.165231,30.0,A,n5nfumep,drx8v90g,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,122.151857,50.0,A,4zy7nuj1,z4w8pc5e,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,124.371123,150.0,D,bot-ETFMakerBot-52,4zy7nuj1,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,124.474209,50.0,A,4zy7nuj1,bot-ETFMakerBot-52,MARKET_MAKER,MARKET_TAKER
2,1,124.579181,50.0,B,4zy7nuj1,bot-ETFMakerBot-52,MARKET_MAKER,MARKET_TAKER
2,1,124.66394,50.0,C,l3ynec07,bot-ETFMakerBot-52,MARKET_MAKER,MARKET_TAKER
2,1,127.316117,50.0,B,z4w8pc5e,fufvra6j,TRADED_MAKER,TRADED_TAKER
2,1,135.269025,50.0,A,4zy7nuj1,l3ynec07,TRADED_MAKER,TRADED_TAKER
2,1,141.757765,35.0,C,0eujvpbo,yetwmp3i,TRADED_MAKER,TRADED_TAKER
2,1,146.353268,45.0,B,4pbqevj7,yetwmp3i,TRADED_MAKER,TRADED_TAKER
2,1,147.245768,25.0,B,n5nfumep,z4w8pc5e,TRADED_MAKER,TRADED_TAKER
2,1,157.320768,35.0,C,l3ynec07,z4w8pc5e,TRADED_MAKER,TRADED_TAKER
2,1,165.788845,125.0,D,bot-ETFMakerBot-52,4zy7nuj1,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,165.883292,35.0,A,1ca07ylf,bot-ETFMakerBot-52,MARKET_MAKER,MARKET_TAKER
2,1,165.963933,50.0,B,1ca07ylf,bot-ETFMakerBot-52,MARKET_MAKER,MARKET_TAKER
2,1,166.041501,40.0,C,yetwmp3i,bot-ETFMakerBot-52,MARKET_MAKER,MARKET_TAKER
2,1,167.326383,30.0,C,4pbqevj7,fufvra6j,TRADED_MAKER,TRADED_TAKER
2,1,170.054811,155.0,D,bot-ETFMakerBot-52,z4w8pc5e,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,170.152326,50.0,A,l3ynec07,bot-ETFMakerBot-52,MARKET_MAKER,MARKET_TAKER
2,1,170.236201,55.0,B,0eujvpbo,bot-ETFMakerBot-52,MARKET_MAKER,MARKET_TAKER
2,1,170.33011,50.0,C,1ca07ylf,bot-ETFMakerBot-52,MARKET_MAKER,MARKET_TAKER
3,1,3.15232,20.0,A,yetwmp3i,n5nfumep,TRADED_MAKER,TRADED_TAKER
3,1,4.483555,50.0,A,4pbqevj7,1ca07ylf,TRADED_MAKER,TRADED_TAKER
3,1,6.345369,10.0,A,ybim77s4,4zy7nuj1,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,9.085127,30.0,A,0eujvpbo,4zy7nuj1,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,12.132248,20.0,C,yetwmp3i,ybim77s4,TRADED_MAKER,TRADED_TAKER
3,1,13.816947,25.0,B,ybim77s4,4zy7nuj1,ACCEPTED_MAKER,ACCEPTED_TAKER
