round_number,group_id,timestamp,price,asset,maker,taker,making_order_status,taking_order_status
1,1,63.352711,40.0,B,w9u1sqye,hd4dj563,TRADED_MAKER,TRADED_TAKER
1,1,78.54577,57.0,A,1t3jsfz7,hdsocruk,TRADED_MAKER,TRADED_TAKER
1,1,95.242331,58.0,A,h3cjqqqu,iwrbb1no,TRADED_MAKER,TRADED_TAKER
1,1,103.85181,55.0,A,hd4dj563,iwrbb1no,TRADED_MAKER,TRADED_TAKER
1,1,136.345663,40.0,C,w9u1sqye,1t3jsfz7,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,144.998421,50.0,A,sm9nn6f5,sm9nn6f5,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,157.945663,50.0,B,vlzhiskj,sm9nn6f5,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,171.042454,180.0,D,bot-ETFMakerBot-61,1t3jsfz7,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,171.145933,60.0,A,hdsocruk,bot-ETFMakerBot-61,MARKET_MAKER,MARKET_TAKER
1,1,171.240676,60.0,B,e3smi6r7,bot-ETFMakerBot-61,MARKET_MAKER,MARKET_TAKER
1,1,171.339638,60.0,C,e3smi6r7,bot-ETFMakerBot-61,MARKET_MAKER,MARKET_TAKER
2,1,13.715243,60.0,A,1t3jsfz7,iwrbb1no,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,17.307025,50.0,A,w9u1sqye,1t3jsfz7,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,31.763054,60.0,A,sm9nn6f5,hdsocruk,TRADED_MAKER,TRADED_TAKER
2,1,40.539904,175.0,D,bot-ETFMakerBot-62,1t3jsfz7,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,40.636816,65.0,A,iwrbb1no,bot-ETFMakerBot-62,MARKET_MAKER,MARKET_TAKER
2,1,40.732751,50.0,B,w9u1sqye,bot-ETFMakerBot-62,MARKET_MAKER,MARKET_TAKER
2,1,40.814547,60.0,C,e3smi6r7,bot-ETFMakerBot-62,MARKET_MAKER,MARKET_TAKER
2,1,45.214287,46.0,A,h3cjqqqu,vlzhiskj,TRADED_MAKER,TRADED_TAKER
2,1,47.606439,45.0,A,w9u1sqye,vlzhiskj,TRADED_MAKER,TRADED_TAKER
2,1,57.960857,145.0,D,bot-ETFMakerBot-62,iwrbb1no,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,58.053068,20.0,A,vlzhiskj,bot-ETFMakerBot-62,MARKET_MAKER,MARKET_TAKER
2,1,58.142696,70.0,B,hdsocruk,bot-ETFMakerBot-62,MARKET_MAKER,MARKET_TAKER
2,1,58.235082,55.0,C,w9u1sqye,bot-ETFMakerBot-62,MARKET_MAKER,MARKET_TAKER
2,1,62.265037,40.0,C,vlzhiskj,1t3jsfz7,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,62.71534,60.0,A,hd4dj563,hdsocruk,TRADED_MAKER,TRADED_TAKER
2,1,66.422293,80.0,B,iwrbb1no,hd4dj563,TRADED_MAKER,TRADED_TAKER
2,1,85.236252,50.0,A,e3smi6r7,sm9nn6f5,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,97.214067,80.0,B,hdsocruk,sm9nn6f5,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,99.993103,55.0,C,hd4dj563,1t3jsfz7,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,106.484487,59.0,C,iwrbb1no,sm9nn6f5,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,114.352392,58.0,C,iwrbb1no,w9u1sqye,ACCEPTED_MAKER,ACCEPTED_TAKER
