round_number,group_id,timestamp,price,asset,maker,taker,making_order_status,taking_order_status
1,1,26.043294,100.0,A,negz2jyt,8jbcnqk8,TRADED_MAKER,TRADED_TAKER
1,1,43.392076,105.0,A,ecexrxp2,5fmgcamz,TRADED_MAKER,TRADED_TAKER
1,1,44.093922,30.0,C,tita9miw,8jbcnqk8,TRADED_MAKER,TRADED_TAKER
1,1,67.473589,55.0,B,tita9miw,5fmgcamz,TRADED_MAKER,TRADED_TAKER
1,1,75.758708,80.0,C,negz2jyt,vbfahm5c,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,79.540361,65.0,A,ecexrxp2,tita9miw,TRADED_MAKER,TRADED_TAKER
1,1,80.54301,80.0,A,tsn2t9qy,negz2jyt,TRADED_MAKER,TRADED_TAKER
1,1,86.604986,50.0,C,zl6gs3a2,5fmgcamz,TRADED_MAKER,TRADED_TAKER
1,1,101.079893,60.0,B,vbfahm5c,negz2jyt,TRADED_MAKER,TRADED_TAKER
1,1,117.204621,55.0,B,vbfahm5c,tsn2t9qy,TRADED_MAKER,TRADED_TAKER
1,1,120.286813,75.0,A,r82hzj9h,8jbcnqk8,TRADED_MAKER,TRADED_TAKER
1,1,124.453163,50.0,C,negz2jyt,5fmgcamz,TRADED_MAKER,TRADED_TAKER
1,1,127.925758,50.0,A,vbfahm5c,e9xpgl96,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,131.769854,55.0,B,r82hzj9h,5fmgcamz,TRADED_MAKER,TRADED_TAKER
1,1,133.308076,50.0,C,vbfahm5c,tsn2t9qy,TRADED_MAKER,TRADED_TAKER
1,1,133.875275,48.0,C,tita9miw,r82hzj9h,TRADED_MAKER,TRADED_TAKER
1,1,143.863442,75.0,A,r82hzj9h,viezv15q,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,171.841598,60.0,B,viezv15q,r82hzj9h,TRADED_MAKER,TRADED_TAKER
1,1,172.091803,95.0,C,viezv15q,viezv15q,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,174.647871,60.0,B,r82hzj9h,vbfahm5c,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,177.567998,55.0,B,zl6gs3a2,5fmgcamz,TRADED_MAKER,TRADED_TAKER
1,1,179.610605,65.0,B,vbfahm5c,viezv15q,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,11.971647,70.0,A,e9xpgl96,negz2jyt,TRADED_MAKER,TRADED_TAKER
2,1,14.118317,80.0,B,r82hzj9h,5fmgcamz,TRADED_MAKER,TRADED_TAKER
2,1,24.618621,50.0,C,ecexrxp2,e9xpgl96,ACCEPTED_MAKER,ACCEPTED_TAKER
