round_number,group_id,timestamp,price,asset,maker,taker,making_order_status,taking_order_status
1,1,45.332913,25.0,C,lzx7fpsl,27ejbw1r,TRADED_MAKER,TRADED_TAKER
1,1,54.747816,25.0,C,gw0jkif8,qxz4td7t,TRADED_MAKER,TRADED_TAKER
1,1,59.860346,100.0,B,v1xc1bva,45lmwe2s,TRADED_MAKER,TRADED_TAKER
1,1,64.622822,50.0,C,gw0jkif8,p9o3toka,TRADED_MAKER,TRADED_TAKER
1,1,70.923662,100.0,B,45lmwe2s,gw0jkif8,TRADED_MAKER,TRADED_TAKER
1,1,73.091535,50.0,B,p9o3toka,lzx7fpsl,TRADED_MAKER,TRADED_TAKER
1,1,82.464601,50.0,B,gw0jkif8,wu9jnmy8,TRADED_MAKER,TRADED_TAKER
1,1,85.382559,50.0,B,alis26yl,wu9jnmy8,TRADED_MAKER,TRADED_TAKER
1,1,88.155014,100.0,A,p9o3toka,gw0jkif8,TRADED_MAKER,TRADED_TAKER
1,1,95.726389,100.0,B,gw0jkif8,qn3fdkt1,TRADED_MAKER,TRADED_TAKER
1,1,102.138766,50.0,B,wu9jnmy8,45lmwe2s,TRADED_MAKER,TRADED_TAKER
1,1,103.267134,25.0,B,qxz4td7t,45lmwe2s,TRADED_MAKER,TRADED_TAKER
1,1,105.281333,10.0,B,45lmwe2s,v1xc1bva,TRADED_MAKER,TRADED_TAKER
1,1,106.895684,10.0,B,45lmwe2s,v1xc1bva,TRADED_MAKER,TRADED_TAKER
1,1,107.855289,50.0,C,v1xc1bva,knz2gps6,TRADED_MAKER,TRADED_TAKER
1,1,121.96016,50.0,B,knz2gps6,wu9jnmy8,TRADED_MAKER,TRADED_TAKER
1,1,135.870158,90.0,C,27ejbw1r,45lmwe2s,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,159.650853,75.0,A,qxz4td7t,45lmwe2s,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,165.014258,60.0,C,27ejbw1r,27ejbw1r,TRADED_MAKER,TRADED_TAKER
1,1,168.357156,35.0,C,alis26yl,45lmwe2s,ACCEPTED_MAKER,ACCEPTED_TAKER
