"sess","tre","r","activo","i","ordenes_compra","ordenes_venta","bb","bo","precio","dete","dete_a","z","dt"
"5c09zarp",2,1,1,4,1,0,50,NA,NA,0,0,1,0
"5c09zarp",2,1,1,5,1.77782135939915,0,75,NA,NA,0,0,1.77782135939915,0
"5c09zarp",2,1,1,6,1.77782135939915,0,75,NA,NA,0,0,1.77782135939915,0
"5c09zarp",2,1,1,7,1.77782135939915,0,75,NA,NA,0,0,1.77782135939915,0
"5c09zarp",2,1,1,8,1.77782135939915,0,75,NA,NA,0,0,1.77782135939915,0
"5c09zarp",2,1,1,9,2.55564271879829,0,75,NA,NA,0,0,2.55564271879829,0
"5c09zarp",2,1,1,10,2.55564271879829,0,75,NA,NA,0,0,2.55564271879829,0
"5c09zarp",2,1,1,11,2.25392816972766,0.881941811798912,75,100,NA,0,0,1.37198635792875,0
"5c09zarp",2,1,1,12,2.25392816972766,1.41552195879952,75,100,NA,0,0,0.83840621092814,0
"5c09zarp",2,1,1,13,2.25392816972766,2.29746377059844,75,100,NA,0,0,-0.0435356008707801,0
"5c09zarp",2,1,1,14,2.37008596458467,3.11225849757471,75,90,NA,0,0,-0.74217253299004,0
"5c09zarp",2,1,1,15,2.37008596458467,3.11225849757471,75,90,NA,0,0,-0.74217253299004,0
"5c09zarp",2,1,1,16,2.25392816972766,2.29746377059844,75,100,90,1,1,-0.0435356008707801,0
"5c09zarp",2,1,1,17,1.55564271879829,2.02622936038394,50,100,75,-1,0,-0.47058664158565,0
"5c09zarp",2,1,1,18,1.55564271879829,2.02622936038394,50,100,NA,0,0,-0.47058664158565,0
"5c09zarp",2,1,1,19,1.55564271879829,2.02622936038394,50,100,NA,0,0,-0.47058664158565,0
"5c09zarp",2,1,1,20,0.777821359399147,2.02622936038394,50,100,NA,0,0,-1.24840800098479,0
"5c09zarp",2,1,1,21,0.777821359399147,2.33346407819744,50,100,NA,0,0,-1.55564271879829,0
"5c09zarp",2,1,1,22,0.777821359399147,2.33346407819744,50,100,NA,0,0,-1.55564271879829,0
"5c09zarp",2,1,1,23,0.777821359399147,2.33346407819744,50,100,NA,0,0,-1.55564271879829,0
"5c09zarp",2,1,1,24,0.777821359399147,2.33346407819744,50,100,NA,0,0,-1.55564271879829,0
"5c09zarp",2,1,1,25,0,3,NA,100,50,-1,-1,-3,0
"5c09zarp",2,1,1,26,0,3,NA,100,NA,0,-1,-3,0
"5c09zarp",2,1,1,27,0,3,NA,100,NA,0,-1,-3,0
"5c09zarp",2,1,1,28,0,3,NA,100,NA,0,-1,-3,0
"5c09zarp",2,1,1,29,0,3.8529701497,NA,95,NA,0,-1,-3.8529701497,0
"5c09zarp",2,1,1,30,0,3.8529701497,NA,95,NA,0,-1,-3.8529701497,0
"5c09zarp",2,1,1,31,0,5.7549502495,NA,95,NA,0,-1,-5.7549502495,0
"5c09zarp",2,1,1,32,0,4.8039601996,NA,95,NA,0,-1,-4.8039601996,0
"5c09zarp",2,1,1,33,0,4.8039601996,NA,95,NA,0,-1,-4.8039601996,0
"5c09zarp",2,1,1,34,0,4.8039601996,NA,95,NA,0,-1,-4.8039601996,0
"5c09zarp",2,1,1,35,0,4.8039601996,NA,95,NA,0,-1,-4.8039601996,0
"5c09zarp",2,1,1,36,1.59723931115667,4.02916735077844,60,95,NA,0,-1,-2.43192803962177,0
"5c09zarp",2,1,1,37,1.59723931115667,4.02916735077844,60,95,NA,0,-1,-2.43192803962177,0
"5c09zarp",2,1,1,38,0.797612365791724,3.83169805997224,50,95,NA,0,-1,-3.03408569418052,0
"5c09zarp",2,1,1,39,0.797612365791724,3.83169805997224,50,95,NA,0,-1,-3.03408569418052,0
"5c09zarp",2,1,1,40,1.55613378933685,3.1904494631669,55,100,95,1,0,-1.63431567383005,0
"5c09zarp",2,1,1,41,1.55613378933685,3.1904494631669,55,100,NA,0,0,-1.63431567383005,0
"5c09zarp",2,1,1,42,1.55613378933685,1.59522473158345,55,100,NA,0,0,-0.0390909422465999,0
"5c09zarp",2,1,1,43,2.11721236955619,1.59522473158345,55,100,NA,0,0,0.52198763797274,0
"5c09zarp",2,1,1,44,2.46170781102317,2.29937966965862,55,70,NA,0,0,0.16232814136455,0
"5c09zarp",2,1,1,45,2.46170781102317,2.29937966965862,55,70,NA,0,0,0.16232814136455,0
"5c09zarp",2,1,1,46,2.11721236955619,2.39283709737517,55,100,NA,0,0,-0.27562472781898,0
"5c09zarp",2,1,1,47,1.35869094601107,2.39283709737517,55,100,NA,0,0,-1.0341461513641,0
"5c09zarp",2,1,1,48,1.54056756107268,3.01472516000751,55,75,NA,0,0,-1.47415759893483,0
"5c09zarp",2,1,1,49,1.54056756107268,3.01472516000751,55,75,NA,0,0,-1.47415759893483,0
"5c09zarp",2,1,1,50,0.904382075008804,3.01472516000751,55,75,NA,0,0,-2.11034308499871,0
"5c09zarp",2,1,1,51,0.904382075008804,3.01472516000751,55,75,NA,0,0,-2.11034308499871,0
"5c09zarp",2,1,1,52,0.904382075008804,1.60782977000837,55,75,NA,0,0,-0.703447694999566,0
"5c09zarp",2,1,1,53,0.904382075008804,1.60782977000837,55,75,NA,0,0,-0.703447694999566,0
"5c09zarp",2,1,1,54,0,1.77782135939915,NA,75,55,-1,-1,-1.77782135939915,0
"5c09zarp",2,1,1,55,0,1.77782135939915,NA,75,NA,0,-1,-1.77782135939915,0
"5c09zarp",2,1,1,56,0,1.77782135939915,NA,75,NA,0,-1,-1.77782135939915,0
"5c09zarp",2,1,1,57,0,1.77782135939915,NA,75,NA,0,-1,-1.77782135939915,0
"5c09zarp",2,1,1,58,0,1,NA,100,NA,0,-1,-1,0
"5c09zarp",2,1,1,59,0,1.70344769499957,NA,65,65,0,-1,-1.70344769499957,0
"5c09zarp",2,1,1,60,0,1.70344769499957,NA,65,NA,0,-1,-1.70344769499957,0
"5c09zarp",2,1,1,61,0,1.70344769499957,NA,65,NA,0,-1,-1.70344769499957,0
"5c09zarp",2,1,1,62,0,1.70344769499957,NA,65,NA,0,-1,-1.70344769499957,0
"5c09zarp",2,1,1,63,0,1.70344769499957,NA,65,NA,0,-1,-1.70344769499957,0
"5c09zarp",2,1,1,64,0,1,NA,100,65,1,0,-1,0
"5c09zarp",2,1,1,65,0,2,NA,100,NA,0,0,-2,0
"5c09zarp",2,1,1,66,0,2,NA,100,NA,0,0,-2,0
"5c09zarp",2,1,1,67,0,2,NA,100,NA,0,0,-2,0
"5c09zarp",2,1,1,68,0,2,NA,100,NA,0,0,-2,0
"5c09zarp",2,1,1,69,0,2,NA,100,NA,0,0,-2,0
"5c09zarp",2,1,1,70,0,2.9043820750088,NA,100,NA,0,0,-2.9043820750088,0
"5c09zarp",2,1,1,71,0,3.62667108761484,NA,90,NA,0,0,-3.62667108761484,0
"5c09zarp",2,1,1,72,0,3.62667108761484,NA,90,NA,0,0,-3.62667108761484,0
"5c09zarp",2,1,1,73,0,3.62667108761484,NA,90,NA,0,0,-3.62667108761484,0
"5c09zarp",2,2,1,1,0,1,NA,100,NA,0,0,-1,1
"5c09zarp",2,2,1,2,0,3,NA,100,NA,0,0,-3,0
"5c09zarp",2,2,1,3,0,5,NA,100,NA,0,0,-5,0
"5c09zarp",2,2,1,4,0,5,NA,100,NA,0,0,-5,0
"5c09zarp",2,2,1,5,0,4.88910679699573,NA,75,NA,0,0,-4.88910679699573,0
"5c09zarp",2,2,1,6,0,5,NA,100,75,2,2,-5,0
"5c09zarp",2,2,1,7,0,5,NA,100,NA,0,2,-5,0
"5c09zarp",2,2,1,8,0,5,NA,100,NA,0,2,-5,0
"5c09zarp",2,2,1,9,0,5,NA,100,NA,0,2,-5,0
"5c09zarp",2,2,1,10,0,5,NA,100,NA,0,2,-5,0
"5c09zarp",2,2,1,11,0,5,NA,100,NA,0,2,-5,0
"5c09zarp",2,2,1,12,0,4,NA,100,NA,0,2,-4,0
"5c09zarp",2,2,1,13,0,4,NA,100,NA,0,2,-4,0
"5c09zarp",2,2,1,14,0,4,NA,100,NA,0,2,-4,0
"5c09zarp",2,2,1,15,0,3,NA,100,100,1,3,-3,0
"5c09zarp",2,2,1,16,0,2,NA,100,100,1,4,-2,0
"5c09zarp",2,2,1,17,0,2,NA,100,NA,0,4,-2,0
"5c09zarp",2,2,1,18,0,2,NA,100,NA,0,4,-2,0
"5c09zarp",2,2,1,19,0,2,NA,100,NA,0,4,-2,0
"5c09zarp",2,2,1,20,0,3,NA,100,NA,0,4,-3,0
"5c09zarp",2,2,1,21,0,2,NA,100,100,1,5,-2,0
"5c09zarp",2,2,1,22,0.881941811798912,1.76388362359782,75,100,NA,0,5,-0.881941811798908,0
"5c09zarp",2,2,1,23,0.881941811798912,1.76388362359782,75,100,NA,0,5,-0.881941811798908,0
"5c09zarp",2,2,1,24,0.904382075008804,2.62449878429138,75,95,NA,0,5,-1.72011670928258,0
"5c09zarp",2,2,1,25,0,2.9019800998,NA,95,75,-1,4,-2.9019800998,0
"5c09zarp",2,2,1,26,0,2.9019800998,NA,95,NA,0,4,-2.9019800998,0
"5c09zarp",2,2,1,27,0,2.9019800998,NA,95,NA,0,4,-2.9019800998,0
"5c09zarp",2,2,1,28,0,2.9019800998,NA,95,NA,0,4,-2.9019800998,0
"5c09zarp",2,2,1,29,0,1.9509900499,NA,95,NA,0,4,-1.9509900499,0
"5c09zarp",2,2,1,30,0,1,NA,100,NA,0,4,-1,0
"5c09zarp",2,2,1,31,0,1.9043820750088,NA,90,NA,0,4,-1.9043820750088,0
"5c09zarp",2,2,1,32,0,1.9043820750088,NA,90,NA,0,4,-1.9043820750088,0
