"round","time_entered","asset","take_id","make_id","tiempo","ex_price","tre","session","make_pcode","take_pcode","make_isbid","isBot","maker_isBot","taker_isBot"
1,6.099141,1,230,229,6.099141,50,2,"5c09zarp","wzhg4oa2","3e62jo5n","FALSE",FALSE,FALSE,FALSE
1,9.186457,1,235,231,9.186457,50,2,"5c09zarp","ludkqeih","b396nsho","FALSE",FALSE,FALSE,FALSE
1,65.160928,1,265,260,65.160928,90,2,"5c09zarp","ye0pr3ke","a9s6ud85","FALSE",FALSE,FALSE,FALSE
1,67.767877,1,267,242,67.767877,75,2,"5c09zarp","wnv7vy8g","ludkqeih","TRUE",FALSE,FALSE,FALSE
1,100.390267,1,278,239,100.390267,50,2,"5c09zarp","ojv4w5fa","wnv7vy8g","TRUE",FALSE,FALSE,FALSE
1,159.869845,1,297,284,159.869845,95,2,"5c09zarp","a9s6ud85","bot-ETFMakerBot-4","FALSE",TRUE,FALSE,TRUE
1,217.672979,1,323,295,217.672979,55,2,"5c09zarp","wnv7vy8g","5n7cusa7","TRUE",FALSE,FALSE,FALSE
1,235.722341,1,331,329,235.722341,65,2,"5c09zarp","ye0pr3ke","bot-ETFMakerBot-4","FALSE",TRUE,FALSE,TRUE
1,258.055574,1,339,335,258.055574,65,2,"5c09zarp","ye0pr3ke","bot-ETFMakerBot-4","FALSE",TRUE,FALSE,TRUE
1,295.230284,1,353,349,295.230284,90,2,"5c09zarp","a9s6ud85","b396nsho","FALSE",FALSE,FALSE,FALSE
1,27.195849,2,244,240,27.195849,50,2,"5c09zarp","ludkqeih","wnv7vy8g","FALSE",FALSE,FALSE,FALSE
1,40.365495,2,248,228,40.365495,90,2,"5c09zarp","qxsjuzq3","3e62jo5n","FALSE",FALSE,FALSE,FALSE
1,58.148773,2,262,249,58.148773,50,2,"5c09zarp","ojv4w5fa","5n7cusa7","TRUE",FALSE,FALSE,FALSE
1,169.039721,2,300,286,169.039721,50,2,"5c09zarp","wzhg4oa2","a9s6ud85","FALSE",FALSE,FALSE,FALSE
1,221.368883,2,324,321,221.368883,40,2,"5c09zarp","wzhg4oa2","a9s6ud85","FALSE",FALSE,FALSE,FALSE
1,295.500373,2,355,351,295.500373,40,2,"5c09zarp","wzhg4oa2","a9s6ud85","FALSE",FALSE,FALSE,FALSE
1,12.540601,3,236,232,12.540601,50,2,"5c09zarp","wzhg4oa2","wnv7vy8g","FALSE",FALSE,FALSE,FALSE
