participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.settled_assets;player.available_assets;player.settled_cash;player.available_cash;player.payoff;group.id_in_subsession;group.ran_ready_function;group.realized_state;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;wnv7vy8g;;0;30;297;otree_etf_cda;Results;2021-12-17 23:57:01.923488+00:00;1;;;490;1;;{'A': 3, 'B': 2, 'C': 2, 'D': 0};{'A': 2, 'B': 2, 'C': 2, 'D': 0};135;135;645;1;2021-12-17 23:57:57.380153+00:00;Z;1;5c09zarp;;;;;0
2;5n7cusa7;;0;30;297;otree_etf_cda;Results;2021-12-17 23:56:47.684696+00:00;1;;;600;2;;{'A': 1, 'B': 4, 'C': 2, 'D': 0};{'A': 1, 'B': 3, 'C': 2, 'D': 0};215;215;665;1;2021-12-17 23:57:57.380153+00:00;Z;1;5c09zarp;;;;;0
3;a9s6ud85;;0;298;297;otree_etf_cda;Results;2021-12-17 23:56:56.001880+00:00;1;;;695;3;;{'A': 2, 'B': 2, 'C': 2, 'D': 0};{'A': 2, 'B': 2, 'C': 2, 'D': 0};190;190;580;1;2021-12-17 23:57:57.380153+00:00;Z;1;5c09zarp;;;;;0
4;qxsjuzq3;;0;298;297;otree_etf_cda;Results;2021-12-17 23:57:09.068341+00:00;1;;;660;4;;{'A': 1, 'B': 0, 'C': 3, 'D': 0};{'A': 1, 'B': 0, 'C': 3, 'D': 0};270;270;450;1;2021-12-17 23:57:57.380153+00:00;Z;1;5c09zarp;;;;;0
5;3e62jo5n;;0;298;297;otree_etf_cda;Results;2021-12-17 23:57:11.804852+00:00;1;;;495;5;;{'A': 4, 'B': 5, 'C': 2, 'D': 0};{'A': 3, 'B': 3, 'C': 1, 'D': 0};10;0;910;1;2021-12-17 23:57:57.380153+00:00;Z;1;5c09zarp;;;;;0
6;ojv4w5fa;;0;298;297;otree_etf_cda;Results;2021-12-17 23:57:19.365673+00:00;1;;;690;6;;{'A': 0, 'B': 4, 'C': 2, 'D': 0};{'A': 0, 'B': 4, 'C': 2, 'D': 0};315;315;645;1;2021-12-17 23:57:57.380153+00:00;Z;1;5c09zarp;;;;;0
7;ye0pr3ke;;0;298;297;otree_etf_cda;Results;2021-12-17 23:57:55.490218+00:00;1;;;560;7;;{'A': 3, 'B': 0, 'C': 1, 'D': 0};{'A': 2, 'B': 0, 'C': 1, 'D': 0};245;155;485;1;2021-12-17 23:57:57.380153+00:00;Z;1;5c09zarp;;;;;0
8;b396nsho;;0;298;297;otree_etf_cda;Results;2021-12-17 23:57:51.395077+00:00;1;;;715;8;;{'A': 1, 'B': 3, 'C': 3, 'D': 1};{'A': 1, 'B': 3, 'C': 3, 'D': 1};90;90;840;1;2021-12-17 23:57:57.380153+00:00;Z;1;5c09zarp;;;;;0
9;ludkqeih;;0;298;297;otree_etf_cda;Results;2021-12-17 23:57:46.766594+00:00;1;;;520;9;;{'A': 4, 'B': 0, 'C': 1, 'D': 0};{'A': 4, 'B': 0, 'C': 1, 'D': 0};185;185;545;1;2021-12-17 23:57:57.380153+00:00;Z;1;5c09zarp;;;;;0
10;wzhg4oa2;;0;298;297;otree_etf_cda;Results;2021-12-17 23:57:50.760282+00:00;1;;;505;10;;{'A': 0, 'B': 1, 'C': 0, 'D': 0};{'A': 0, 'B': 0, 'C': 0, 'D': 0};395;345;275;1;2021-12-17 23:57:57.380153+00:00;Z;1;5c09zarp;;;;;0
1;wnv7vy8g;;0;30;297;otree_etf_cda;Results;2021-12-17 23:57:01.923488+00:00;1;;;490;1;;{'A': 2, 'B': 2, 'C': 2, 'D': 0};{'A': 2, 'B': 2, 'C': 2, 'D': 0};170;10;200;1;2021-12-18 00:02:59.108762+00:00;Y;2;5c09zarp;;;;;0
2;5n7cusa7;;0;30;297;otree_etf_cda;Results;2021-12-17 23:56:47.684696+00:00;1;;;600;2;;{'A': 1, 'B': 2, 'C': 2, 'D': 0};{'A': 1, 'B': 2, 'C': 1, 'D': 0};310;310;220;1;2021-12-18 00:02:59.108762+00:00;Y;2;5c09zarp;;;;;0
3;a9s6ud85;;0;298;297;otree_etf_cda;Results;2021-12-17 23:56:56.001880+00:00;1;;;695;3;;{'A': 2, 'B': 1, 'C': 2, 'D': 0};{'A': 2, 'B': 1, 'C': 2, 'D': 0};195;195;225;1;2021-12-18 00:02:59.108762+00:00;Y;2;5c09zarp;;;;;0
4;qxsjuzq3;;0;298;297;otree_etf_cda;Results;2021-12-17 23:57:09.068341+00:00;1;;;660;4;;{'A': 1, 'B': 1, 'C': 2, 'D': 0};{'A': 1, 'B': 1, 'C': 2, 'D': 0};400;400;310;1;2021-12-18 00:02:59.108762+00:00;Y;2;5c09zarp;;;;;0
5;3e62jo5n;;0;298;297;otree_etf_cda;Results;2021-12-17 23:57:11.804852+00:00;1;;;495;5;;{'A': 4, 'B': 3, 'C': 2, 'D': 0};{'A': 4, 'B': 3, 'C': 2, 'D': 0};0;0;270;1;2021-12-18 00:02:59.108762+00:00;Y;2;5c09zarp;;;;;0
6;ojv4w5fa;;0;298;297;otree_etf_cda;Results;2021-12-17 23:57:19.365673+00:00;1;;;690;6;;{'A': 0, 'B': 4, 'C': 4, 'D': 0};{'A': 0, 'B': 4, 'C': 4, 'D': 0};70;70;-140;1;2021-12-18 00:02:59.108762+00:00;Y;2;5c09zarp;;;;;0
7;ye0pr3ke;;0;298;297;otree_etf_cda;Results;2021-12-17 23:57:55.490218+00:00;1;;;560;7;;{'A': 3, 'B': 1, 'C': 1, 'D': 0};{'A': 3, 'B': 1, 'C': 1, 'D': 0};210;110;360;1;2021-12-18 00:02:59.108762+00:00;Y;2;5c09zarp;;;;;0
8;b396nsho;;0;298;297;otree_etf_cda;Results;2021-12-17 23:57:51.395077+00:00;1;;;715;8;;{'A': 0, 'B': 3, 'C': 3, 'D': 1};{'A': 0, 'B': 3, 'C': 3, 'D': 1};185;185;95;1;2021-12-18 00:02:59.108762+00:00;Y;2;5c09zarp;;;;;0
