participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.settled_assets;player.available_assets;player.settled_cash;player.available_cash;player.payoff;group.id_in_subsession;group.ran_ready_function;group.realized_state;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;de6jd5gp;;0;298;297;otree_etf_cda;Results;2022-02-18 23:29:06.516374+00:00;1;;;620;1;;{'A': 3, 'B': 1, 'C': 1, 'D': 0};{'A': 2, 'B': 1, 'C': 0, 'D': 0};180;140;510;1;2022-02-18 23:30:42.680018+00:00;Z;1;5hg5nwn9;;;;;0
2;95w2vfd2;;0;298;297;otree_etf_cda;Results;2022-02-18 23:29:28.823712+00:00;1;;;454;2;;{'A': 1, 'B': 3, 'C': 3, 'D': 0};{'A': 0, 'B': 3, 'C': 3, 'D': 0};210;210;660;1;2022-02-18 23:30:42.680018+00:00;Z;1;5hg5nwn9;;;;;0
3;eyhq4uyw;;0;298;297;otree_etf_cda;Results;2022-02-18 23:29:32.278022+00:00;1;;;610;3;;{'A': 6, 'B': 1, 'C': 1, 'D': 0};{'A': 6, 'B': 1, 'C': 1, 'D': 0};150;55;840;1;2022-02-18 23:30:42.680018+00:00;Z;1;5hg5nwn9;;;;;0
4;v315kqj5;;0;298;297;otree_etf_cda;Results;2022-02-18 23:29:40.877678+00:00;1;;;660;4;;{'A': 2, 'B': 3, 'C': 3, 'D': 0};{'A': 1, 'B': 1, 'C': 2, 'D': 0};188;92;758;1;2022-02-18 23:30:42.680018+00:00;Z;1;5hg5nwn9;;;;;0
5;5qator08;;0;298;297;otree_etf_cda;Results;2022-02-18 23:29:38.961156+00:00;1;;;529;5;;{'A': 4, 'B': 2, 'C': 1, 'D': 0};{'A': 4, 'B': 2, 'C': 1, 'D': 0};115;7;655;1;2022-02-18 23:30:42.680018+00:00;Z;1;5hg5nwn9;;;;;0
6;2q9lj2z7;;0;298;297;otree_etf_cda;Results;2022-02-18 23:29:33.926010+00:00;1;;;532;6;;{'A': 1, 'B': 3, 'C': 5, 'D': 0};{'A': 0, 'B': 3, 'C': 5, 'D': 0};145;145;775;1;2022-02-18 23:30:42.680018+00:00;Z;1;5hg5nwn9;;;;;0
7;qspd9xx0;;0;298;297;otree_etf_cda;Results;2022-02-18 23:30:09.869627+00:00;1;;;540;7;;{'A': 1, 'B': 1, 'C': 0, 'D': 0};{'A': 0, 'B': 0, 'C': 0, 'D': 0};292;156;292;1;2022-02-18 23:30:42.680018+00:00;Z;1;5hg5nwn9;;;;;0
8;1xu7yemp;;0;298;297;otree_etf_cda;Results;2022-02-18 23:29:51.345499+00:00;1;;;641;8;;{'A': 1, 'B': 2, 'C': 3, 'D': 0};{'A': 1, 'B': 2, 'C': 3, 'D': 0};260;240;620;1;2022-02-18 23:30:42.680018+00:00;Z;1;5hg5nwn9;;;;;0
9;4oufp9s9;;0;298;297;otree_etf_cda;Results;2022-02-18 23:30:12.002803+00:00;1;;;660;9;;{'A': 0, 'B': 1, 'C': 0, 'D': 0};{'A': 0, 'B': 0, 'C': 0, 'D': 0};350;300;230;1;2022-02-18 23:30:42.680018+00:00;Z;1;5hg5nwn9;;;;;0
10;epklu3hw;;0;298;297;otree_etf_cda;Results;2022-02-18 23:30:00.702970+00:00;1;;;710;10;;{'A': 0, 'B': 3, 'C': 2, 'D': 0};{'A': 0, 'B': 2, 'C': 2, 'D': 0};290;100;530;1;2022-02-18 23:30:42.680018+00:00;Z;1;5hg5nwn9;;;;;0
1;de6jd5gp;;0;298;297;otree_etf_cda;Results;2022-02-18 23:29:06.516374+00:00;1;;;620;1;;{'A': 3, 'B': 1, 'C': 1, 'D': 0};{'A': 2, 'B': 1, 'C': 1, 'D': 0};260;149;230;1;2022-02-18 23:36:10.700987+00:00;X;2;5hg5nwn9;;;;;0
2;95w2vfd2;;0;298;297;otree_etf_cda;Results;2022-02-18 23:29:28.823712+00:00;1;;;454;2;;{'A': 1, 'B': 3, 'C': 3, 'D': 0};{'A': 0, 'B': 1, 'C': 1, 'D': 0};210;210;540;1;2022-02-18 23:36:10.700987+00:00;X;2;5hg5nwn9;;;;;0
3;eyhq4uyw;;0;298;297;otree_etf_cda;Results;2022-02-18 23:29:32.278022+00:00;1;;;610;3;;{'A': 3, 'B': 1, 'C': 1, 'D': 0};{'A': 0, 'B': 0, 'C': 0, 'D': 0};210;15;180;1;2022-02-18 23:36:10.700987+00:00;X;2;5hg5nwn9;;;;;0
4;v315kqj5;;0;298;297;otree_etf_cda;Results;2022-02-18 23:29:40.877678+00:00;1;;;660;4;;{'A': 2, 'B': 3, 'C': 3, 'D': 0};{'A': 0, 'B': 0, 'C': 1, 'D': 0};180;19;510;1;2022-02-18 23:36:10.700987+00:00;X;2;5hg5nwn9;;;;;0
5;5qator08;;0;298;297;otree_etf_cda;Results;2022-02-18 23:29:38.961156+00:00;1;;;529;5;;{'A': 4, 'B': 1, 'C': 0, 'D': 0};{'A': 4, 'B': 1, 'C': 0, 'D': 0};165;56;45;1;2022-02-18 23:36:10.700987+00:00;X;2;5hg5nwn9;;;;;0
6;2q9lj2z7;;0;298;297;otree_etf_cda;Results;2022-02-18 23:29:33.926010+00:00;1;;;532;6;;{'A': 2, 'B': 4, 'C': 3, 'D': 0};{'A': 2, 'B': 3, 'C': 3, 'D': 0};95;95;515;1;2022-02-18 23:36:10.700987+00:00;X;2;5hg5nwn9;;;;;0
7;qspd9xx0;;0;298;297;otree_etf_cda;Results;2022-02-18 23:30:09.869627+00:00;1;;;540;7;;{'A': 2, 'B': 1, 'C': 1, 'D': 0};{'A': 1, 'B': 1, 'C': 1, 'D': 0};250;20;220;1;2022-02-18 23:36:10.700987+00:00;X;2;5hg5nwn9;;;;;0
