participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.settled_assets;player.available_assets;player.settled_cash;player.available_cash;player.payoff;group.id_in_subsession;group.ran_ready_function;group.realized_state;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;4nap20vd;;0;298;297;otree_etf_cda;Results;2022-01-28 23:32:05.907611+00:00;1;;;480;1;;{'A': 3, 'B': 1, 'C': 2, 'D': 0};{'A': 3, 'B': 1, 'C': 2, 'D': 0};195;195;345;1;2022-01-28 23:34:40.225840+00:00;Y;1;8a2eh68m;;;;;0
2;r9a7kqaf;;0;298;297;otree_etf_cda;Results;2022-01-28 23:31:54.239903+00:00;1;;;150;2;;{'A': 0, 'B': 3, 'C': 2, 'D': 0};{'A': 0, 'B': 3, 'C': 1, 'D': 0};295;175;85;1;2022-01-28 23:34:40.225840+00:00;Y;1;8a2eh68m;;;;;0
3;im7mmzwe;;0;298;297;otree_etf_cda;Results;2022-01-28 23:32:30.590220+00:00;1;;;175;3;;{'A': 3, 'B': 0, 'C': 2, 'D': 0};{'A': 3, 'B': 0, 'C': 2, 'D': 0};230;80;380;1;2022-01-28 23:34:40.225840+00:00;Y;1;8a2eh68m;;;;;0
4;b56s5xho;;0;298;297;otree_etf_cda;Results;2022-01-28 23:32:52.849060+00:00;1;;;120;4;;{'A': 1, 'B': 4, 'C': 3, 'D': 0};{'A': 1, 'B': 4, 'C': 3, 'D': 0};160;160;70;1;2022-01-28 23:34:40.225840+00:00;Y;1;8a2eh68m;;;;;0
5;fxnsgkj4;;0;298;297;otree_etf_cda;Results;2022-01-28 23:32:24.776402+00:00;1;;;290;5;;{'A': 3, 'B': 1, 'C': 1, 'D': 0};{'A': 3, 'B': 1, 'C': 1, 'D': 0};210;210;360;1;2022-01-28 23:34:40.225840+00:00;Y;1;8a2eh68m;;;;;0
6;hs76c7lv;;0;298;297;otree_etf_cda;Results;2022-01-28 23:32:28.817512+00:00;1;;;370;6;;{'A': 1, 'B': 3, 'C': 3, 'D': 0};{'A': 1, 'B': 0, 'C': 0, 'D': 0};210;0;120;1;2022-01-28 23:34:40.225840+00:00;Y;1;8a2eh68m;;;;;0
7;tt020odr;;0;298;297;otree_etf_cda;Results;2022-01-28 23:32:40.947876+00:00;1;;;281;7;;{'A': 3, 'B': 3, 'C': 2, 'D': 0};{'A': 3, 'B': 3, 'C': 1, 'D': 0};90;40;240;1;2022-01-28 23:34:40.225840+00:00;Y;1;8a2eh68m;;;;;0
8;iaswwozd;;0;298;297;otree_etf_cda;Results;2022-01-28 23:33:11.423901+00:00;1;;;203;8;;{'A': 2, 'B': 1, 'C': 0, 'D': 0};{'A': 1, 'B': 0, 'C': 0, 'D': 0};305;305;335;1;2022-01-28 23:34:40.225840+00:00;Y;1;8a2eh68m;;;;;0
9;p83viyce;;0;298;297;otree_etf_cda;Results;2022-01-28 23:33:00.884726+00:00;1;;;450;9;;{'A': 3, 'B': 1, 'C': 2, 'D': 0};{'A': 2, 'B': 1, 'C': 2, 'D': 0};190;90;340;1;2022-01-28 23:34:40.225840+00:00;Y;1;8a2eh68m;;;;;0
10;bplz3kk4;;0;298;297;otree_etf_cda;Results;2022-01-28 23:34:17.165972+00:00;1;;;154;10;;{'A': 1, 'B': 3, 'C': 3, 'D': 0};{'A': 1, 'B': 3, 'C': 2, 'D': 0};210;55;120;1;2022-01-28 23:34:40.225840+00:00;Y;1;8a2eh68m;;;;;0
11;1eeggcg0;;0;298;297;otree_etf_cda;Results;2022-01-28 23:34:29.670473+00:00;1;;;20;11;;{'A': 2, 'B': 1, 'C': 1, 'D': 0};{'A': 2, 'B': 1, 'C': 1, 'D': 0};240;56;270;1;2022-01-28 23:34:40.225840+00:00;Y;1;8a2eh68m;;;;;0
12;9428xsxf;;0;298;297;otree_etf_cda;Results;2022-01-28 23:34:38.767208+00:00;1;;;175;12;;{'A': 1, 'B': 3, 'C': 3, 'D': 0};{'A': 1, 'B': 2, 'C': 2, 'D': 0};235;75;145;1;2022-01-28 23:34:40.225840+00:00;Y;1;8a2eh68m;;;;;0
1;4nap20vd;;0;298;297;otree_etf_cda;Results;2022-01-28 23:32:05.907611+00:00;1;;;480;1;;{'A': 3, 'B': 3, 'C': 2, 'D': 0};{'A': 3, 'B': 3, 'C': 2, 'D': 0};45;45;195;1;2022-01-28 23:39:37.553239+00:00;Y;2;8a2eh68m;;;;;0
2;r9a7kqaf;;0;298;297;otree_etf_cda;Results;2022-01-28 23:31:54.239903+00:00;1;;;150;2;;{'A': 2, 'B': 2, 'C': 3, 'D': 0};{'A': 2, 'B': 2, 'C': 3, 'D': 0};165;105;195;1;2022-01-28 23:39:37.553239+00:00;Y;2;8a2eh68m;;;;;0
3;im7mmzwe;;0;298;297;otree_etf_cda;Results;2022-01-28 23:32:30.590220+00:00;1;;;175;3;;{'A': 1, 'B': 2, 'C': 0, 'D': 0};{'A': 1, 'B': 2, 'C': 0, 'D': 0};320;270;230;1;2022-01-28 23:39:37.553239+00:00;Y;2;8a2eh68m;;;;;0
4;b56s5xho;;0;298;297;otree_etf_cda;Results;2022-01-28 23:32:52.849060+00:00;1;;;120;4;;{'A': 1, 'B': 3, 'C': 3, 'D': 0};{'A': 1, 'B': 3, 'C': 3, 'D': 0};210;140;120;1;2022-01-28 23:39:37.553239+00:00;Y;2;8a2eh68m;;;;;0
5;fxnsgkj4;;0;298;297;otree_etf_cda;Results;2022-01-28 23:32:24.776402+00:00;1;;;290;5;;{'A': 3, 'B': 1, 'C': 1, 'D': 0};{'A': 2, 'B': 1, 'C': 1, 'D': 0};180;130;330;1;2022-01-28 23:39:37.553239+00:00;Y;2;8a2eh68m;;;;;0
6;hs76c7lv;;0;298;297;otree_etf_cda;Results;2022-01-28 23:32:28.817512+00:00;1;;;370;6;;{'A': 4, 'B': 2, 'C': 3, 'D': 0};{'A': 3, 'B': 2, 'C': 1, 'D': 0};225;225;495;1;2022-01-28 23:39:37.553239+00:00;Y;2;8a2eh68m;;;;;0
7;tt020odr;;0;298;297;otree_etf_cda;Results;2022-01-28 23:32:40.947876+00:00;1;;;281;7;;{'A': 4, 'B': 1, 'C': 0, 'D': 0};{'A': 3, 'B': 0, 'C': 0, 'D': 0};210;115;480;1;2022-01-28 23:39:37.553239+00:00;Y;2;8a2eh68m;;;;;0
8;iaswwozd;;0;298;297;otree_etf_cda;Results;2022-01-28 23:33:11.423901+00:00;1;;;203;8;;{'A': 1, 'B': 1, 'C': 0, 'D': 0};{'A': 0, 'B': 0, 'C': 0, 'D': 0};441;396;351;1;2022-01-28 23:39:37.553239+00:00;Y;2;8a2eh68m;;;;;0
9;p83viyce;;0;298;297;otree_etf_cda;Results;2022-01-28 23:33:00.884726+00:00;1;;;450;9;;{'A': 3, 'B': 1, 'C': 2, 'D': 0};{'A': 2, 'B': 0, 'C': 1, 'D': 0};160;10;310;1;2022-01-28 23:39:37.553239+00:00;Y;2;8a2eh68m;;;;;0
10;bplz3kk4;;0;298;297;otree_etf_cda;Results;2022-01-28 23:34:17.165972+00:00;1;;;154;10;;{'A': 1, 'B': 3, 'C': 3, 'D': 0};{'A': 1, 'B': 3, 'C': 3, 'D': 0};240;90;150;1;2022-01-28 23:39:37.553239+00:00;Y;2;8a2eh68m;;;;;0
11;1eeggcg0;;0;298;297;otree_etf_cda;Results;2022-01-28 23:34:29.670473+00:00;1;;;20;11;;{'A': 1, 'B': 1, 'C': 3, 'D': 0};{'A': 1, 'B': 1, 'C': 3, 'D': 0};199;109;109;1;2022-01-28 23:39:37.553239+00:00;Y;2;8a2eh68m;;;;;0
12;9428xsxf;;0;298;297;otree_etf_cda;Results;2022-01-28 23:34:38.767208+00:00;1;;;175;12;;{'A': 0, 'B': 4, 'C': 4, 'D': 0};{'A': 0, 'B': 3, 'C': 3, 'D': 0};125;125;-85;1;2022-01-28 23:39:37.553239+00:00;Y;2;8a2eh68m;;;;;0
1;4nap20vd;;0;298;297;otree_etf_cda;Results;2022-01-28 23:32:05.907611+00:00;1;;;480;1;;{'A': 2, 'B': 3, 'C': 2, 'D': 0};{'A': 2, 'B': 3, 'C': 2, 'D': 0};140;140;380;1;2022-01-28 23:43:59.764550+00:00;X;3;8a2eh68m;;;;;0
2;r9a7kqaf;;0;298;297;otree_etf_cda;Results;2022-01-28 23:31:54.239903+00:00;1;;;150;2;;{'A': 2, 'B': 2, 'C': 1, 'D': 1};{'A': 2, 'B': 2, 'C': 1, 'D': 1};177;127;417;1;2022-01-28 23:43:59.764550+00:00;X;3;8a2eh68m;;;;;0
3;im7mmzwe;;0;298;297;otree_etf_cda;Results;2022-01-28 23:32:30.590220+00:00;1;;;175;3;;{'A': 2, 'B': 2, 'C': 0, 'D': 0};{'A': 2, 'B': 2, 'C': 0, 'D': 0};90;90;60;1;2022-01-28 23:43:59.764550+00:00;X;3;8a2eh68m;;;;;0
4;b56s5xho;;0;298;297;otree_etf_cda;Results;2022-01-28 23:32:52.849060+00:00;1;;;120;4;;{'A': 2, 'B': 3, 'C': 3, 'D': 0};{'A': 2, 'B': 2, 'C': 3, 'D': 0};140;140;470;1;2022-01-28 23:43:59.764550+00:00;X;3;8a2eh68m;;;;;0
5;fxnsgkj4;;0;298;297;otree_etf_cda;Results;2022-01-28 23:32:24.776402+00:00;1;;;290;5;;{'A': 2, 'B': 1, 'C': 2, 'D': 0};{'A': 2, 'B': 0, 'C': 2, 'D': 0};310;60;370;1;2022-01-28 23:43:59.764550+00:00;X;3;8a2eh68m;;;;;0
6;hs76c7lv;;0;298;297;otree_etf_cda;Results;2022-01-28 23:32:28.817512+00:00;1;;;370;6;;{'A': 2, 'B': 0, 'C': 3, 'D': 0};{'A': 2, 'B': 0, 'C': 3, 'D': 0};425;385;485;1;2022-01-28 23:43:59.764550+00:00;X;3;8a2eh68m;;;;;0
7;tt020odr;;0;298;297;otree_etf_cda;Results;2022-01-28 23:32:40.947876+00:00;1;;;281;7;;{'A': 2, 'B': 3, 'C': 0, 'D': 0};{'A': 2, 'B': 3, 'C': 0, 'D': 0};165;165;225;1;2022-01-28 23:43:59.764550+00:00;X;3;8a2eh68m;;;;;0
8;iaswwozd;;0;298;297;otree_etf_cda;Results;2022-01-28 23:33:11.423901+00:00;1;;;203;8;;{'A': 0, 'B': 0, 'C': 0, 'D': 1};{'A': 0, 'B': 0, 'C': 0, 'D': 0};225;225;195;1;2022-01-28 23:43:59.764550+00:00;X;3;8a2eh68m;;;;;0
9;p83viyce;;0;298;297;otree_etf_cda;Results;2022-01-28 23:33:00.884726+00:00;1;;;450;9;;{'A': 3, 'B': 1, 'C': 2, 'D': 0};{'A': 2, 'B': 0, 'C': 2, 'D': 0};320;320;380;1;2022-01-28 23:43:59.764550+00:00;X;3;8a2eh68m;;;;;0
