participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.settled_assets;player.available_assets;player.settled_cash;player.available_cash;player.payoff;group.id_in_subsession;group.ran_ready_function;group.realized_state;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;7n0uu9z0;;0;30;297;otree_etf_cda;Results;2021-11-05 20:32:14.131169+00:00;1;;;250.0;1;;{'A': 5, 'B': 1, 'C': 1, 'D': 0};{'A': 5, 'B': 1, 'C': 1, 'D': 0};75;15;645.0;1;2021-11-05 20:38:09.327774+00:00;Z;1;fbyj5j85;;;;;0
2;rqov47g0;;0;298;297;otree_etf_cda;Results;2021-11-05 20:32:41.002812+00:00;1;;;325.0;2;;{'A': 1, 'B': 3, 'C': 3, 'D': 0};{'A': 1, 'B': 2, 'C': 3, 'D': 0};200;198;650.0;1;2021-11-05 20:38:09.327774+00:00;Z;1;fbyj5j85;;;;;0
3;cxita81q;;0;298;297;otree_etf_cda;Results;2021-11-05 20:33:32.081898+00:00;1;;;188.0;3;;{'A': 1, 'B': 0, 'C': 2, 'D': 1};{'A': 1, 'B': 0, 'C': 2, 'D': 0};50;50;440.0;1;2021-11-05 20:38:09.327774+00:00;Z;1;fbyj5j85;;;;;0
4;nfzbiawv;;0;298;297;otree_etf_cda;Results;2021-11-05 20:33:51.336304+00:00;1;;;715.0;4;;{'A': 1, 'B': 3, 'C': 3, 'D': 0};{'A': 1, 'B': 3, 'C': 3, 'D': 0};210;204;660.0;1;2021-11-05 20:38:09.327774+00:00;Z;1;fbyj5j85;;;;;0
5;4lmai1pv;;0;298;297;otree_etf_cda;Results;2021-11-05 20:34:12.154604+00:00;1;;;168.0;5;;{'A': 0, 'B': 1, 'C': 1, 'D': 0};{'A': 0, 'B': 1, 'C': 1, 'D': 0};430;280;400.0;1;2021-11-05 20:38:09.327774+00:00;Z;1;fbyj5j85;;;;;0
6;k6m2dsm0;;0;298;297;otree_etf_cda;Results;2021-11-05 20:34:38.056211+00:00;1;;;480.0;6;;{'A': 1, 'B': 2, 'C': 2, 'D': 0};{'A': 0, 'B': 2, 'C': 2, 'D': 0};231;225;501.0;1;2021-11-05 20:38:09.327774+00:00;Z;1;fbyj5j85;;;;;0
7;iwll3tn6;;0;298;297;otree_etf_cda;Results;2021-11-05 20:34:51.925289+00:00;1;;;220.0;7;;{'A': 0, 'B': 0, 'C': 0, 'D': 1};{'A': 0, 'B': 0, 'C': 0, 'D': 0};220;220;310.0;1;2021-11-05 20:38:09.327774+00:00;Z;1;fbyj5j85;;;;;0
8;u0zzxjlz;;0;298;297;otree_etf_cda;Results;2021-11-05 20:35:12.539762+00:00;1;;;180.0;8;;{'A': 0, 'B': 0, 'C': 0, 'D': 0};{'A': 0, 'B': 0, 'C': 0, 'D': 0};510;500;300.0;1;2021-11-05 20:38:09.327774+00:00;Z;1;fbyj5j85;;;;;0
9;9l9j1rcs;;0;298;297;otree_etf_cda;Results;2021-11-05 20:35:30.315748+00:00;1;;;410.0;9;;{'A': 2, 'B': 1, 'C': 0, 'D': 0};{'A': 2, 'B': 1, 'C': 0, 'D': 0};360;356;480.0;1;2021-11-05 20:38:09.327774+00:00;Z;1;fbyj5j85;;;;;0
10;v1axqnpu;;0;298;297;otree_etf_cda;Results;2021-11-05 20:35:48.087325+00:00;1;;;645.0;10;;{'A': 3, 'B': 7, 'C': 1, 'D': 0};{'A': 3, 'B': 7, 'C': 0, 'D': 0};105;105;975.0;1;2021-11-05 20:38:09.327774+00:00;Z;1;fbyj5j85;;;;;0
