participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.settled_assets;player.available_assets;player.settled_cash;player.available_cash;player.payoff;group.id_in_subsession;group.ran_ready_function;group.realized_state;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;a1a3g7bp;;0;298;297;otree_etf_cda;Results;2021-11-05 22:26:18.873939+00:00;1;;;195.0;1;;{'A': 3, 'B': 0, 'C': 4, 'D': 0};{'A': 3, 'B': 0, 'C': 4, 'D': 0};155;155;305.0;1;2021-11-05 22:29:39.876189+00:00;Y;1;nu764xfy;;;;;0
2;dnjg5gy7;;0;298;297;otree_etf_cda;Results;2021-11-05 22:26:31.988471+00:00;1;;;400.0;2;;{'A': 1, 'B': 3, 'C': 5, 'D': 0};{'A': 1, 'B': 3, 'C': 5, 'D': 0};110;110;20.0;1;2021-11-05 22:29:39.876189+00:00;Y;1;nu764xfy;;;;;0
3;g1mkgu8g;;0;298;297;otree_etf_cda;Results;2021-11-05 22:26:46.202856+00:00;1;;;333.0;3;;{'A': 0, 'B': 2, 'C': 1, 'D': 0};{'A': 0, 'B': 2, 'C': 1, 'D': 0};280;180;70.0;1;2021-11-05 22:29:39.876189+00:00;Y;1;nu764xfy;;;;;0
4;oeu0z02b;;0;298;297;otree_etf_cda;Results;2021-11-05 22:27:05.096920+00:00;1;;;326.0;4;;{'A': 3, 'B': 1, 'C': 5, 'D': 0};{'A': 3, 'B': 0, 'C': 5, 'D': 0};30;30;180.0;1;2021-11-05 22:29:39.876189+00:00;Y;1;nu764xfy;;;;;0
5;fw2gs02w;;0;298;297;otree_etf_cda;Results;2021-11-05 22:29:35.150706+00:00;1;;;457.0;5;;{'A': 3, 'B': 2, 'C': 1, 'D': 0};{'A': 2, 'B': 2, 'C': 0, 'D': 0};170;159;320.0;1;2021-11-05 22:29:39.876189+00:00;Y;1;nu764xfy;;;;;0
6;ervnd7e4;;0;298;297;otree_etf_cda;Results;2021-11-05 22:27:41.713652+00:00;1;;;491.0;6;;{'A': 1, 'B': 1, 'C': 1, 'D': 0};{'A': 1, 'B': 1, 'C': 1, 'D': 0};505;335;415.0;1;2021-11-05 22:29:39.876189+00:00;Y;1;nu764xfy;;;;;0
7;m744vlj3;;0;298;297;otree_etf_cda;Results;2021-11-05 22:27:50.848472+00:00;1;;;360.0;7;;{'A': 3, 'B': 2, 'C': 1, 'D': 0};{'A': 2, 'B': 2, 'C': 1, 'D': 0};161;111;311.0;1;2021-11-05 22:29:39.876189+00:00;Y;1;nu764xfy;;;;;0
8;wo9y6tgm;;0;298;297;otree_etf_cda;Results;2021-11-05 22:29:35.960547+00:00;1;;;245.0;8;;{'A': 0, 'B': 0, 'C': 0, 'D': 0};{'A': 0, 'B': 0, 'C': 0, 'D': 0};503;223;293.0;1;2021-11-05 22:29:39.876189+00:00;Y;1;nu764xfy;;;;;0
9;lffzz218;;0;298;297;otree_etf_cda;Results;2021-11-05 22:28:21.720162+00:00;1;;;195.0;9;;{'A': 3, 'B': 4, 'C': 1, 'D': 0};{'A': 2, 'B': 4, 'C': 1, 'D': 0};107;107;257.0;1;2021-11-05 22:29:39.876189+00:00;Y;1;nu764xfy;;;;;0
10;rm566qb6;;0;298;297;otree_etf_cda;Results;2021-11-05 22:29:37.137530+00:00;1;;;540.0;10;;{'A': 3, 'B': 3, 'C': 2, 'D': 0};{'A': 2, 'B': 3, 'C': 2, 'D': 0};149;149;299.0;1;2021-11-05 22:29:39.876189+00:00;Y;1;nu764xfy;;;;;0
11;f822jl1o;;0;298;297;otree_etf_cda;Results;2021-11-05 22:29:37.715920+00:00;1;;;188.0;11;;{'A': 4, 'B': 1, 'C': 0, 'D': 0};{'A': 3, 'B': 1, 'C': 0, 'D': 0};170;80;440.0;1;2021-11-05 22:29:39.876189+00:00;Y;1;nu764xfy;;;;;0
12;8ggw8s42;;0;298;297;otree_etf_cda;Results;2021-11-05 22:29:07.909229+00:00;1;;;455.0;12;;{'A': 2, 'B': 5, 'C': 3, 'D': 0};{'A': 2, 'B': 5, 'C': 3, 'D': 0};35;35;65.0;1;2021-11-05 22:29:39.876189+00:00;Y;1;nu764xfy;;;;;0
13;hg4bjy7v;;0;298;297;otree_etf_cda;Results;2021-11-05 22:29:36.332115+00:00;1;;;395.0;13;;{'A': 1, 'B': 1, 'C': 2, 'D': 0};{'A': 1, 'B': 1, 'C': 2, 'D': 0};315;315;225.0;1;2021-11-05 22:29:39.876189+00:00;Y;1;nu764xfy;;;;;0
14;3mwuxfmi;;0;298;297;otree_etf_cda;Results;2021-11-05 22:29:32.650953+00:00;1;;;442.0;14;;{'A': 1, 'B': 3, 'C': 2, 'D': 0};{'A': 1, 'B': 3, 'C': 2, 'D': 0};250;230;160.0;1;2021-11-05 22:29:39.876189+00:00;Y;1;nu764xfy;;;;;0
1;a1a3g7bp;;0;298;297;otree_etf_cda;Results;2021-11-05 22:26:18.873939+00:00;1;;;195.0;1;;{'A': 3, 'B': 1, 'C': 2, 'D': 0};{'A': 3, 'B': 1, 'C': 2, 'D': 0};160;160;220.0;1;2021-11-05 22:34:10.518438+00:00;X;2;nu764xfy;;;;;0
