participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.settled_assets;player.available_assets;player.settled_cash;player.available_cash;player.payoff;group.id_in_subsession;group.ran_ready_function;group.realized_state;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;ck84eqyg;;0;298;297;otree_etf_cda;Results;2021-12-22 23:58:24.613089+00:00;1;;;387;1;;{'A': 2, 'B': 1, 'C': 2, 'D': 0};{'A': 2, 'B': 0, 'C': 2, 'D': 0};230;230;260;1;2021-12-23 00:00:20.056950+00:00;Y;1;czlhzqgs;;;;;0
2;lbp68won;;0;298;297;otree_etf_cda;Results;2021-12-22 23:58:37.629164+00:00;1;;;272;2;;{'A': 2, 'B': 2, 'C': 4, 'D': 0};{'A': 2, 'B': 2, 'C': 4, 'D': 0};130;130;160;1;2021-12-23 00:00:20.056950+00:00;Y;1;czlhzqgs;;;;;0
3;ulxl4ijs;;0;298;297;otree_etf_cda;Results;2021-12-22 23:58:38.633328+00:00;1;;;397;3;;{'A': 2, 'B': 1, 'C': 3, 'D': 0};{'A': 1, 'B': 1, 'C': 3, 'D': 0};220;220;250;1;2021-12-23 00:00:20.056950+00:00;Y;1;czlhzqgs;;;;;0
4;ijfaleod;;0;298;297;otree_etf_cda;Results;2021-12-22 23:58:49.253358+00:00;1;;;355;4;;{'A': 0, 'B': 3, 'C': 2, 'D': 0};{'A': 0, 'B': 3, 'C': 2, 'D': 0};310;310;100;1;2021-12-23 00:00:20.056950+00:00;Y;1;czlhzqgs;;;;;0
5;9055ihi2;;0;298;297;otree_etf_cda;Results;2021-12-22 23:58:56.281332+00:00;1;;;348;5;;{'A': 3, 'B': 3, 'C': -1, 'D': 0};{'A': 3, 'B': 3, 'C': -1, 'D': 0};180;90;330;1;2021-12-23 00:00:20.056950+00:00;Y;1;czlhzqgs;;;;;0
6;n8bfs95k;;0;298;297;otree_etf_cda;Results;2021-12-22 23:59:04.673523+00:00;1;;;440;6;;{'A': 3, 'B': 4, 'C': 4, 'D': 0};{'A': 3, 'B': 4, 'C': 4, 'D': 0};94;49;244;1;2021-12-23 00:00:20.056950+00:00;Y;1;czlhzqgs;;;;;0
7;wgx6hixw;;0;298;297;otree_etf_cda;Results;2021-12-22 23:59:12.906368+00:00;1;;;290;7;;{'A': 5, 'B': 2, 'C': 2, 'D': 0};{'A': 5, 'B': 2, 'C': 2, 'D': 0};40;40;430;1;2021-12-23 00:00:20.056950+00:00;Y;1;czlhzqgs;;;;;0
8;jwhz45or;;0;298;297;otree_etf_cda;Results;2021-12-22 23:59:17.012298+00:00;1;;;574;8;;{'A': 1, 'B': 4, 'C': 4, 'D': 0};{'A': 1, 'B': 3, 'C': 3, 'D': 0};120;120;30;1;2021-12-23 00:00:20.056950+00:00;Y;1;czlhzqgs;;;;;0
9;cmx4gcxa;;0;298;297;otree_etf_cda;Results;2021-12-22 23:59:26.531299+00:00;1;;;408;9;;{'A': 4, 'B': 0, 'C': -1, 'D': 0};{'A': 4, 'B': 0, 'C': -1, 'D': 0};290;260;560;1;2021-12-23 00:00:20.056950+00:00;Y;1;czlhzqgs;;;;;0
10;qrj6fsjk;;0;298;297;otree_etf_cda;Results;2021-12-22 23:59:24.440656+00:00;1;;;270;10;;{'A': 1, 'B': 1, 'C': 2, 'D': 1};{'A': 1, 'B': 1, 'C': 2, 'D': 1};150;150;180;1;2021-12-23 00:00:20.056950+00:00;Y;1;czlhzqgs;;;;;0
11;2iv2l3wm;;0;298;297;otree_etf_cda;Results;2021-12-22 23:59:52.312744+00:00;1;;;171;11;;{'A': 0, 'B': 2, 'C': 0, 'D': 0};{'A': 0, 'B': 2, 'C': 0, 'D': 0};306;256;96;1;2021-12-23 00:00:20.056950+00:00;Y;1;czlhzqgs;;;;;0
12;2c8lyz7o;;0;298;297;otree_etf_cda;Results;2021-12-23 00:00:01.081762+00:00;1;;;365;12;;{'A': 0, 'B': 1, 'C': 1, 'D': 0};{'A': 0, 'B': 1, 'C': 1, 'D': 0};450;379;240;1;2021-12-23 00:00:20.056950+00:00;Y;1;czlhzqgs;;;;;0
1;ck84eqyg;;0;298;297;otree_etf_cda;Results;2021-12-22 23:58:24.613089+00:00;1;;;387;1;;{'A': 0, 'B': 2, 'C': 1, 'D': 0};{'A': 0, 'B': 2, 'C': 1, 'D': 0};350;190;140;1;2021-12-23 00:05:19.449779+00:00;Y;2;czlhzqgs;;;;;0
2;lbp68won;;0;298;297;otree_etf_cda;Results;2021-12-22 23:58:37.629164+00:00;1;;;272;2;;{'A': 2, 'B': 0, 'C': 2, 'D': 1};{'A': 2, 'B': 0, 'C': 2, 'D': 0};140;140;290;1;2021-12-23 00:05:19.449779+00:00;Y;2;czlhzqgs;;;;;0
3;ulxl4ijs;;0;298;297;otree_etf_cda;Results;2021-12-22 23:58:38.633328+00:00;1;;;397;3;;{'A': 2, 'B': 1, 'C': 2, 'D': 0};{'A': 1, 'B': 1, 'C': 1, 'D': 0};215;110;245;1;2021-12-23 00:05:19.449779+00:00;Y;2;czlhzqgs;;;;;0
4;ijfaleod;;0;298;297;otree_etf_cda;Results;2021-12-22 23:58:49.253358+00:00;1;;;355;4;;{'A': 2, 'B': 2, 'C': 2, 'D': 0};{'A': 2, 'B': 2, 'C': 2, 'D': 0};250;250;280;1;2021-12-23 00:05:19.449779+00:00;Y;2;czlhzqgs;;;;;0
5;9055ihi2;;0;298;297;otree_etf_cda;Results;2021-12-22 23:58:56.281332+00:00;1;;;348;5;;{'A': 2, 'B': 2, 'C': 3, 'D': 0};{'A': 2, 'B': 2, 'C': 3, 'D': 0};130;50;160;1;2021-12-23 00:05:19.449779+00:00;Y;2;czlhzqgs;;;;;0
6;n8bfs95k;;0;298;297;otree_etf_cda;Results;2021-12-22 23:59:04.673523+00:00;1;;;440;6;;{'A': 2, 'B': 5, 'C': 3, 'D': 0};{'A': 2, 'B': 5, 'C': 3, 'D': 0};100;100;130;1;2021-12-23 00:05:19.449779+00:00;Y;2;czlhzqgs;;;;;0
7;wgx6hixw;;0;298;297;otree_etf_cda;Results;2021-12-22 23:59:12.906368+00:00;1;;;290;7;;{'A': 4, 'B': 1, 'C': 2, 'D': 0};{'A': 4, 'B': 1, 'C': 2, 'D': 0};100;0;370;1;2021-12-23 00:05:19.449779+00:00;Y;2;czlhzqgs;;;;;0
8;jwhz45or;;0;298;297;otree_etf_cda;Results;2021-12-22 23:59:17.012298+00:00;1;;;574;8;;{'A': 0, 'B': 4, 'C': 2, 'D': 0};{'A': 0, 'B': 3, 'C': 1, 'D': 0};225;225;15;1;2021-12-23 00:05:19.449779+00:00;Y;2;czlhzqgs;;;;;0
9;cmx4gcxa;;0;298;297;otree_etf_cda;Results;2021-12-22 23:59:26.531299+00:00;1;;;408;9;;{'A': 1, 'B': 2, 'C': -3, 'D': 0};{'A': 1, 'B': 2, 'C': -3, 'D': 0};470;360;380;1;2021-12-23 00:05:19.449779+00:00;Y;2;czlhzqgs;;;;;0
10;qrj6fsjk;;0;298;297;otree_etf_cda;Results;2021-12-22 23:59:24.440656+00:00;1;;;270;10;;{'A': 1, 'B': 2, 'C': 2, 'D': 1};{'A': 1, 'B': 2, 'C': 2, 'D': 1};130;130;160;1;2021-12-23 00:05:19.449779+00:00;Y;2;czlhzqgs;;;;;0
11;2iv2l3wm;;0;298;297;otree_etf_cda;Results;2021-12-22 23:59:52.312744+00:00;1;;;171;11;;{'A': 1, 'B': 1, 'C': 1, 'D': 1};{'A': 1, 'B': 1, 'C': 1, 'D': 1};155;155;185;1;2021-12-23 00:05:19.449779+00:00;Y;2;czlhzqgs;;;;;0
12;2c8lyz7o;;0;298;297;otree_etf_cda;Results;2021-12-23 00:00:01.081762+00:00;1;;;365;12;;{'A': 3, 'B': 2, 'C': 1, 'D': 0};{'A': 3, 'B': 0, 'C': 1, 'D': 0};305;150;455;1;2021-12-23 00:05:19.449779+00:00;Y;2;czlhzqgs;;;;;0
1;ck84eqyg;;0;298;297;otree_etf_cda;Results;2021-12-22 23:58:24.613089+00:00;1;;;387;1;;{'A': 1, 'B': 3, 'C': 2, 'D': 0};{'A': 1, 'B': 1, 'C': 1, 'D': 0};160;160;70;1;2021-12-23 00:09:36.760145+00:00;Y;3;czlhzqgs;;;;;0
2;lbp68won;;0;298;297;otree_etf_cda;Results;2021-12-22 23:58:37.629164+00:00;1;;;272;2;;{'A': 2, 'B': 0, 'C': 3, 'D': 1};{'A': 2, 'B': 0, 'C': 2, 'D': 1};75;15;225;1;2021-12-23 00:09:36.760145+00:00;Y;3;czlhzqgs;;;;;0
3;ulxl4ijs;;0;298;297;otree_etf_cda;Results;2021-12-22 23:58:38.633328+00:00;1;;;397;3;;{'A': 1, 'B': 1, 'C': 0, 'D': 0};{'A': 0, 'B': 1, 'C': 0, 'D': 0};435;230;345;1;2021-12-23 00:09:36.760145+00:00;Y;3;czlhzqgs;;;;;0
4;ijfaleod;;0;298;297;otree_etf_cda;Results;2021-12-22 23:58:49.253358+00:00;1;;;355;4;;{'A': 2, 'B': 2, 'C': 2, 'D': 0};{'A': 2, 'B': 2, 'C': 2, 'D': 0};270;270;300;1;2021-12-23 00:09:36.760145+00:00;Y;3;czlhzqgs;;;;;0
