participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.settled_assets;player.available_assets;player.settled_cash;player.available_cash;player.payoff;group.id_in_subsession;group.ran_ready_function;group.realized_state;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;d4faddo5;;0;298;297;otree_etf_cda;Results;2021-11-10 21:32:19.987905+00:00;1;;;160.0;1;;{'A': 4, 'B': 1, 'C': 1, 'D': 0};{'A': 3, 'B': 0, 'C': 1, 'D': 0};208;78;658.0;1;2021-11-10 21:33:55.074312+00:00;Z;1;pxg6o4mv;;;;;0
2;5587jeld;;0;298;297;otree_etf_cda;Results;2021-11-10 21:32:25.192025+00:00;1;;;368.0;2;;{'A': 1, 'B': 3, 'C': 1, 'D': 0};{'A': 1, 'B': 3, 'C': 0, 'D': 0};320;320;590.0;1;2021-11-10 21:33:55.074312+00:00;Z;1;pxg6o4mv;;;;;0
3;ol4pf25p;;0;298;297;otree_etf_cda;Results;2021-11-10 21:32:32.707944+00:00;1;;;270.0;3;;{'A': 2, 'B': 1, 'C': 3, 'D': 0};{'A': 2, 'B': 0, 'C': 3, 'D': 0};165;135;555.0;1;2021-11-10 21:33:55.074312+00:00;Z;1;pxg6o4mv;;;;;0
4;94fzo5mk;;0;298;297;otree_etf_cda;Results;2021-11-10 21:32:38.791953+00:00;1;;;389.0;4;;{'A': 0, 'B': 1, 'C': 0, 'D': 0};{'A': 0, 'B': 0, 'C': 0, 'D': 0};535;535;415.0;1;2021-11-10 21:33:55.074312+00:00;Z;1;pxg6o4mv;;;;;0
5;9mn7gsez;;0;298;297;otree_etf_cda;Results;2021-11-10 21:32:46.453129+00:00;1;;;126.0;5;;{'A': 3, 'B': 1, 'C': 0, 'D': 0};{'A': 2, 'B': 1, 'C': 0, 'D': 0};295;295;535.0;1;2021-11-10 21:33:55.074312+00:00;Z;1;pxg6o4mv;;;;;0
6;yazwhthb;;0;30;297;otree_etf_cda;Results;2021-11-10 21:32:54.717838+00:00;1;;;290.0;6;;{'A': 1, 'B': 3, 'C': 3, 'D': 0};{'A': 1, 'B': 3, 'C': 3, 'D': 0};210;180;660.0;1;2021-11-10 21:33:55.074312+00:00;Z;1;pxg6o4mv;;;;;0
7;8s125wy4;;0;298;297;otree_etf_cda;Results;2021-11-10 21:33:03.719404+00:00;1;;;370.0;7;;{'A': 3, 'B': 2, 'C': 1, 'D': 0};{'A': 3, 'B': 2, 'C': 1, 'D': 0};165;5;585.0;1;2021-11-10 21:33:55.074312+00:00;Z;1;pxg6o4mv;;;;;0
8;bw76fsik;;0;298;297;otree_etf_cda;Results;2021-11-10 21:33:13.486643+00:00;1;;;430.0;8;;{'A': 0, 'B': 3, 'C': 2, 'D': 0};{'A': 0, 'B': 2, 'C': 1, 'D': 0};300;300;540.0;1;2021-11-10 21:33:55.074312+00:00;Z;1;pxg6o4mv;;;;;0
9;z3epr083;;0;298;297;otree_etf_cda;Results;2021-11-10 21:33:20.856575+00:00;1;;;275.0;9;;{'A': 3, 'B': 0, 'C': 0, 'D': 1};{'A': 3, 'B': 0, 'C': 0, 'D': 1};90;90;540.0;1;2021-11-10 21:33:55.074312+00:00;Z;1;pxg6o4mv;;;;;0
10;guzatxae;;0;298;297;otree_etf_cda;Results;2021-11-10 21:33:27.169237+00:00;1;;;470.0;10;;{'A': 1, 'B': 3, 'C': 4, 'D': 0};{'A': 1, 'B': 3, 'C': 3, 'D': 0};121;111;661.0;1;2021-11-10 21:33:55.074312+00:00;Z;1;pxg6o4mv;;;;;0
