participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.settled_assets;player.available_assets;player.settled_cash;player.available_cash;player.payoff;group.id_in_subsession;group.ran_ready_function;group.realized_state;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;vypphzkk;;0;298;297;otree_etf_cda;Results;2022-02-23 23:32:05.901128+00:00;1;;;750;1;;{'A': 5, 'B': 7, 'C': 2, 'D': 0};{'A': 4, 'B': 7, 'C': 1, 'D': 0};85;40;475;1;2022-02-23 23:33:23.899615+00:00;Y;1;tg5zc1et;;;;;0
2;1h83ug1i;;0;298;297;otree_etf_cda;Results;2022-02-23 23:33:18.249613+00:00;1;;;250;2;;{'A': 1, 'B': 0, 'C': 2, 'D': 0};{'A': 1, 'B': 0, 'C': 2, 'D': 0};264;264;174;1;2022-02-23 23:33:23.899615+00:00;Y;1;tg5zc1et;;;;;0
3;96ketrjo;;0;298;297;otree_etf_cda;Results;2022-02-23 23:32:21.695252+00:00;1;;;-115;3;;{'A': 2, 'B': 0, 'C': 0, 'D': 0};{'A': 2, 'B': 0, 'C': 0, 'D': 0};255;254;285;1;2022-02-23 23:33:23.899615+00:00;Y;1;tg5zc1et;;;;;0
4;z6hszqlk;;0;30;297;otree_etf_cda;Results;2022-02-23 23:32:10.240093+00:00;1;;;345;4;;{'A': 1, 'B': 5, 'C': 3, 'D': 0};{'A': 1, 'B': 5, 'C': 3, 'D': 0};192;192;102;1;2022-02-23 23:33:23.899615+00:00;Y;1;tg5zc1et;;;;;0
5;uiv4izbd;;0;298;297;otree_etf_cda;Results;2022-02-23 23:32:49.369525+00:00;1;;;225;5;;{'A': 0, 'B': 1, 'C': 3, 'D': 0};{'A': 0, 'B': 1, 'C': 3, 'D': 0};278;278;68;1;2022-02-23 23:33:23.899615+00:00;Y;1;tg5zc1et;;;;;0
6;di7rgth4;;0;298;297;otree_etf_cda;Results;2022-02-23 23:32:57.418041+00:00;1;;;350;6;;{'A': 1, 'B': 1, 'C': 2, 'D': 0};{'A': 1, 'B': 1, 'C': 2, 'D': 0};267;267;177;1;2022-02-23 23:33:23.899615+00:00;Y;1;tg5zc1et;;;;;0
7;6arv7rmr;;0;298;297;otree_etf_cda;Results;2022-02-23 23:33:12.174070+00:00;1;;;380;7;;{'A': 2, 'B': 2, 'C': 1, 'D': 0};{'A': 2, 'B': 2, 'C': 1, 'D': 0};215;215;245;1;2022-02-23 23:33:23.899615+00:00;Y;1;tg5zc1et;;;;;0
8;ms7a8uhu;;0;298;297;otree_etf_cda;Results;2022-02-23 23:32:42.857372+00:00;1;;;390;8;;{'A': 6, 'B': 3, 'C': 5, 'D': 0};{'A': 6, 'B': 3, 'C': 5, 'D': 0};12;10;522;1;2022-02-23 23:33:23.899615+00:00;Y;1;tg5zc1et;;;;;0
9;ljl164r2;;0;298;297;otree_etf_cda;Results;2022-02-23 23:32:52.719139+00:00;1;;;275;9;;{'A': 3, 'B': 2, 'C': 1, 'D': 0};{'A': 3, 'B': 2, 'C': 1, 'D': 0};202;192;352;1;2022-02-23 23:33:23.899615+00:00;Y;1;tg5zc1et;;;;;0
10;ex29pt4p;;0;298;297;otree_etf_cda;Results;2022-02-23 23:32:55.952579+00:00;1;;;-581;10;;{'A': -3, 'B': -2, 'C': 1, 'D': 0};{'A': -3, 'B': -2, 'C': 1, 'D': 0};370;330;-200;1;2022-02-23 23:33:23.899615+00:00;Y;1;tg5zc1et;;;;;0
