participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.settled_assets;player.available_assets;player.settled_cash;player.available_cash;player.payoff;group.id_in_subsession;group.ran_ready_function;group.realized_state;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;2vsecqv1;;0;298;297;otree_etf_cda;Results;2021-11-10 23:26:21.058164+00:00;1;;;115.0;1;;{'A': 1, 'B': 0, 'C': 0, 'D': 1};{'A': 1, 'B': 0, 'C': 0, 'D': 1};147;147;357.0;1;2021-11-10 23:27:49.087269+00:00;Z;1;tppz2not;;;;;0
2;lstuiubm;;0;298;297;otree_etf_cda;Results;2021-11-10 23:26:27.652412+00:00;1;;;545.0;2;;{'A': 1, 'B': 3, 'C': 3, 'D': 0};{'A': 1, 'B': 2, 'C': 3, 'D': 0};210;210;660.0;1;2021-11-10 23:27:49.087269+00:00;Z;1;tppz2not;;;;;0
3;68pv3ksl;;0;298;297;otree_etf_cda;Results;2021-11-10 23:26:33.638434+00:00;1;;;435.0;3;;{'A': 5, 'B': 3, 'C': 1, 'D': 0};{'A': 4, 'B': 2, 'C': 0, 'D': 0};81;81;831.0;1;2021-11-10 23:27:49.087269+00:00;Z;1;tppz2not;;;;;0
4;cg7oy8s4;;0;298;297;otree_etf_cda;Results;2021-11-10 23:26:39.386295+00:00;1;;;535.0;4;;{'A': 2, 'B': 3, 'C': 4, 'D': 0};{'A': 2, 'B': 0, 'C': 4, 'D': 0};133;13;793.0;1;2021-11-10 23:27:49.087269+00:00;Z;1;tppz2not;;;;;0
5;wy9h3hku;;0;298;297;otree_etf_cda;Results;2021-11-10 23:26:47.989326+00:00;1;;;65.0;5;;{'A': 3, 'B': 1, 'C': 1, 'D': 0};{'A': 3, 'B': 1, 'C': 0, 'D': 0};220;30;550.0;1;2021-11-10 23:27:49.087269+00:00;Z;1;tppz2not;;;;;0
6;wk7u7gp7;;0;298;297;otree_etf_cda;Results;2021-11-10 23:26:50.446956+00:00;1;;;310.0;6;;{'A': 2, 'B': 1, 'C': 3, 'D': 0};{'A': 2, 'B': 1, 'C': 3, 'D': 0};295;295;685.0;1;2021-11-10 23:27:49.087269+00:00;Z;1;tppz2not;;;;;0
7;mtu5v1xt;;0;298;297;otree_etf_cda;Results;2021-11-10 23:27:00.690925+00:00;1;;;335.0;7;;{'A': 4, 'B': 1, 'C': 1, 'D': 0};{'A': 4, 'B': 1, 'C': 1, 'D': 0};170;150;620.0;1;2021-11-10 23:27:49.087269+00:00;Z;1;tppz2not;;;;;0
8;cv5atg54;;0;30;297;otree_etf_cda;Results;2021-11-10 23:27:09.194803+00:00;1;;;610.0;8;;{'A': 0, 'B': 3, 'C': 1, 'D': 0};{'A': 0, 'B': 2, 'C': 0, 'D': 0};409;409;559.0;1;2021-11-10 23:27:49.087269+00:00;Z;1;tppz2not;;;;;0
9;9wzudffy;;0;298;297;otree_etf_cda;Results;2021-11-10 23:27:16.368279+00:00;1;;;150.0;9;;{'A': 2, 'B': 0, 'C': 3, 'D': 0};{'A': 2, 'B': 0, 'C': 3, 'D': 0};198;198;498.0;1;2021-11-10 23:27:49.087269+00:00;Z;1;tppz2not;;;;;0
10;s13yw4sp;;0;298;297;otree_etf_cda;Results;2021-11-10 23:27:25.133732+00:00;1;;;550.0;10;;{'A': -2, 'B': 3, 'C': 2, 'D': 0};{'A': -2, 'B': 3, 'C': 1, 'D': 0};326;326;326.0;1;2021-11-10 23:27:49.087269+00:00;Z;1;tppz2not;;;;;0
11;1pzz9wc4;;0;298;297;otree_etf_cda;Results;2021-11-10 23:27:31.642479+00:00;1;;;240.0;11;;{'A': 1, 'B': 3, 'C': 2, 'D': 0};{'A': 1, 'B': 2, 'C': 2, 'D': 0};54;54;414.0;1;2021-11-10 23:27:49.087269+00:00;Z;1;tppz2not;;;;;0
12;6dowh8ah;;0;30;297;otree_etf_cda;Results;2021-11-10 23:27:37.189352+00:00;1;;;405.0;12;;{'A': 2, 'B': 3, 'C': 3, 'D': 0};{'A': 2, 'B': 3, 'C': 3, 'D': 0};191;191;761.0;1;2021-11-10 23:27:49.087269+00:00;Z;1;tppz2not;;;;;0
13;w82i9uwt;;0;30;297;otree_etf_cda;Results;2021-11-10 23:27:41.170506+00:00;1;;;215.0;13;;{'A': 3, 'B': 1, 'C': -1, 'D': 0};{'A': 3, 'B': 1, 'C': -1, 'D': 0};310;210;460.0;1;2021-11-10 23:27:49.087269+00:00;Z;1;tppz2not;;;;;0
14;87zrohgd;;0;30;297;otree_etf_cda;Results;2021-11-10 23:27:47.963599+00:00;1;;;525.0;14;;{'A': 3, 'B': 3, 'C': 3, 'D': 0};{'A': 3, 'B': 3, 'C': 3, 'D': 0};196;146;886.0;1;2021-11-10 23:27:49.087269+00:00;Z;1;tppz2not;;;;;0
1;2vsecqv1;;0;298;297;otree_etf_cda;Results;2021-11-10 23:26:21.058164+00:00;1;;;115.0;1;;{'A': 3, 'B': 0, 'C': -1, 'D': 0};{'A': 3, 'B': 0, 'C': -1, 'D': 0};354;354;414.0;1;2021-11-10 23:32:52.697159+00:00;Z;2;tppz2not;;;;;0
2;lstuiubm;;0;298;297;otree_etf_cda;Results;2021-11-10 23:26:27.652412+00:00;1;;;545.0;2;;{'A': 1, 'B': 3, 'C': 3, 'D': 0};{'A': 1, 'B': 3, 'C': 3, 'D': 0};225;105;675.0;1;2021-11-10 23:32:52.697159+00:00;Z;2;tppz2not;;;;;0
3;68pv3ksl;;0;298;297;otree_etf_cda;Results;2021-11-10 23:26:33.638434+00:00;1;;;435.0;3;;{'A': 1, 'B': 3, 'C': 1, 'D': 0};{'A': 1, 'B': 0, 'C': 1, 'D': 0};261;46;531.0;1;2021-11-10 23:32:52.697159+00:00;Z;2;tppz2not;;;;;0
4;cg7oy8s4;;0;298;297;otree_etf_cda;Results;2021-11-10 23:26:39.386295+00:00;1;;;535.0;4;;{'A': 1, 'B': 3, 'C': 2, 'D': 0};{'A': 1, 'B': 1, 'C': 2, 'D': 0};273;112;633.0;1;2021-11-10 23:32:52.697159+00:00;Z;2;tppz2not;;;;;0
5;wy9h3hku;;0;298;297;otree_etf_cda;Results;2021-11-10 23:26:47.989326+00:00;1;;;65.0;5;;{'A': 2, 'B': 1, 'C': 0, 'D': 1};{'A': 2, 'B': 0, 'C': 0, 'D': 1};155;155;575.0;1;2021-11-10 23:32:52.697159+00:00;Z;2;tppz2not;;;;;0
6;wk7u7gp7;;0;298;297;otree_etf_cda;Results;2021-11-10 23:26:50.446956+00:00;1;;;310.0;6;;{'A': 1, 'B': 2, 'C': 0, 'D': 1};{'A': 1, 'B': 2, 'C': 0, 'D': 1};150;150;540.0;1;2021-11-10 23:32:52.697159+00:00;Z;2;tppz2not;;;;;0
7;mtu5v1xt;;0;298;297;otree_etf_cda;Results;2021-11-10 23:27:00.690925+00:00;1;;;335.0;7;;{'A': 4, 'B': 1, 'C': 2, 'D': 0};{'A': 4, 'B': 0, 'C': 2, 'D': 0};110;20;650.0;1;2021-11-10 23:32:52.697159+00:00;Z;2;tppz2not;;;;;0
8;cv5atg54;;0;30;297;otree_etf_cda;Results;2021-11-10 23:27:09.194803+00:00;1;;;610.0;8;;{'A': 1, 'B': 3, 'C': 0, 'D': 0};{'A': 1, 'B': 0, 'C': 0, 'D': 0};510;510;690.0;1;2021-11-10 23:32:52.697159+00:00;Z;2;tppz2not;;;;;0
9;9wzudffy;;0;298;297;otree_etf_cda;Results;2021-11-10 23:27:16.368279+00:00;1;;;150.0;9;;{'A': 2, 'B': 1, 'C': 2, 'D': 0};{'A': 2, 'B': 1, 'C': 2, 'D': 0};155;5;455.0;1;2021-11-10 23:32:52.697159+00:00;Z;2;tppz2not;;;;;0
10;s13yw4sp;;0;298;297;otree_etf_cda;Results;2021-11-10 23:27:25.133732+00:00;1;;;550.0;10;;{'A': 0, 'B': 3, 'C': 1, 'D': 1};{'A': 0, 'B': 1, 'C': 0, 'D': 1};155;155;605.0;1;2021-11-10 23:32:52.697159+00:00;Z;2;tppz2not;;;;;0
11;1pzz9wc4;;0;298;297;otree_etf_cda;Results;2021-11-10 23:27:31.642479+00:00;1;;;240.0;11;;{'A': 2, 'B': 2, 'C': 2, 'D': 0};{'A': 2, 'B': 2, 'C': 2, 'D': 0};106;106;496.0;1;2021-11-10 23:32:52.697159+00:00;Z;2;tppz2not;;;;;0
12;6dowh8ah;;0;30;297;otree_etf_cda;Results;2021-11-10 23:27:37.189352+00:00;1;;;405.0;12;;{'A': 3, 'B': 1, 'C': 5, 'D': 0};{'A': 2, 'B': 0, 'C': 5, 'D': 0};176;176;866.0;1;2021-11-10 23:32:52.697159+00:00;Z;2;tppz2not;;;;;0
13;w82i9uwt;;0;30;297;otree_etf_cda;Results;2021-11-10 23:27:41.170506+00:00;1;;;215.0;13;;{'A': 3, 'B': 2, 'C': 1, 'D': 0};{'A': 3, 'B': 1, 'C': 1, 'D': 0};160;160;580.0;1;2021-11-10 23:32:52.697159+00:00;Z;2;tppz2not;;;;;0
14;87zrohgd;;0;30;297;otree_etf_cda;Results;2021-11-10 23:27:47.963599+00:00;1;;;525.0;14;;{'A': 1, 'B': 3, 'C': 4, 'D': 0};{'A': 1, 'B': 3, 'C': 4, 'D': 0};150;0;690.0;1;2021-11-10 23:32:52.697159+00:00;Z;2;tppz2not;;;;;0
1;2vsecqv1;;0;298;297;otree_etf_cda;Results;2021-11-10 23:26:21.058164+00:00;1;;;115.0;1;;{'A': 6, 'B': 3, 'C': 0, 'D': 0};{'A': 6, 'B': 3, 'C': 0, 'D': 0};75;75;855.0;1;2021-11-10 23:37:51.524715+00:00;Z;3;tppz2not;;;;;0
2;lstuiubm;;0;298;297;otree_etf_cda;Results;2021-11-10 23:26:27.652412+00:00;1;;;545.0;2;;{'A': 1, 'B': 3, 'C': 3, 'D': 0};{'A': 1, 'B': 3, 'C': 3, 'D': 0};265;130;715.0;1;2021-11-10 23:37:51.524715+00:00;Z;3;tppz2not;;;;;0
3;68pv3ksl;;0;298;297;otree_etf_cda;Results;2021-11-10 23:26:33.638434+00:00;1;;;435.0;3;;{'A': 4, 'B': 3, 'C': 0, 'D': 0};{'A': 3, 'B': 2, 'C': 0, 'D': 0};225;115;765.0;1;2021-11-10 23:37:51.524715+00:00;Z;3;tppz2not;;;;;0
4;cg7oy8s4;;0;298;297;otree_etf_cda;Results;2021-11-10 23:26:39.386295+00:00;1;;;535.0;4;;{'A': 3, 'B': 3, 'C': 3, 'D': 0};{'A': 3, 'B': 3, 'C': 3, 'D': 0};170;170;860.0;1;2021-11-10 23:37:51.524715+00:00;Z;3;tppz2not;;;;;0
5;wy9h3hku;;0;298;297;otree_etf_cda;Results;2021-11-10 23:26:47.989326+00:00;1;;;65.0;5;;{'A': 2, 'B': 0, 'C': -1, 'D': 0};{'A': 2, 'B': 0, 'C': -1, 'D': 0};400;400;340.0;1;2021-11-10 23:37:51.524715+00:00;Z;3;tppz2not;;;;;0
6;wk7u7gp7;;0;298;297;otree_etf_cda;Results;2021-11-10 23:26:50.446956+00:00;1;;;310.0;6;;{'A': 1, 'B': 0, 'C': 3, 'D': 0};{'A': 1, 'B': 0, 'C': 3, 'D': 0};225;225;405.0;1;2021-11-10 23:37:51.524715+00:00;Z;3;tppz2not;;;;;0
7;mtu5v1xt;;0;298;297;otree_etf_cda;Results;2021-11-10 23:27:00.690925+00:00;1;;;335.0;7;;{'A': 3, 'B': 4, 'C': 1, 'D': 0};{'A': 3, 'B': 2, 'C': 1, 'D': 0};15;5;615.0;1;2021-11-10 23:37:51.524715+00:00;Z;3;tppz2not;;;;;0
