participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.settled_assets;player.available_assets;player.settled_cash;player.available_cash;player.payoff;group.id_in_subsession;group.ran_ready_function;group.realized_state;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;gz8j0lgi;;0;30;297;otree_etf_cda;Results;2022-01-21 21:33:45.130524+00:00;1;;;279;1;;{'A': 2, 'B': 1, 'C': 0, 'D': 1};{'A': 2, 'B': 1, 'C': 0, 'D': 1};145;145;565;1;2022-01-21 21:37:30.024663+00:00;Z;1;u7cnl3sw;;;;;0
2;ktnra78b;;0;298;297;otree_etf_cda;Results;2022-01-21 21:33:54.551815+00:00;1;;;38;2;;{'A': 1, 'B': 3, 'C': 3, 'D': 1};{'A': 0, 'B': 1, 'C': 2, 'D': 1};60;60;810;1;2022-01-21 21:37:30.024663+00:00;Z;1;u7cnl3sw;;;;;0
3;x3hfjsqp;;0;298;297;otree_etf_cda;Results;2022-01-21 21:33:58.675303+00:00;1;;;250;3;;{'A': 3, 'B': 1, 'C': 0, 'D': 0};{'A': 3, 'B': 1, 'C': 0, 'D': 0};250;250;490;1;2022-01-21 21:37:30.024663+00:00;Z;1;u7cnl3sw;;;;;0
4;6s3j1snw;;0;298;297;otree_etf_cda;Results;2022-01-21 21:34:05.737793+00:00;1;;;127;4;;{'A': -1, 'B': 3, 'C': 4, 'D': 0};{'A': -1, 'B': 3, 'C': 3, 'D': 0};220;220;520;1;2022-01-21 21:37:30.024663+00:00;Z;1;u7cnl3sw;;;;;0
5;hsbawlc2;;0;298;297;otree_etf_cda;Results;2022-01-21 21:35:56.168334+00:00;1;;;418;5;;{'A': 2, 'B': 1, 'C': 1, 'D': 0};{'A': 2, 'B': 1, 'C': 1, 'D': 0};260;215;470;1;2022-01-21 21:37:30.024663+00:00;Z;1;u7cnl3sw;;;;;0
6;0e41u2ye;;0;298;297;otree_etf_cda;Results;2022-01-21 21:35:17.027302+00:00;1;;;495;6;;{'A': 4, 'B': 3, 'C': 1, 'D': 0};{'A': 4, 'B': 1, 'C': 0, 'D': 0};240;240;870;1;2022-01-21 21:37:30.024663+00:00;Z;1;u7cnl3sw;;;;;0
7;a02i8gtj;;0;298;297;otree_etf_cda;Results;2022-01-21 21:35:05.188649+00:00;1;;;170;7;;{'A': 1, 'B': 1, 'C': 2, 'D': 0};{'A': 1, 'B': 1, 'C': 2, 'D': 0};195;195;375;1;2022-01-21 21:37:30.024663+00:00;Z;1;u7cnl3sw;;;;;0
8;k6obn070;;0;298;297;otree_etf_cda;Results;2022-01-21 21:35:57.327448+00:00;1;;;283;8;;{'A': 2, 'B': 2, 'C': 4, 'D': 0};{'A': 2, 'B': 1, 'C': 4, 'D': 0};175;175;745;1;2022-01-21 21:37:30.024663+00:00;Z;1;u7cnl3sw;;;;;0
9;4ja8qzfb;;0;298;297;otree_etf_cda;Results;2022-01-21 21:35:01.379654+00:00;1;;;286;9;;{'A': 4, 'B': 0, 'C': 0, 'D': 0};{'A': 4, 'B': 0, 'C': 0, 'D': 0};310;275;580;1;2022-01-21 21:37:30.024663+00:00;Z;1;u7cnl3sw;;;;;0
10;g4a896c3;;0;298;297;otree_etf_cda;Results;2022-01-21 21:36:07.031970+00:00;1;;;130;10;;{'A': 0, 'B': 5, 'C': 4, 'D': 0};{'A': 0, 'B': 5, 'C': 3, 'D': 0};65;65;665;1;2022-01-21 21:37:30.024663+00:00;Z;1;u7cnl3sw;;;;;0
11;n2ykqg11;;0;298;297;otree_etf_cda;Results;2022-01-21 21:35:25.288998+00:00;1;;;-8;11;;{'A': 0, 'B': 1, 'C': -1, 'D': 0};{'A': -1, 'B': 0, 'C': -2, 'D': 0};450;410;240;1;2022-01-21 21:37:30.024663+00:00;Z;1;u7cnl3sw;;;;;0
