participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.settled_assets;player.available_assets;player.settled_cash;player.available_cash;player.payoff;group.id_in_subsession;group.ran_ready_function;group.realized_state;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;c1na2cjj;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:16.264254+00:00;1;;;62;1;;{'A': 3, 'B': 1, 'C': 2, 'D': 0};{'A': 3, 'B': 1, 'C': 2, 'D': 0};160;0;310;1;2021-12-11 00:03:31.432350+00:00;Y;1;8p70emi4;;;;;0
2;n8vldi8a;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:49.461907+00:00;1;;;525;2;;{'A': 6, 'B': 2, 'C': 2, 'D': 0};{'A': 6, 'B': 2, 'C': 2, 'D': 0};45;45;555;1;2021-12-11 00:03:31.432350+00:00;Y;1;8p70emi4;;;;;0
3;19nuw3v9;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:36.259424+00:00;1;;;325;3;;{'A': 2, 'B': 2, 'C': 1, 'D': 0};{'A': 2, 'B': 2, 'C': 1, 'D': 0};210;210;240;1;2021-12-11 00:03:31.432350+00:00;Y;1;8p70emi4;;;;;0
4;3jmhiir6;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:07.642324+00:00;1;;;360;4;;{'A': 2, 'B': 2, 'C': 3, 'D': 0};{'A': 1, 'B': 1, 'C': 2, 'D': 0};215;215;245;1;2021-12-11 00:03:31.432350+00:00;Y;1;8p70emi4;;;;;0
5;tksh26lw;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:47.287799+00:00;1;;;466;5;;{'A': 2, 'B': 1, 'C': 1, 'D': 0};{'A': 2, 'B': 1, 'C': 1, 'D': 0};280;170;310;1;2021-12-11 00:03:31.432350+00:00;Y;1;8p70emi4;;;;;0
6;7y7ny8q2;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:52.453949+00:00;1;;;495;6;;{'A': 0, 'B': 4, 'C': 4, 'D': 0};{'A': 0, 'B': 4, 'C': 4, 'D': 0};120;40;-90;1;2021-12-11 00:03:31.432350+00:00;Y;1;8p70emi4;;;;;0
7;534u2i7l;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:11.504744+00:00;1;;;276;7;;{'A': 2, 'B': 1, 'C': 0, 'D': 0};{'A': 2, 'B': 1, 'C': 0, 'D': 0};330;200;360;1;2021-12-11 00:03:31.432350+00:00;Y;1;8p70emi4;;;;;0
8;kvnnjmsq;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:14.239676+00:00;1;;;577;8;;{'A': 0, 'B': 2, 'C': 1, 'D': 0};{'A': 0, 'B': 2, 'C': 0, 'D': 0};480;370;270;1;2021-12-11 00:03:31.432350+00:00;Y;1;8p70emi4;;;;;0
9;nuk7bi5k;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:36.757990+00:00;1;;;-11;9;;{'A': 3, 'B': 2, 'C': 2, 'D': 0};{'A': 3, 'B': 2, 'C': 2, 'D': 0};55;55;205;1;2021-12-11 00:03:31.432350+00:00;Y;1;8p70emi4;;;;;0
10;mte7tsen;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:25.214093+00:00;1;;;605;10;;{'A': 0, 'B': 3, 'C': 4, 'D': 0};{'A': 0, 'B': 3, 'C': 4, 'D': 0};205;105;-5;1;2021-12-11 00:03:31.432350+00:00;Y;1;8p70emi4;;;;;0
