participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.settled_assets;player.available_assets;player.settled_cash;player.available_cash;player.payoff;group.id_in_subsession;group.ran_ready_function;group.realized_state;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;yetwmp3i;;0;298;297;otree_etf_cda;Results;2022-02-03 00:02:29.674462+00:00;1;;;380;1;;{'A': 1, 'B': 1, 'C': 1, 'D': 0};{'A': 1, 'B': 1, 'C': 1, 'D': 0};235;230;145;1;2022-02-03 00:03:05.610844+00:00;Y;1;dbxgzo1v;;;;;0
2;1ca07ylf;;0;298;297;otree_etf_cda;Results;2022-02-03 00:01:18.633149+00:00;1;;;35;2;;{'A': 0, 'B': 3, 'C': 4, 'D': 0};{'A': 0, 'B': 2, 'C': 4, 'D': 0};188;138;-22;1;2022-02-03 00:03:05.610844+00:00;Y;1;dbxgzo1v;;;;;0
3;n5nfumep;;0;298;297;otree_etf_cda;Results;2022-02-03 00:01:31.181157+00:00;1;;;160;3;;{'A': 1, 'B': 0, 'C': 0, 'D': 0};{'A': 1, 'B': 0, 'C': 0, 'D': 0};224;213;134;1;2022-02-03 00:03:05.610844+00:00;Y;1;dbxgzo1v;;;;;0
4;drx8v90g;;0;298;297;otree_etf_cda;Results;2022-02-03 00:01:30.394354+00:00;1;;;330;4;;{'A': 0, 'B': 1, 'C': 2, 'D': 0};{'A': 0, 'B': 1, 'C': 2, 'D': 0};238;237;28;1;2022-02-03 00:03:05.610844+00:00;Y;1;dbxgzo1v;;;;;0
5;fufvra6j;;0;298;297;otree_etf_cda;Results;2022-02-03 00:01:38.100074+00:00;1;;;195;5;;{'A': 2, 'B': 0, 'C': 1, 'D': 0};{'A': 2, 'B': 0, 'C': 1, 'D': 0};226;221;256;1;2022-02-03 00:03:05.610844+00:00;Y;1;dbxgzo1v;;;;;0
6;l3ynec07;;0;298;297;otree_etf_cda;Results;2022-02-03 00:02:20.308276+00:00;1;;;256;6;;{'A': 2, 'B': 5, 'C': 0, 'D': 0};{'A': 2, 'B': 5, 'C': 0, 'D': 0};219;218;249;1;2022-02-03 00:03:05.610844+00:00;Y;1;dbxgzo1v;;;;;0
7;ybim77s4;;0;298;297;otree_etf_cda;Results;2022-02-03 00:02:21.996532+00:00;1;;;465;7;;{'A': 3, 'B': 2, 'C': 1, 'D': 0};{'A': 3, 'B': 2, 'C': 1, 'D': 0};138;105;288;1;2022-02-03 00:03:05.610844+00:00;Y;1;dbxgzo1v;;;;;0
8;0eujvpbo;;0;298;297;otree_etf_cda;Results;2022-02-03 00:01:58.670381+00:00;1;;;180;8;;{'A': 0, 'B': 2, 'C': 2, 'D': 0};{'A': 0, 'B': 2, 'C': 2, 'D': 0};213;213;3;1;2022-02-03 00:03:05.610844+00:00;Y;1;dbxgzo1v;;;;;0
9;4zy7nuj1;;0;298;297;otree_etf_cda;Results;2022-02-03 00:02:05.123791+00:00;1;;;134;9;;{'A': 6, 'B': 3, 'C': 4, 'D': 0};{'A': 5, 'B': 2, 'C': 3, 'D': 0};101;101;611;1;2022-02-03 00:03:05.610844+00:00;Y;1;dbxgzo1v;;;;;0
10;4pbqevj7;;0;298;297;otree_etf_cda;Results;2022-02-03 00:02:13.542532+00:00;1;;;-50;10;;{'A': 2, 'B': 4, 'C': 3, 'D': 0};{'A': 2, 'B': 4, 'C': 3, 'D': 0};220;169;250;1;2022-02-03 00:03:05.610844+00:00;Y;1;dbxgzo1v;;;;;0
11;9ax7r328;;0;298;297;otree_etf_cda;Results;2022-02-03 00:02:20.409509+00:00;1;;;460;11;;{'A': 5, 'B': 1, 'C': 2, 'D': 0};{'A': 5, 'B': 1, 'C': 2, 'D': 0};207;204;597;1;2022-02-03 00:03:05.610844+00:00;Y;1;dbxgzo1v;;;;;0
12;z4w8pc5e;;0;298;297;otree_etf_cda;Results;2022-02-03 00:02:29.167534+00:00;1;;;260;12;;{'A': 2, 'B': 2, 'C': 4, 'D': 0};{'A': 2, 'B': 2, 'C': 4, 'D': 0};311;311;341;1;2022-02-03 00:03:05.610844+00:00;Y;1;dbxgzo1v;;;;;0
1;yetwmp3i;;0;298;297;otree_etf_cda;Results;2022-02-03 00:02:29.674462+00:00;1;;;380;1;;{'A': 0, 'B': 1, 'C': 0, 'D': 1};{'A': 0, 'B': 1, 'C': 0, 'D': 1};240;220;150;1;2022-02-03 00:07:56.803651+00:00;Y;2;dbxgzo1v;;;;;0
2;1ca07ylf;;0;298;297;otree_etf_cda;Results;2022-02-03 00:01:18.633149+00:00;1;;;35;2;;{'A': 0, 'B': 1, 'C': 1, 'D': 0};{'A': 0, 'B': 1, 'C': 1, 'D': 0};395;295;185;1;2022-02-03 00:07:56.803651+00:00;Y;2;dbxgzo1v;;;;;0
3;n5nfumep;;0;298;297;otree_etf_cda;Results;2022-02-03 00:01:31.181157+00:00;1;;;160;3;;{'A': 0, 'B': 1, 'C': 0, 'D': 0};{'A': 0, 'B': 1, 'C': 0, 'D': 0};315;170;105;1;2022-02-03 00:07:56.803651+00:00;Y;2;dbxgzo1v;;;;;0
4;drx8v90g;;0;298;297;otree_etf_cda;Results;2022-02-03 00:01:30.394354+00:00;1;;;330;4;;{'A': 2, 'B': 2, 'C': 3, 'D': 0};{'A': 2, 'B': 2, 'C': 3, 'D': 0};230;180;260;1;2022-02-03 00:07:56.803651+00:00;Y;2;dbxgzo1v;;;;;0
5;fufvra6j;;0;298;297;otree_etf_cda;Results;2022-02-03 00:01:38.100074+00:00;1;;;195;5;;{'A': 3, 'B': 1, 'C': 0, 'D': 0};{'A': 3, 'B': 1, 'C': 0, 'D': 0};240;220;390;1;2022-02-03 00:07:56.803651+00:00;Y;2;dbxgzo1v;;;;;0
6;l3ynec07;;0;298;297;otree_etf_cda;Results;2022-02-03 00:02:20.308276+00:00;1;;;256;6;;{'A': 3, 'B': 4, 'C': 1, 'D': 0};{'A': 2, 'B': 4, 'C': 1, 'D': 0};180;145;330;1;2022-02-03 00:07:56.803651+00:00;Y;2;dbxgzo1v;;;;;0
7;ybim77s4;;0;298;297;otree_etf_cda;Results;2022-02-03 00:02:21.996532+00:00;1;;;465;7;;{'A': 3, 'B': 1, 'C': 2, 'D': 0};{'A': 3, 'B': 1, 'C': 2, 'D': 0};165;0;315;1;2022-02-03 00:07:56.803651+00:00;Y;2;dbxgzo1v;;;;;0
8;0eujvpbo;;0;298;297;otree_etf_cda;Results;2022-02-03 00:01:58.670381+00:00;1;;;180;8;;{'A': 0, 'B': 4, 'C': 3, 'D': 0};{'A': 0, 'B': 4, 'C': 2, 'D': 0};210;210;0;1;2022-02-03 00:07:56.803651+00:00;Y;2;dbxgzo1v;;;;;0
9;4zy7nuj1;;0;298;297;otree_etf_cda;Results;2022-02-03 00:02:05.123791+00:00;1;;;134;9;;{'A': 4, 'B': 2, 'C': 1, 'D': 2};{'A': 3, 'B': 1, 'C': 0, 'D': 2};50;50;560;1;2022-02-03 00:07:56.803651+00:00;Y;2;dbxgzo1v;;;;;0
10;4pbqevj7;;0;298;297;otree_etf_cda;Results;2022-02-03 00:02:13.542532+00:00;1;;;-50;10;;{'A': 0, 'B': 2, 'C': 4, 'D': 0};{'A': 0, 'B': 2, 'C': 3, 'D': 0};245;0;35;1;2022-02-03 00:07:56.803651+00:00;Y;2;dbxgzo1v;;;;;0
11;9ax7r328;;0;298;297;otree_etf_cda;Results;2022-02-03 00:02:20.409509+00:00;1;;;460;11;;{'A': 3, 'B': 1, 'C': 1, 'D': 0};{'A': 3, 'B': 1, 'C': 1, 'D': 0};210;200;360;1;2022-02-03 00:07:56.803651+00:00;Y;2;dbxgzo1v;;;;;0
12;z4w8pc5e;;0;298;297;otree_etf_cda;Results;2022-02-03 00:02:29.167534+00:00;1;;;260;12;;{'A': 1, 'B': 0, 'C': 3, 'D': 1};{'A': 0, 'B': 0, 'C': 3, 'D': 1};105;105;135;1;2022-02-03 00:07:56.803651+00:00;Y;2;dbxgzo1v;;;;;0
1;yetwmp3i;;0;298;297;otree_etf_cda;Results;2022-02-03 00:02:29.674462+00:00;1;;;380;1;;{'A': 0, 'B': 0, 'C': 1, 'D': 1};{'A': 0, 'B': 0, 'C': 1, 'D': 1};297;82;357;1;2022-02-03 00:12:03.815352+00:00;X;3;dbxgzo1v;;;;;0
2;1ca07ylf;;0;298;297;otree_etf_cda;Results;2022-02-03 00:01:18.633149+00:00;1;;;35;2;;{'A': 0, 'B': 1, 'C': 3, 'D': 0};{'A': 0, 'B': 1, 'C': 2, 'D': 0};358;178;508;1;2022-02-03 00:12:03.815352+00:00;X;3;dbxgzo1v;;;;;0
3;n5nfumep;;0;298;297;otree_etf_cda;Results;2022-02-03 00:01:31.181157+00:00;1;;;160;3;;{'A': 2, 'B': 2, 'C': 0, 'D': 0};{'A': 2, 'B': 2, 'C': 0, 'D': 0};250;155;220;1;2022-02-03 00:12:03.815352+00:00;X;3;dbxgzo1v;;;;;0
4;drx8v90g;;0;298;297;otree_etf_cda;Results;2022-02-03 00:01:30.394354+00:00;1;;;330;4;;{'A': 1, 'B': 2, 'C': 2, 'D': 1};{'A': 1, 'B': 2, 'C': 1, 'D': 1};175;155;505;1;2022-02-03 00:12:03.815352+00:00;X;3;dbxgzo1v;;;;;0
5;fufvra6j;;0;298;297;otree_etf_cda;Results;2022-02-03 00:01:38.100074+00:00;1;;;195;5;;{'A': 2, 'B': 1, 'C': 1, 'D': 0};{'A': 1, 'B': 1, 'C': 1, 'D': 0};270;235;240;1;2022-02-03 00:12:03.815352+00:00;X;3;dbxgzo1v;;;;;0
6;l3ynec07;;0;298;297;otree_etf_cda;Results;2022-02-03 00:02:20.308276+00:00;1;;;256;6;;{'A': 1, 'B': 0, 'C': 0, 'D': 0};{'A': 1, 'B': 0, 'C': 0, 'D': 0};465;260;255;1;2022-02-03 00:12:03.815352+00:00;X;3;dbxgzo1v;;;;;0
7;ybim77s4;;0;298;297;otree_etf_cda;Results;2022-02-03 00:02:21.996532+00:00;1;;;465;7;;{'A': 3, 'B': 0, 'C': 1, 'D': 1};{'A': 3, 'B': 0, 'C': 1, 'D': 1};25;25;85;1;2022-02-03 00:12:03.815352+00:00;X;3;dbxgzo1v;;;;;0
8;0eujvpbo;;0;298;297;otree_etf_cda;Results;2022-02-03 00:01:58.670381+00:00;1;;;180;8;;{'A': 0, 'B': 3, 'C': 2, 'D': 0};{'A': 0, 'B': 2, 'C': 2, 'D': 0};320;270;560;1;2022-02-03 00:12:03.815352+00:00;X;3;dbxgzo1v;;;;;0
9;4zy7nuj1;;0;298;297;otree_etf_cda;Results;2022-02-03 00:02:05.123791+00:00;1;;;134;9;;{'A': 6, 'B': 3, 'C': 2, 'D': 0};{'A': 6, 'B': 3, 'C': 2, 'D': 0};15;15;255;1;2022-02-03 00:12:03.815352+00:00;X;3;dbxgzo1v;;;;;0
10;4pbqevj7;;0;298;297;otree_etf_cda;Results;2022-02-03 00:02:13.542532+00:00;1;;;-50;10;;{'A': 2, 'B': 2, 'C': 5, 'D': 0};{'A': 2, 'B': 2, 'C': 5, 'D': 0};80;0;500;1;2022-02-03 00:12:03.815352+00:00;X;3;dbxgzo1v;;;;;0
11;9ax7r328;;0;298;297;otree_etf_cda;Results;2022-02-03 00:02:20.409509+00:00;1;;;460;11;;{'A': 3, 'B': 3, 'C': 1, 'D': 0};{'A': 2, 'B': 2, 'C': 1, 'D': 0};145;145;295;1;2022-02-03 00:12:03.815352+00:00;X;3;dbxgzo1v;;;;;0
12;z4w8pc5e;;0;298;297;otree_etf_cda;Results;2022-02-03 00:02:29.167534+00:00;1;;;260;12;;{'A': 0, 'B': 5, 'C': 2, 'D': 0};{'A': 0, 'B': 4, 'C': 2, 'D': 0};114;114;534;1;2022-02-03 00:12:03.815352+00:00;X;3;dbxgzo1v;;;;;0
1;yetwmp3i;;0;298;297;otree_etf_cda;Results;2022-02-03 00:02:29.674462+00:00;1;;;380;1;;{'A': 0, 'B': 0, 'C': 0, 'D': 2};{'A': 0, 'B': 0, 'C': 0, 'D': 2};217;162;607;1;2022-02-03 00:16:11.891037+00:00;Z;4;dbxgzo1v;;;;;0
