participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.settled_assets;player.available_assets;player.settled_cash;player.available_cash;player.payoff;group.id_in_subsession;group.ran_ready_function;group.realized_state;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;v1xc1bva;;0;298;297;otree_etf_cda;Results;2021-12-02 23:25:47.942981+00:00;1;;;194.0;1;;{'A': 3, 'B': 2, 'C': 2, 'D': 0};{'A': 3, 'B': 1, 'C': 2, 'D': 0};240;190;390.0;1;2021-12-02 23:27:46.275839+00:00;Y;1;x11o0coe;;;;;0
2;lzx7fpsl;;0;298;297;otree_etf_cda;Results;2021-12-02 23:25:54.457925+00:00;1;;;254.0;2;;{'A': 1, 'B': 2, 'C': 2, 'D': 0};{'A': 1, 'B': 2, 'C': 2, 'D': 0};285;285;195.0;1;2021-12-02 23:27:46.275839+00:00;Y;1;x11o0coe;;;;;0
3;27ejbw1r;;0;298;297;otree_etf_cda;Results;2021-12-02 23:26:01.357717+00:00;1;;;619.0;3;;{'A': 3, 'B': 1, 'C': 1, 'D': 0};{'A': 2, 'B': 1, 'C': 1, 'D': 0};275;275;425.0;1;2021-12-02 23:27:46.275839+00:00;Y;1;x11o0coe;;;;;0
4;p9o3toka;;0;298;297;otree_etf_cda;Results;2021-12-02 23:26:07.221128+00:00;1;;;250.0;4;;{'A': 2, 'B': 4, 'C': 4, 'D': 0};{'A': 2, 'B': 4, 'C': 4, 'D': 0};10;10;40.0;1;2021-12-02 23:27:46.275839+00:00;Y;1;x11o0coe;;;;;0
5;knz2gps6;;0;298;297;otree_etf_cda;Results;2021-12-02 23:26:18.785423+00:00;1;;;229.0;5;;{'A': 3, 'B': 0, 'C': 2, 'D': 0};{'A': 1, 'B': 0, 'C': 2, 'D': 0};258;88;408.0;1;2021-12-02 23:27:46.275839+00:00;Y;1;x11o0coe;;;;;0
6;qxz4td7t;;0;30;297;otree_etf_cda;Results;2021-12-02 23:26:23.755769+00:00;1;;;111.0;6;;{'A': 2, 'B': 4, 'C': 4, 'D': 0};{'A': 2, 'B': 4, 'C': 4, 'D': 0};85;60;115.0;1;2021-12-02 23:27:46.275839+00:00;Y;1;x11o0coe;;;;;0
7;alis26yl;;0;298;297;otree_etf_cda;Results;2021-12-02 23:26:51.849401+00:00;1;;;179.0;7;;{'A': 3, 'B': 0, 'C': 2, 'D': 0};{'A': 2, 'B': 0, 'C': 2, 'D': 0};225;215;375.0;1;2021-12-02 23:27:46.275839+00:00;Y;1;x11o0coe;;;;;0
8;45lmwe2s;;0;298;297;otree_etf_cda;Results;2021-12-02 23:27:01.705331+00:00;1;;;-87.0;8;;{'A': 0, 'B': 1, 'C': 1, 'D': 0};{'A': 0, 'B': 1, 'C': 1, 'D': 0};177;177;-33.0;1;2021-12-02 23:27:46.275839+00:00;Y;1;x11o0coe;;;;;0
9;wu9jnmy8;;0;298;297;otree_etf_cda;Results;2021-12-02 23:27:09.000131+00:00;1;;;497.0;9;;{'A': 3, 'B': 5, 'C': 1, 'D': 0};{'A': 3, 'B': 4, 'C': 1, 'D': 0};10;10;160.0;1;2021-12-02 23:27:46.275839+00:00;Y;1;x11o0coe;;;;;0
10;qn3fdkt1;;0;298;297;otree_etf_cda;Results;2021-12-02 23:27:15.749942+00:00;1;;;224.0;10;;{'A': 2, 'B': 4, 'C': 3, 'D': 0};{'A': 2, 'B': 4, 'C': 3, 'D': 0};0;0;30.0;1;2021-12-02 23:27:46.275839+00:00;Y;1;x11o0coe;;;;;0
11;dkxhcxon;;0;298;297;otree_etf_cda;Results;2021-12-02 23:27:19.359773+00:00;1;;;201.0;11;;{'A': 2, 'B': 1, 'C': 1, 'D': 0};{'A': 1, 'B': 1, 'C': 1, 'D': 0};320;280;350.0;1;2021-12-02 23:27:46.275839+00:00;Y;1;x11o0coe;;;;;0
12;gw0jkif8;;0;298;297;otree_etf_cda;Results;2021-12-02 23:27:43.977231+00:00;1;;;144.0;12;;{'A': 0, 'B': 0, 'C': 1, 'D': 0};{'A': 0, 'B': 0, 'C': 0, 'D': 0};635;635;425.0;1;2021-12-02 23:27:46.275839+00:00;Y;1;x11o0coe;;;;;0
1;v1xc1bva;;0;298;297;otree_etf_cda;Results;2021-12-02 23:25:47.942981+00:00;1;;;194.0;1;;{'A': 2, 'B': 2, 'C': 1, 'D': 0};{'A': 2, 'B': 1, 'C': 1, 'D': 0};270;270;570.0;1;2021-12-02 23:32:35.134714+00:00;Z;2;x11o0coe;;;;;0
2;lzx7fpsl;;0;298;297;otree_etf_cda;Results;2021-12-02 23:25:54.457925+00:00;1;;;254.0;2;;{'A': 1, 'B': 1, 'C': 1, 'D': 1};{'A': 1, 'B': 1, 'C': 1, 'D': 1};265;265;655.0;1;2021-12-02 23:32:35.134714+00:00;Z;2;x11o0coe;;;;;0
3;27ejbw1r;;0;298;297;otree_etf_cda;Results;2021-12-02 23:26:01.357717+00:00;1;;;619.0;3;;{'A': 1, 'B': 0, 'C': 0, 'D': 0};{'A': 0, 'B': 0, 'C': 0, 'D': 0};590;590;500.0;1;2021-12-02 23:32:35.134714+00:00;Z;2;x11o0coe;;;;;0
4;p9o3toka;;0;298;297;otree_etf_cda;Results;2021-12-02 23:26:07.221128+00:00;1;;;250.0;4;;{'A': 3, 'B': 2, 'C': 2, 'D': 0};{'A': 3, 'B': 2, 'C': 2, 'D': 0};76;26;586.0;1;2021-12-02 23:32:35.134714+00:00;Z;2;x11o0coe;;;;;0
5;knz2gps6;;0;298;297;otree_etf_cda;Results;2021-12-02 23:26:18.785423+00:00;1;;;229.0;5;;{'A': 3, 'B': 0, 'C': 3, 'D': 1};{'A': 2, 'B': 0, 'C': 0, 'D': 0};62;62;782.0;1;2021-12-02 23:32:35.134714+00:00;Z;2;x11o0coe;;;;;0
